External ID                       ,Parent Category,Name    ,Display Name        ,Complete Name       
point_of_sale.00001,All / Saleable / PoS,OilSeal,All / Saleable / PoS / OilSeal,All / Saleable / PoS / OilSeal
point_of_sale.00002,All / Saleable / PoS,2T,All / Saleable / PoS / 2T,All / Saleable / PoS / 2T
point_of_sale.00003,All / Saleable / PoS,4T,All / Saleable / PoS / 4T,All / Saleable / PoS / 4T
point_of_sale.00004,All / Saleable / PoS,A/C,All / Saleable / PoS / A/C,All / Saleable / PoS / A/C
point_of_sale.00005,All / Saleable / PoS,Actuator,All / Saleable / PoS / Actuator,All / Saleable / PoS / Actuator
point_of_sale.00006,All / Saleable / PoS,Adaptor,All / Saleable / PoS / Adaptor,All / Saleable / PoS / Adaptor
point_of_sale.00007,All / Saleable / PoS,Adjester,All / Saleable / PoS / Adjester,All / Saleable / PoS / Adjester
point_of_sale.00008,All / Saleable / PoS,AirBag,All / Saleable / PoS / AirBag,All / Saleable / PoS / AirBag
point_of_sale.00009,All / Saleable / PoS,AirFilter,All / Saleable / PoS / AirFilter,All / Saleable / PoS / AirFilter
point_of_sale.00010,All / Saleable / PoS,Alternator,All / Saleable / PoS / Alternator,All / Saleable / PoS / Alternator
point_of_sale.00011,All / Saleable / PoS,Antana,All / Saleable / PoS / Antana,All / Saleable / PoS / Antana
point_of_sale.00012,All / Saleable / PoS,Antinqueak,All / Saleable / PoS / Antinqueak,All / Saleable / PoS / Antinqueak
point_of_sale.00013,All / Saleable / PoS,Appron,All / Saleable / PoS / Appron,All / Saleable / PoS / Appron
point_of_sale.00014,All / Saleable / PoS,Arm,All / Saleable / PoS / Arm,All / Saleable / PoS / Arm
point_of_sale.00015,All / Saleable / PoS,Armature,All / Saleable / PoS / Armature,All / Saleable / PoS / Armature
point_of_sale.00016,All / Saleable / PoS,Attachement,All / Saleable / PoS / Attachement,All / Saleable / PoS / Attachement
point_of_sale.00017,All / Saleable / PoS,Axle,All / Saleable / PoS / Axle,All / Saleable / PoS / Axle
point_of_sale.00018,All / Saleable / PoS,BackRest,All / Saleable / PoS / BackRest,All / Saleable / PoS / BackRest
point_of_sale.00019,All / Saleable / PoS,Badge,All / Saleable / PoS / Badge,All / Saleable / PoS / Badge
point_of_sale.00020,All / Saleable / PoS,BagSimulator,All / Saleable / PoS / BagSimulator,All / Saleable / PoS / BagSimulator
point_of_sale.00021,All / Saleable / PoS,Balancer,All / Saleable / PoS / Balancer,All / Saleable / PoS / Balancer
point_of_sale.00022,All / Saleable / PoS,BallJoint,All / Saleable / PoS / BallJoint,All / Saleable / PoS / BallJoint
point_of_sale.00023,All / Saleable / PoS,Band,All / Saleable / PoS / Band,All / Saleable / PoS / Band
point_of_sale.00024,All / Saleable / PoS,BarExtension,All / Saleable / PoS / BarExtension,All / Saleable / PoS / BarExtension
point_of_sale.00025,All / Saleable / PoS,Basket,All / Saleable / PoS / Basket,All / Saleable / PoS / Basket
point_of_sale.00026,All / Saleable / PoS,Battery,All / Saleable / PoS / Battery,All / Saleable / PoS / Battery
point_of_sale.00027,All / Saleable / PoS,Beading,All / Saleable / PoS / Beading,All / Saleable / PoS / Beading
point_of_sale.00028,All / Saleable / PoS,Bearing,All / Saleable / PoS / Bearing,All / Saleable / PoS / Bearing
point_of_sale.00029,All / Saleable / PoS,Bellow,All / Saleable / PoS / Bellow,All / Saleable / PoS / Bellow
point_of_sale.00030,All / Saleable / PoS,Belt,All / Saleable / PoS / Belt,All / Saleable / PoS / Belt
point_of_sale.00031,All / Saleable / PoS,Blower,All / Saleable / PoS / Blower,All / Saleable / PoS / Blower
point_of_sale.00032,All / Saleable / PoS,BlowerUnit,All / Saleable / PoS / BlowerUnit,All / Saleable / PoS / BlowerUnit
point_of_sale.00033,All / Saleable / PoS,BoardSeal,All / Saleable / PoS / BoardSeal,All / Saleable / PoS / BoardSeal
point_of_sale.00034,All / Saleable / PoS,Bolt,All / Saleable / PoS / Bolt,All / Saleable / PoS / Bolt
point_of_sale.00035,All / Saleable / PoS,Bonnet,All / Saleable / PoS / Bonnet,All / Saleable / PoS / Bonnet
point_of_sale.00036,All / Saleable / PoS,Booster,All / Saleable / PoS / Booster,All / Saleable / PoS / Booster
point_of_sale.00037,All / Saleable / PoS,Boot,All / Saleable / PoS / Boot,All / Saleable / PoS / Boot
point_of_sale.00038,All / Saleable / PoS,Boss-St.Wheel,All / Saleable / PoS / Boss-St.Wheel,All / Saleable / PoS / Boss-St.Wheel
point_of_sale.00039,All / Saleable / PoS,Box,All / Saleable / PoS / Box,All / Saleable / PoS / Box
point_of_sale.00040,All / Saleable / PoS,Bracket,All / Saleable / PoS / Bracket,All / Saleable / PoS / Bracket
point_of_sale.00041,All / Saleable / PoS,Brake,All / Saleable / PoS / Brake,All / Saleable / PoS / Brake
point_of_sale.00042,All / Saleable / PoS,BrakeFluid,All / Saleable / PoS / BrakeFluid,All / Saleable / PoS / BrakeFluid
point_of_sale.00043,All / Saleable / PoS,Breaker,All / Saleable / PoS / Breaker,All / Saleable / PoS / Breaker
point_of_sale.00044,All / Saleable / PoS,Brush,All / Saleable / PoS / Brush,All / Saleable / PoS / Brush
point_of_sale.00045,All / Saleable / PoS,BufferShield,All / Saleable / PoS / BufferShield,All / Saleable / PoS / BufferShield
point_of_sale.00046,All / Saleable / PoS,Bulb,All / Saleable / PoS / Bulb,All / Saleable / PoS / Bulb
point_of_sale.00047,All / Saleable / PoS,Bumper,All / Saleable / PoS / Bumper,All / Saleable / PoS / Bumper
point_of_sale.00048,All / Saleable / PoS,Bush,All / Saleable / PoS / Bush,All / Saleable / PoS / Bush
point_of_sale.00049,All / Saleable / PoS,BushKit,All / Saleable / PoS / BushKit,All / Saleable / PoS / BushKit
point_of_sale.00050,All / Saleable / PoS,BushStrg,All / Saleable / PoS / BushStrg,All / Saleable / PoS / BushStrg
point_of_sale.00051,All / Saleable / PoS,Bushing,All / Saleable / PoS / Bushing,All / Saleable / PoS / Bushing
point_of_sale.00052,All / Saleable / PoS,ByPass,All / Saleable / PoS / ByPass,All / Saleable / PoS / ByPass
point_of_sale.00053,All / Saleable / PoS,C.Glow,All / Saleable / PoS / C.Glow,All / Saleable / PoS / C.Glow
point_of_sale.00054,All / Saleable / PoS,Cable,All / Saleable / PoS / Cable,All / Saleable / PoS / Cable
point_of_sale.00055,All / Saleable / PoS,Cam,All / Saleable / PoS / Cam,All / Saleable / PoS / Cam
point_of_sale.00056,All / Saleable / PoS,CamShaft,All / Saleable / PoS / CamShaft,All / Saleable / PoS / CamShaft
point_of_sale.00057,All / Saleable / PoS,CamshaftSeal,All / Saleable / PoS / CamshaftSeal,All / Saleable / PoS / CamshaftSeal
point_of_sale.00058,All / Saleable / PoS,Canister,All / Saleable / PoS / Canister,All / Saleable / PoS / Canister
point_of_sale.00059,All / Saleable / PoS,Cap,All / Saleable / PoS / Cap,All / Saleable / PoS / Cap
point_of_sale.00060,All / Saleable / PoS,Carburettor,All / Saleable / PoS / Carburettor,All / Saleable / PoS / Carburettor
point_of_sale.00061,All / Saleable / PoS,Carpet,All / Saleable / PoS / Carpet,All / Saleable / PoS / Carpet
point_of_sale.00062,All / Saleable / PoS,Case,All / Saleable / PoS / Case,All / Saleable / PoS / Case
point_of_sale.00063,All / Saleable / PoS,Cataloge,All / Saleable / PoS / Cataloge,All / Saleable / PoS / Cataloge
point_of_sale.00064,All / Saleable / PoS,Catalyst3-Way,All / Saleable / PoS / Catalyst3-Way,All / Saleable / PoS / Catalyst3-Way
point_of_sale.00065,All / Saleable / PoS,CeilingTrim,All / Saleable / PoS / CeilingTrim,All / Saleable / PoS / CeilingTrim
point_of_sale.00066,All / Saleable / PoS,CentreCap,All / Saleable / PoS / CentreCap,All / Saleable / PoS / CentreCap
point_of_sale.00067,All / Saleable / PoS,Chain,All / Saleable / PoS / Chain,All / Saleable / PoS / Chain
point_of_sale.00068,All / Saleable / PoS,"Chamber,Extractor","All / Saleable / PoS / Chamber,Extractor","All / Saleable / PoS / Chamber,Extractor"
point_of_sale.00069,All / Saleable / PoS,"Chamber,Resonance","All / Saleable / PoS / Chamber,Resonance","All / Saleable / PoS / Chamber,Resonance"
point_of_sale.00070,All / Saleable / PoS,ChannelGlass,All / Saleable / PoS / ChannelGlass,All / Saleable / PoS / ChannelGlass
point_of_sale.00071,All / Saleable / PoS,Channeling,All / Saleable / PoS / Channeling,All / Saleable / PoS / Channeling
point_of_sale.00072,All / Saleable / PoS,Chassis,All / Saleable / PoS / Chassis,All / Saleable / PoS / Chassis
point_of_sale.00073,All / Saleable / PoS,Circlip,All / Saleable / PoS / Circlip,All / Saleable / PoS / Circlip
point_of_sale.00074,All / Saleable / PoS,Circuit,All / Saleable / PoS / Circuit,All / Saleable / PoS / Circuit
point_of_sale.00075,All / Saleable / PoS,CircuitBreaker,All / Saleable / PoS / CircuitBreaker,All / Saleable / PoS / CircuitBreaker
point_of_sale.00076,All / Saleable / PoS,Clamp,All / Saleable / PoS / Clamp,All / Saleable / PoS / Clamp
point_of_sale.00077,All / Saleable / PoS,Clip,All / Saleable / PoS / Clip,All / Saleable / PoS / Clip
point_of_sale.00078,All / Saleable / PoS,Clock,All / Saleable / PoS / Clock,All / Saleable / PoS / Clock
point_of_sale.00079,All / Saleable / PoS,Clutch,All / Saleable / PoS / Clutch,All / Saleable / PoS / Clutch
point_of_sale.00080,All / Saleable / PoS,Coat,All / Saleable / PoS / Coat,All / Saleable / PoS / Coat
point_of_sale.00081,All / Saleable / PoS,CockAssembly,All / Saleable / PoS / CockAssembly,All / Saleable / PoS / CockAssembly
point_of_sale.00082,All / Saleable / PoS,"Cock,Drain","All / Saleable / PoS / Cock,Drain","All / Saleable / PoS / Cock,Drain"
point_of_sale.00083,All / Saleable / PoS,Collar,All / Saleable / PoS / Collar,All / Saleable / PoS / Collar
point_of_sale.00084,All / Saleable / PoS,Compression,All / Saleable / PoS / Compression,All / Saleable / PoS / Compression
point_of_sale.00085,All / Saleable / PoS,Compressor,All / Saleable / PoS / Compressor,All / Saleable / PoS / Compressor
point_of_sale.00086,All / Saleable / PoS,Condenser,All / Saleable / PoS / Condenser,All / Saleable / PoS / Condenser
point_of_sale.00087,All / Saleable / PoS,Connector,All / Saleable / PoS / Connector,All / Saleable / PoS / Connector
point_of_sale.00088,All / Saleable / PoS,Control,All / Saleable / PoS / Control,All / Saleable / PoS / Control
point_of_sale.00089,All / Saleable / PoS,Controller,All / Saleable / PoS / Controller,All / Saleable / PoS / Controller
point_of_sale.00090,All / Saleable / PoS,Convertor,All / Saleable / PoS / Convertor,All / Saleable / PoS / Convertor
point_of_sale.00091,All / Saleable / PoS,Coolant,All / Saleable / PoS / Coolant,All / Saleable / PoS / Coolant
point_of_sale.00092,All / Saleable / PoS,Cooler,All / Saleable / PoS / Cooler,All / Saleable / PoS / Cooler
point_of_sale.00093,All / Saleable / PoS,"Cord,Glow","All / Saleable / PoS / Cord,Glow","All / Saleable / PoS / Cord,Glow"
point_of_sale.00094,All / Saleable / PoS,Coupling,All / Saleable / PoS / Coupling,All / Saleable / PoS / Coupling
point_of_sale.00095,All / Saleable / PoS,Cover,All / Saleable / PoS / Cover,All / Saleable / PoS / Cover
point_of_sale.00096,All / Saleable / PoS,Cowling,All / Saleable / PoS / Cowling,All / Saleable / PoS / Cowling
point_of_sale.00097,All / Saleable / PoS,CowlingH.L,All / Saleable / PoS / CowlingH.L,All / Saleable / PoS / CowlingH.L
point_of_sale.00098,All / Saleable / PoS,CrankShaft,All / Saleable / PoS / CrankShaft,All / Saleable / PoS / CrankShaft
point_of_sale.00099,All / Saleable / PoS,CrankCase,All / Saleable / PoS / CrankCase,All / Saleable / PoS / CrankCase
point_of_sale.00100,All / Saleable / PoS,CrashGuard,All / Saleable / PoS / CrashGuard,All / Saleable / PoS / CrashGuard
point_of_sale.00101,All / Saleable / PoS,Cross,All / Saleable / PoS / Cross,All / Saleable / PoS / Cross
point_of_sale.00102,All / Saleable / PoS,CrossMember,All / Saleable / PoS / CrossMember,All / Saleable / PoS / CrossMember
point_of_sale.00103,All / Saleable / PoS,Cup,All / Saleable / PoS / Cup,All / Saleable / PoS / Cup
point_of_sale.00104,All / Saleable / PoS,CupSet,All / Saleable / PoS / CupSet,All / Saleable / PoS / CupSet
point_of_sale.00105,All / Saleable / PoS,Cupling,All / Saleable / PoS / Cupling,All / Saleable / PoS / Cupling
point_of_sale.00106,All / Saleable / PoS,Curion,All / Saleable / PoS / Curion,All / Saleable / PoS / Curion
point_of_sale.00107,All / Saleable / PoS,Cushion,All / Saleable / PoS / Cushion,All / Saleable / PoS / Cushion
point_of_sale.00108,All / Saleable / PoS,CutS,All / Saleable / PoS / CutS,All / Saleable / PoS / CutS
point_of_sale.00109,All / Saleable / PoS,Cylinder,All / Saleable / PoS / Cylinder,All / Saleable / PoS / Cylinder
point_of_sale.00110,All / Saleable / PoS,Dam,All / Saleable / PoS / Dam,All / Saleable / PoS / Dam
point_of_sale.00111,All / Saleable / PoS,Damper,All / Saleable / PoS / Damper,All / Saleable / PoS / Damper
point_of_sale.00112,All / Saleable / PoS,DashPotThrottleLinkage,All / Saleable / PoS / DashPotThrottleLinkage,All / Saleable / PoS / DashPotThrottleLinkage
point_of_sale.00113,All / Saleable / PoS,Decal,All / Saleable / PoS / Decal,All / Saleable / PoS / Decal
point_of_sale.00114,All / Saleable / PoS,Decklid,All / Saleable / PoS / Decklid,All / Saleable / PoS / Decklid
point_of_sale.00115,All / Saleable / PoS,Diaphragm,All / Saleable / PoS / Diaphragm,All / Saleable / PoS / Diaphragm
point_of_sale.00116,All / Saleable / PoS,DieselFilter,All / Saleable / PoS / DieselFilter,All / Saleable / PoS / DieselFilter
point_of_sale.00117,All / Saleable / PoS,Differential,All / Saleable / PoS / Differential,All / Saleable / PoS / Differential
point_of_sale.00118,All / Saleable / PoS,Diode,All / Saleable / PoS / Diode,All / Saleable / PoS / Diode
point_of_sale.00119,All / Saleable / PoS,DipStick,All / Saleable / PoS / DipStick,All / Saleable / PoS / DipStick
