Display Name                              ,# Products,Child Categories                                 ,Complete Name                             ,Costing Method,Created by   ,Created on         ,Expense Account,External ID                             ,Force Removal Strategy,Income Account      ,Inventory Valuation,Last Modified on   ,Last Updated by,Last Updated on    ,Name         ,Parent Category               ,Parent Path   ,Putaway Rules,Routes,Stock Input Account            ,Stock Journal      ,Stock Output Account            ,Stock Valuation Account,Total routes
All                                       ,7         ,All / Expenses                                   ,All                                       ,Standard Price,OdooBot      ,2021-03-26 20:14:40,600000 Expenses,product.product_category_all            ,                      ,400000 Product Sales,Manual             ,2021-03-26 20:14:40,OdooBot        ,2021-03-26 20:14:40,All          ,                              ,1/            ,             ,      ,110200 Stock Interim (Received),Inventory Valuation,110300 Stock Interim (Delivered),110100 Stock Valuation ,            
                                          ,          ,All / Saleable                                   ,                                          ,              ,             ,                   ,               ,                                        ,                      ,                    ,                   ,                   ,               ,                   ,             ,                              ,              ,             ,      ,                               ,                   ,                                ,                       ,            
All / Expenses                            ,0         ,                                                 ,All / Expenses                            ,Standard Price,OdooBot      ,2021-03-26 20:14:40,600000 Expenses,product.cat_expense                     ,                      ,400000 Product Sales,Manual             ,2021-03-26 20:14:40,OdooBot        ,2021-03-26 20:14:40,Expenses     ,All                           ,1/3/          ,             ,      ,110200 Stock Interim (Received),Inventory Valuation,110300 Stock Interim (Delivered),110100 Stock Valuation ,            
All / Saleable                            ,7         ,All / Saleable / PoS                             ,All / Saleable                            ,Standard Price,OdooBot      ,2021-03-26 20:14:40,600000 Expenses,product.product_category_1              ,                      ,400000 Product Sales,Manual             ,2021-03-26 20:14:40,OdooBot        ,2021-03-26 20:14:40,Saleable     ,All                           ,1/2/          ,             ,      ,110200 Stock Interim (Received),Inventory Valuation,110300 Stock Interim (Delivered),110100 Stock Valuation ,            
All / Saleable / PoS                      ,2         ,All / Saleable / PoS / 2T                        ,All / Saleable / PoS                      ,Standard Price,OdooBot      ,2021-03-26 20:15:03,600000 Expenses,point_of_sale.product_category_pos      ,                      ,400000 Product Sales,Manual             ,2021-03-26 20:15:03,OdooBot        ,2021-03-26 20:15:03,PoS          ,All / Saleable                ,1/2/4/        ,             ,      ,110200 Stock Interim (Received),Inventory Valuation,110300 Stock Interim (Delivered),110100 Stock Valuation ,            
                                          ,          ,All / Saleable / PoS / 4T                        ,                                          ,              ,             ,                   ,               ,                                        ,                      ,                    ,                   ,                   ,               ,                   ,             ,                              ,              ,             ,      ,                               ,                   ,                                ,                       ,            
                                          ,          ,All / Saleable / PoS / A/C                       ,                                          ,              ,             ,                   ,               ,                                        ,                      ,                    ,                   ,                   ,               ,                   ,             ,                              ,              ,             ,      ,                               ,                   ,                                ,                       ,            
                                          ,          ,All / Saleable / PoS / Actuator                  ,                                          ,              ,             ,                   ,               ,                                        ,                      ,                    ,                   ,                   ,               ,                   ,             ,                              ,              ,             ,      ,                               ,                   ,                                ,                       ,            
                                          ,          ,All / Saleable / PoS / Adaptor                   ,                                          ,              ,             ,                   ,               ,                                        ,                      ,                    ,                   ,                   ,               ,                   ,             ,                              ,              ,             ,      ,                               ,                   ,                                ,                       ,            
                                          ,          ,All / Saleable / PoS / Adhesive                  ,                                          ,              ,             ,                   ,               ,                                        ,                      ,                    ,                   ,                   ,               ,                   ,             ,                              ,              ,             ,      ,                               ,                   ,                                ,                       ,            
