Part Number, Quantity,Unit Price(Retail Price),Notes
DU191045,5,"2,480.00",
DU191033,3,"3,550.00",
DU191031,1,"2,870.00",
DH111072,5,6980.00,
DJ111098,2,6380.00,
DU111017,3,5700.00,
DU111001,12,3920.00,
GF201066,1,"5,400",Part Number : LPGF201066
JW351200,2,8660.00,
DJ111092,1,6820.00,
JA351200,4,6950.00,
PA351213,2,7560.00,
DK111073,1,6670.00,
JE351246,2,6300.00,
JB351201,1,5840.00,
DJ201165,1,11190.00,
DU101278,16,"2,140.00",
JD551000,3,"2,380.00",
DS101046,4,"2,720.00",
DH102285,2,"1,110.00",
JW531004,2,"2,100.00",
DS101291,1,"2,440.00",
DK101471,1,"3,490.00",
15101122,19,200.00,
CB101114,87,140.00,
13101165,43,150.00,
31101014,210,70.00,
39218919,5,210.00,
39218819,65,190.00,
AA101736,11,"1,310.00",
AA111132,2,"1,740.00",
AA111134,4,"1,890.00",
AN111017,5,"1,140.00",
36AA4032,24,"4,420.00",
Y-36AA4032,3,,  
AA101392,4,"3,230.00",
AA101864,4,"4,640.00",
AA101048,1,"7,900.00",
AA101666,27,"3,690.00",
BF531058,1,"1,870.00",
AN101338,10,"4,280.00",
AN101328,3,"3,850.00",
Y-AN101328,1,,
AA101056,8,"3,470.00",
AN101339,14,"2,810.00",
AA101555,7,"3,700.00",
AA101057,9,"5,440.00",
JN181004,1,450.00,
Y-AE101006,3,,
AA101046,1,"3,800.00",
AA111093,4,"1,580.00",
PD401014,3,"1,580.00",
AA111081,5,"1,510.00",
AA111080,2,"1,070.00",
24201415,3,"1,340.00",
AL201039,1,"1,100.00",
BH401004,2,190.00,
DH101188,22,"2,160.00",
JL511219,3,630.00,
JD511004,9,800.00,
AN101181,13,670.00,
JF511052,2,540.00,
DH111012,11,"1,020.00",
JB511018,2,690.00,
CL201023,56,530.00,
Y-DH111012,4,,
PF511061,3,680.00,
AZ351002,1,"7,060.00",
AN111013,13,"5,520.00",
AA111203,4,"6,470.00",
AA201239,9,"1,120.00",
36AA4028,6,"1,950.00",
AA181028,1,"4,540.00",
DH201077,1,"1,250.00",
24181153,3,"5,140.00",
AA181019,2,"4,760.00",
AA181015,1,"4,200.00",
24101050,10,"2,270.00",
Y-AA201185,4,,
AA201185,5,"1,380.00",
AA111122,10,"6,290.00",
AA201048,6,620.00,
AF111016,1,"6,470.00",
AA111178,2,"6,000.00",
AA111091,10,"3,910.00",
Y-AA111091,2,,
24111128,2,"1,760.00",
AA111156,25,"5,800.00",
3100802,4,620.00,
35101178,10,"3,230.00",
35101170,11,840.00,
24171118,1,"4,410.00",
AA131033,2,"2,730.00",
24101055,6,"6,900.00",
AN101198,11,"2,000.00",
AN101379,4,"4,010.00",
AE131011,3,"6,520.00",
AA131002,4,"9,290.00",
AN101336,6,"7,550.00",
JG591100,35,80.00,
AA102193,16,190.00,
AN101155,14,710.00,
LAD00164,1,370.00,
39218106,84,70.00,
AA102110,21,110.00,
39252820,1,330.00,
AA102114,4,140.00,
DK101277,1,100.00,
DS161069,1,30.00,
DS101036,206,"1,350.00",
DH101050,162,"1,100.00",
Y-DS109905,9,,
Y-DS101036,1,,
JL511222,4,"2,860.00",
DH161158,1,40.00,
AA101015,15,130.00,
AA101116,149,630.00,
AA101134,81,540.00,
AA101569,124,960.00,
31101033,194,"1,130.00",
36DS1801,9,710.00,
DS191037,1,320.00,
PF561200,2,1560.00,
DK101733,4,"1,920.00",
JH561402,2,"1,240.00",
DD121181,9,250.00,
DS101077,6,"2,180.00",
DU101103,8,"1,770.00",
DS121003,1,210.00,
DT131826,1,"5,980.00",
JF131806,1,"11,750.00",
DK151012,4,180.00,
DK181019,54,600.00,
DK181021,13,310.00,
DG181021,5,510.00,
PF121073,7,540.00,
DU181108,1,450.00,
DG181023,26,690.00,
DD181011,5,280.00,
FA171008,2,330.00,
AN101135,44,270.00,
AN101149,22,840.00,
AP201026,5,390.00,
36AA4021,11,"1,270.00",
36AA4020,29,"1,430.00",
PA161202,4,810,
PA161203,2,800,
PD161204,1,700,
DU191006,11,890.00,
DS191001,20,760,
DU191047,16,920.00,
DM191005,16,1100,
DJ191061,47,770,
JD161200,5,890,
DJ191008,16,620,
DV191004,3,690,
JF161202,1,930,
JF161206,3,1160,
DT161204,4,860,
JC191019,1,810,
DD191132,8,910,
JB161200,9,540,
JB161203,4,260,
PF161201,1,840,
31191027,3,710,
PF161211,3,640,
PF161218,1,790,
JZ161221,1,920,
AA101706,13,330,
DH111034,16,850,
JA351610,18,230,
JA351609,32,260,
JA351608,12,120,
36DH4041,35,2140,
Y-36DH4041,2,,
JA531011,68,"1,630.00",
Y-JA531011,7,,
AA101565,55,580,
Y-AA101565,2,,
JZ161203,19,1230,
JZ161208,5,1350,
JZ161200,14,1130,
JC191004,1,1100,
FD191002,4,620,
JK161200,1,670,
PF161212,5,1150,       
PF161219,1,820,
DD201024,23,350,
PD402002,14,270,
DJ191081,5,880,
DJ181027,1,,NOT FOUND
FD181030,22,150,
PF161010,4,490,
DJ191054,1,1100,
DS181019,1,230,
AN131039,258,40,
31111056,10,"1,600.00",
31111058,3,600,
DU101214,1,"3,030.00",
JD551002,7,"1,680.00",
JA551002,7,50,
PF551003,5,"1,390.00",
JH551001,1,610,
JF561205,1,"1,210.00",
JY551008,1,"1,600.00",
AA121010,272,130,
28101080,30,30,
AA101491,33,30,
JE511067,15,30,
AA101622,60,50,
AA131004,29,60,
CS101128,50,40,
AA101084,19,30,
AA102082,3,30,
DS201025,13,870,
DJ201028,6,880,
JZ511004,7,"3,960.00",
DZ101075,5,"3,260.00",
DS101189,1,"3,170.00",
JW511201,6,"3,050.00",
PF511222,1,"2,950.00",
JN511202,7,"4,720.00",
JE511251,3,"4,080.00",
DH101411,1,"2,880.00",
GF101089,3,"2,060.00",
PF511209,3,"3,070.00",
JE511239,2,"3,320.00",
DJ101135,1,950,
JZ161207,40,780,
AA101588,9,"3,280.00",
AA101779,6,"2,810.00",
