STR_PART_CODE,STR_DESC,INT_QTY,INT_TOTAL_COST,INT_AVG_UNIT_COST
22170434,STUD-AXLE,0,0,83
28101195,HOLDER,17,2963.1,174.3
05190302,SPEEDO DRIVE,20,1992,99.6
DL181080,SEAL OIL-FORK,122,41334,339
39097315,NUT,100,5810,58.1
CB101022,COTTER VALVE,10,332,33.2
DD101007,GASKET-CYLINDER BLOCK,6,697.2,116.2
24101114,CLUSTER GEAR PLATE SET,30,12948,431.6
AB161182,CHECK PLATE Fr M-GUARD,13,1726.4,132.8
AB171013,TOP RUBBER BUSH,62,6175.2,99.6
AB201084,REDUCTION GEAR ASSY,18,6274.8,348.6
39043501,SCREW,50,1660,33.2
24161149,BUSH BRONZ,5,1826,365.2
DH101346,CLUTCH CENTER,7,10167.5,1452.5
39215220,BEARING NEEDLE [HK1015],43,10350.1,240.7
FD181012,CAP NUT,6,1892.4,315.4
13101165,GASKET,100,12450,124.5
DF221007,SIDE MIRROR - R/H,16,13412.8,838.3
31101056,GUIDE,6,149.4,24.9
03100335,BEARING NEEDLE [SCE188] - MAINSHAFT,40,9445.3,236
CD111005,FAN,10,4731,473.1
AA101150,COWLING CLUTCH SIDE,15,8715,581
AA101154,OIL STRAINER,99,12190.5,123
AB201083,HELICAL GEAR ASSY,42,7320.6,174.3
39142305,BORE STUD (SILENCER),30,1494,49.8
39175904,BOLT,10,249,24.9
39244011,WASHER - SPRING STEEL,20,332,16.6
DH161133,GROMMET - SIDE/C REAR,30,1494,49.8
39254104,BOLT - HEXAGON HEAD WITH FLANGE :- M7,10,249,24.9
21180307,KNOB,30,996,33.2
DD101325,CAP OIL FILTER,35,2324,66.4
AA101035,FAN,5,1784.5,356.9
24121060,TOP CAP  ASSY,3,1568.7,522.9
24121065,AIR SCREW,8,929.6,116.2
24121079,FLOAT  ASSY,8,2921.6,365.2
DH101050,CHAIN - CAM DID 25-98LI,175,156177,892
DH101154,GASKET CLUTCH COVER-PULSAR,149,34568,232
DH101195,NUT PRIMARY DRIVE LOCK,124,19326.8,156
DF161168,BRACKET-ENG UPPER RH,2,99.6,49.8
31191017,COVER-METER UPPER,1,273.9,273.9
JA131606,BUSHING,5,788.5,157.7
DL161048,SIDE STAND,38,21762.6,572.7
28101110,DAMPER SPRING,145,33857.5,234
DD161022,DAMPER,30,996,33.2
DJ101064,GASKET - EXHAUST,95,22935,241
31101216,COLLAR - SINTERED,15,871.5,58.1
39020111,P WASHER,100,830,8.3
39025111,P WASHER,109,904.7,8.3
AB201075,REAR BRAKE SWITCH,14,3602.2,257.3
24201167,IGNITION/BATTERY CUT OF SWIT.,3,3710.1,1236.7
DD221008,MIRROR  ASSY  RH,4,3685.2,921.3
24121077,MAIN  JET (80),0,0,116.2
24130209,FARE METER GEAR,36,15238.8,423.3
24130214,BUSH,24,18724.8,780.2
24140110,ADAPTER NUT,3,398.4,132.8
24160913,E.F. BLOCK,75,36727.5,489.7
24111065,L.T.COIL NO.2 [12V],25,34445,1377.8
39013205,STUD,100,4150,41.5
36311028,VALVE KIT CALIBER,152,254643.2,1675
24121049,BELLOW FOR UCAL CARB,3,672.3,224.1
AB201076,RELAY FLASHER (HAZARD),6,4880.4,813.4
DD191125,CABLE COMP STARTER,19,8358.1,439.9
AB161173,BRACKET ASSLY M/CYL MOUNTING,2,2656,1328
AB171033,SPACER,10,1162,116.2
AB181012,STL BALL WITH CAGE L,90,15372,171
AE101016,CLUTCH DRIVING PLATE (5P),59,16160.1,273.9
22170115,OIL SEAL [ F / HUB ],50,5395,107.9
39252820,BEARING-NEEDLE ROLLOR:14*20*16,80,21120,264
AK201012,FUSE - 10A (BLADE TYPE),10,664,66.4
35101059,FLAT CROSS-5P,34,56157.8,1651.7
DH121022,ELEMENT - AIR FILTER,12,5179.2,431.6
DF101055,SCREW - TAPPET,20,2490,124.5
DD181184,BRACKET - FORK LOWER,99,14790.6,149.4
DD191075,SPEEDOMETER CABLE,1,481.4,481.4
30141039,PACKING FUEL TAP,49,2846.9,58.1
05101072,THRUST PLATE,1,166,166
AA201093,FR LIGHT ASSY RH,4,6640,1660
21100711,CLIP,20,1162,58.1
AB151063,TMC COMP WTH OIL CNT,10,41334,4133.4
AB151091,WHEEL CYL ASY (D25.4) REAR,16,33864,2116.5
FD121004,ELEMENT AIR FILTER,1,249,249
AA101328,GASKET-CRANK CASE,40,21580,539.5
31191028,CABLE COMP CLUTCH,14,6972,498
01100714,SHOULDER RING NO.4,7,581,83
DF181091,DAMPER HANDLE HOLDER,6,398.4,66.4
FD181031,HOLDER HANDLE ASSEMBLY LOWER,0,0,431.6
DD181183,BRACKET - COWLING LOWER,100,28220,282.2
DD101440,SPRING STIFFER,10,996,99.6
DD181162,FLAP - COWLING,7,6972,996
DP161144,NUMBER PLATE - FRONT,5,1203.5,240.7
AA101207,HOUSING CLUTCH,69,62997,913
AA101015,GUIDE CHAIN (N.T.SIDE),125,13487.5,107.9
30191017,NUT CABLE,30,996,33.2
AA101063,CLUTCH HOUSING ASSLY,10,43160,4316
AA101077,GASKET CLUTCH COVER,60,36225,604
03100622,ROLLER BEARING  5TH GROUP,25,3527.5,141.1
AA161080,COVER - PLATE ELECTRICAL UNIT,20,11454,572.7
DD181207,HOLDER FORK UNDER,15,59262,3950.8
DH181015,BOLT FORK,9,3361.5,373.5
AF201035,BUTTON - START,3,2390.4,796.8
CD111004,PICK UP COIL,22,9860.4,448.2
39172104,FLANGED BOLT,40,1992,49.8
39184504,HEX.BOLT WITH FLANGE,22,2008.6,91.3
39186420,BEARING BALL [6304] - CRANKSHAFT,10,6225,622.5
19101019,SHOULDER RING NO-4,10,996,99.6
DH171019,NUT - U SWING ARM,5,871.5,174.3
DF141120,CAP ASSY - TANK,5,7138,1427.6
AB171030,GREASE SEAL [ F / HUB ],13,1618.5,124.5
39138904,HEX BOLT,14,581,41.5
39143520,BEARING NEEDLE [HK1616],90,19926,221
39044404,BOLT,20,996,49.8
DD101394,HUB CLUTCH (ADLER),3,2838.6,946.2
DD101475,WASHER SPECIAL,100,2905,29.05
14151033,BEARING BALL [6200] - ,11,6117.1,556.1
DF181092,DAMPER HANDLE HOLDER LOWER,20,1494,74.7
DH121093,NEEDLE ASSEMBLY,34,31935.5,939
DH181014,CUP STEARING,1,91.3,91.3
39239620,BEARING BALL [6201/C3] - R / DRUM,15,7594.5,506.3
FD201033,LENS SIDE INDICATOR,0,0,74.7
24190217,CABLE INNER REV GEAR,1,199.2,199.2
FD181030,HOLDER HANDLE UPPER,25,3112.5,124.5
DD201002,REFLECTOR,8,1992,249
DG161124,DAMPER,10,1328,132.8
DH101040,ARM - ROCKER,6,4581.6,763.6
DH101110,GEAR 4TH DRIVEN,8,16998.4,2124.8
DH101116,COLLAR - SPROCKET,11,2282.5,207.5
DH101157,CAP - CRANK CENTER,10,664,66.4
DD181011,SEAL  DUST,15,3486,232.4
AA191013,ACC. CABLE COMP. [4S RE],1,498,498
FD191003,CABLE COMP F/ BRAKE,0,0,614.2
39080708,SNAP PIN,20,249,12.45
30151011,CAM BRAKE,6,1892.4,315.4
AA101033,CRANK SHAFT ASSLY,19,172652.9,9087
AA101046,MULTIPLE GEAR,8,25232,3154
AA101048,MAIN SHAFT,3,19671,6557
AA101051,2 nd SPEED GEAR,13,36038.6,2772.2
