External ID,Internal Reference,Name,Barcode,Description,Product Category/External ID,Point of Sale Category/External ID,Product Type,Cost,Sales Price,Available in POS,Can be Purchased,Can be Sold
point_of_sale.01100323,01100323,WASHER,01100323,WASHER,point_of_sale.00399,pos_category.2w,Storable Product,5.0,5.0,True,True,True
point_of_sale.01100326,01100326,RUBBER BUSH,01100326,RUBBER BUSH,point_of_sale.00310,pos_category.2w,Storable Product,65.0,65.0,True,True,True
point_of_sale.01100404,01100404,BORE GASKET,01100404,BORE GASKET,point_of_sale.00167,pos_category.2w,Storable Product,10.0,10.0,True,True,True
point_of_sale.01100615,01100615,CASTLE NUT,01100615,CASTLE NUT,point_of_sale.00251,pos_category.2w,Storable Product,60.0,60.0,True,True,True
point_of_sale.01100719,01100719,WASHER,01100719,WASHER,point_of_sale.00399,pos_category.2w,Storable Product,20.0,20.0,True,True,True
point_of_sale.01100904,01100904,CLUTCH LEVER RETURN SPRING,01100904,CLUTCH LEVER RETURN SPRING,point_of_sale.00079,pos_category.2w,Storable Product,15.0,15.0,True,True,True
point_of_sale.01100909,01100909,INTERNAL LEVER,01100909,INTERNAL LEVER,point_of_sale.00215,pos_category.2w,Storable Product,20.0,20.0,True,True,True
point_of_sale.01101008,01101008,ROLLER,01101008,ROLLER,point_of_sale.00308,pos_category.2w,Storable Product,2.0,2.0,True,True,True
point_of_sale.01110609,01110609,PLAIN WASHER,01110609,PLAIN WASHER,point_of_sale.00399,pos_category.2w,Storable Product,5.0,5.0,True,True,True
point_of_sale.01120218,01120218,AUTOMISER,01120218,AUTOMISER,point_of_sale.00060,pos_category.2w,Storable Product,60.0,60.0,True,True,True
point_of_sale.01120222,01120222,FLOAT,01120222,FLOAT,point_of_sale.00060,pos_category.2w,Storable Product,95.0,95.0,True,True,True
point_of_sale.01160508,01160508,LOCK WASHER,01160508,LOCK WASHER,point_of_sale.00222,pos_category.2w,Storable Product,5.0,5.0,True,True,True
point_of_sale.01170110,01170110,HUB BEARING [6201],01170110,HUB BEARING [6201],point_of_sale.00199,pos_category.2w,Storable Product,540.0,540.0,True,True,True
point_of_sale.01170111,01170111,BEARING BALL [6203],01170111,BEARING BALL [6203],point_of_sale.00028,pos_category.2w,Storable Product,510.0,510.0,True,True,True
point_of_sale.02120304,02120304,RUBBER PLUG,02120304,RUBBER PLUG,point_of_sale.00310,pos_category.2w,Storable Product,15.0,15.0,True,True,True
point_of_sale.02140121,02140121,GASKET FOR PETROL TANK,02140121,GASKET FOR PETROL TANK,point_of_sale.00167,pos_category.2w,Storable Product,70.0,70.0,True,True,True
point_of_sale.02190249,02190249,CABLE COMP R / BRAKE,02190249,CABLE COMP R / BRAKE,point_of_sale.00054,pos_category.2w,Storable Product,80.0,80.0,True,True,True
point_of_sale.03100308,03100308,OIL SEAL [ R / HUB ],03100308,OIL SEAL [ R / HUB ],point_of_sale.00260,pos_category.2w,Storable Product,105.0,105.0,True,True,True
point_of_sale.03100623,03100623,ROLLER BEARING,03100623,ROLLER BEARING,point_of_sale.00028,pos_category.2w,Storable Product,55.0,55.0,True,True,True
point_of_sale.03100910,03100910,PLUNGER,03100910,PLUNGER,point_of_sale.00278,pos_category.2w,Storable Product,110.0,110.0,True,True,True
point_of_sale.03101201,03101201,SECTOR GEAR ASSY.,03101201,SECTOR GEAR ASSY.,point_of_sale.00320,pos_category.2w,Storable Product,930.0,930.0,True,True,True
point_of_sale.03120208,03120208,PILOT JET NO.42/100,03120208,PILOT JET NO.42/100,point_of_sale.00060,pos_category.2w,Storable Product,95.0,95.0,True,True,True
point_of_sale.03170126,03170126,OIL SEAL [ F/HUB ],03170126,OIL SEAL [ F/HUB ],point_of_sale.00260,pos_category.2w,Storable Product,50.0,50.0,True,True,True
point_of_sale.03170351,03170351,DAMPER BRACKET,03170351,DAMPER BRACKET,point_of_sale.00111,pos_category.2w,Storable Product,300.0,300.0,True,True,True
point_of_sale.03180118,03180118,BUSH,03180118,BUSH,point_of_sale.00048,pos_category.2w,Storable Product,30.0,30.0,True,True,True
point_of_sale.03180123,03180123,ROLLER BEARING,03180123,ROLLER BEARING,point_of_sale.00028,pos_category.2w,Storable Product,115.0,115.0,True,True,True
point_of_sale.03200232,03200232,H L GLASS,03200232,H L GLASS,point_of_sale.00173,pos_category.2w,Storable Product,155.0,155.0,True,True,True
point_of_sale.03220102,03220102,FOOT REST ASSY,03220102,FOOT REST ASSY,point_of_sale.00153,pos_category.2w,Storable Product,400.0,400.0,True,True,True
point_of_sale.04101027,04101027,DRIVING PLATE SET,04101027,DRIVING PLATE SET,point_of_sale.00275,pos_category.2w,Storable Product,660.0,660.0,True,True,True
point_of_sale.05101040,05101040,CLUTCH DRIVING PLATES,05101040,CLUTCH DRIVING PLATES,point_of_sale.00079,pos_category.2w,Storable Product,150.0,150.0,True,True,True
point_of_sale.05101057,05101057,SPACER,05101057,SPACER,point_of_sale.00339,pos_category.2w,Storable Product,15.0,15.0,True,True,True
point_of_sale.05111095,05111095,INSULATING CAP,05111095,INSULATING CAP,point_of_sale.00203,pos_category.2w,Storable Product,5.0,5.0,True,True,True
point_of_sale.05111190,05111190,CDI WITH DAMPER,05111190,CDI WITH DAMPER,point_of_sale.00127,pos_category.2w,Storable Product,1680.0,1680.0,True,True,True
point_of_sale.05151020,05151020,RE BR SHOE ASSY/W PAD,05151020,RE BR SHOE ASSY/W PAD,point_of_sale.00041,pos_category.2w,Storable Product,785.0,785.0,True,True,True
point_of_sale.05171056,05171056,ANTIDIVE LINK ASSLY,05171056,ANTIDIVE LINK ASSLY,point_of_sale.00221,pos_category.2w,Storable Product,380.0,380.0,True,True,True
