name,Product/Internal Reference,Counted Quantity
Sales of 2021/12/09,DJ101217,4.0
Sales of 2021/12/09,36PF0061,1.0
Sales of 2021/12/09,DH101422,1.0
Sales of 2021/12/09,AL121062,1.0
Sales of 2021/12/09,AA191091,1.0
Sales of 2021/12/09,DU191048,1.0
Sales of 2021/12/09,DJ221003,1.0
Sales of 2021/12/09,DJ221004,1.0
Sales of 2021/12/09,JN181001,3.0
Sales of 2021/12/09,JA541212,5.0
Sales of 2021/12/09,DS101072,5.0
Sales of 2021/12/09,AP111023,5.0
Sales of 2021/12/09,28101110,5.0
Sales of 2021/12/09,DT581062,1.0
Sales of 2021/12/09,PA581029,3.0
Sales of 2021/12/09,JZ113001,2.0
Sales of 2021/12/10,DJ101371,1.0
Sales of 2021/12/10,36PF0061,1.0
Sales of 2021/12/10,36JZ0002,1.0
Sales of 2021/12/10,JA351610,2.0
Sales of 2021/12/10,JB401401,1.0
Sales of 2021/12/10,36JZ0166,-1.0
Sales of 2021/12/11,ABC,0.0
Sales of 2021/12/12,ABC,0.0
