name,Include Exhausted Products,reference,line_ids/product_id/id,line_ids/location_id/id,line_ids/product_qty
Nishan Automobile Invoice - CB2003375,True,AA101593(YL),__export__.product_product_50706_c0c246e0,stock.stock_location_stock,1.0
,,AA121135(YL),__export__.product_product_50397_e1240392,stock.stock_location_stock,1.0
,,AE101016(YL),__export__.product_product_49906_e32abf4a,stock.stock_location_stock,28.0
,,AE101019(YL),__export__.product_product_50707_07d4bd68,stock.stock_location_stock,10.0
,,AN121205(YL),__export__.product_product_50691_6e1ae2b7,stock.stock_location_stock,1.0
,,BG401401(YL),__export__.product_product_50708_3d2516f5,stock.stock_location_stock,3.0
,,BP301(ENDURANCE),__export__.product_product_50280_5dd13a08,stock.stock_location_stock,2.0
,,RB0608(YL),__export__.product_product_50545_7b3b1185,stock.stock_location_stock,200.0
,,RJ0369(ENDURANCE),__export__.product_product_50400_88bbb456,stock.stock_location_stock,2.0
,,RJ0370(ENDURANCE),__export__.product_product_50401_fef87c9d,stock.stock_location_stock,2.0
,,RJ0571(OPTUS),__export__.product_product_50178_1ca9285b,stock.stock_location_stock,4.0
