name,Include Exhausted Products,reference,line_ids/product_id/id,line_ids/location_id/id,line_ids/product_qty,Accounting Date
PRIBDM2021121603097,True,28101110,__export__.product_product_38366_d07f9eb6,stock.stock_location_stock,183.0,2021-12-16
,,28101118,__export__.product_product_38367_771f9025,stock.stock_location_stock,385.0,
,,31111056,__export__.product_product_11350_86a3f005,stock.stock_location_stock,23.0,
,,31121029,__export__.product_product_11355_0a75480d,stock.stock_location_stock,96.0,
,,36314001K,__export__.product_product_11464_669bfc40,stock.stock_location_stock,98.0,
,,36JZ0002,__export__.product_product_12252_aa9afabd,stock.stock_location_stock,10.0,
,,39171519,__export__.product_product_38735_aae7f1e9,stock.stock_location_stock,356.0,
,,39218919,__export__.product_product_12751_5a5dd00b,stock.stock_location_stock,456.0,
,,AA101570,__export__.product_product_39004_1fd16a80,stock.stock_location_stock,293.0,
,,DD111018,__export__.product_product_14214_7e3a22e8,stock.stock_location_stock,276.0,
,,DX121010,__export__.product_product_17630_cc6741f2,stock.stock_location_stock,65.0,
PRIBDM2021122305921,True,31101067,__export__.product_product_11316_39fa99d1,stock.stock_location_stock,26.0,2021-12-23
,,31151024,__export__.product_product_11374_46d56290,stock.stock_location_stock,9.0,
,,36DD4002,__export__.product_product_11474_3b9de8b0,stock.stock_location_stock,234.0,
,,36DH4015,__export__.product_product_11502_d8e1aeea,stock.stock_location_stock,57.0,
,,36DH4103,__export__.product_product_11542_d66f7741,stock.stock_location_stock,10.0,
,,36DH4174,__export__.product_product_11568_f4df1e35,stock.stock_location_stock,15.0,
,,36DJ1004,__export__.product_product_11577_4a1c5231,stock.stock_location_stock,46.0,
,,36DU1001,__export__.product_product_11767_a60cf2c7,stock.stock_location_stock,199.0,
,,36JE0003,__export__.product_product_11890_917c9c76,stock.stock_location_stock,71.0,
,,36JF0117,__export__.product_product_11956_f43895d8,stock.stock_location_stock,8.0,
,,36PF0087,__export__.product_product_12539_87e1a294,stock.stock_location_stock,40.0,
,,DH101782,__export__.product_product_14945_faa7459b,stock.stock_location_stock,17.0,
,,JZ121059,__export__.product_product_31907_b66d0b6c,stock.stock_location_stock,2.0,
,,PF551201,__export__.product_product_33432_8e2fea88,stock.stock_location_stock,6.0,
,,36PA0154,__export__.product_product_12422_87804d48,stock.stock_location_stock,3.0,
,,52DH0117,__export__.product_product_12879_ad272bb6,stock.stock_location_stock,20.0,
,,DD101495,__export__.product_product_14210_c9a8ead8,stock.stock_location_stock,32.0,
,,DJ141056,__export__.product_product_15565_aee57d35,stock.stock_location_stock,10.0,
,,DK101733,__export__.product_product_16018_e3e6f324,stock.stock_location_stock,7.0,
,,DU74013H,__export__.product_product_17547_7a45a714,stock.stock_location_stock,6.0,
,,JA621414,__export__.product_product_18320_3d387222,stock.stock_location_stock,5.0,
,,JE511213,__export__.product_product_19012_8c09a1df,stock.stock_location_stock,6.0,
,,JE511221,__export__.product_product_19013_0a22e805,stock.stock_location_stock,28.0,
,,JL351038,__export__.product_product_23584_acff9a0b,stock.stock_location_stock,2.0,
,,JN581216,__export__.product_product_23908_ce47276d,stock.stock_location_stock,6.0,
,,JV521003,__export__.product_product_24159_26228152,stock.stock_location_stock,5.0,
,,JZ351215,__export__.product_product_32136_6f26d458,stock.stock_location_stock,3.0,
,,JZ551201,__export__.product_product_32211_2f7de35d,stock.stock_location_stock,6.0,
,,PA131208,__export__.product_product_32728_233ce280,stock.stock_location_stock,3.0,
,,59200028,__export__.product_product_14002_f19a8a51,stock.stock_location_stock,6.0,
,,JG571024,__export__.product_product_22864_f440c4a7,stock.stock_location_stock,10.0,
,,PD131803,__export__.product_product_33048_a75a47e8,stock.stock_location_stock,21.0,
,,PF351224,__export__.product_product_33361_ed892868,stock.stock_location_stock,6.0,
,,DH121171,__export__.product_product_15082_7a4ccc37,stock.stock_location_stock,3.0,
,,DS181036,__export__.product_product_16862_a98ede11,stock.stock_location_stock,7.0,
,,DS191041,__export__.product_product_16903_c93ebcaf,stock.stock_location_stock,4.0,
,,DT351008,__export__.product_product_17168_d548ac8c,stock.stock_location_stock,3.0,
,,JD122009,__export__.product_product_18709_faf52bc2,stock.stock_location_stock,2.0,
,,JF402404,__export__.product_product_22518_e945d28d,stock.stock_location_stock,8.0,
,,JL121008,__export__.product_product_23363_d011a614,stock.stock_location_stock,11.0,
,,PD402007,__export__.product_product_33146_18bb848e,stock.stock_location_stock,6.0,
,,52JZ1816,__export__.product_product_13621_879d4336,stock.stock_location_stock,1.0,
,,36JL0117,__export__.product_product_12104_fead2b13,stock.stock_location_stock,2.0,
,,JE621404,__export__.product_product_19188_11e282e7,stock.stock_location_stock,2.0,
,,DH121141,__export__.product_product_15071_e2b599d6,stock.stock_location_stock,4.0,
,,DK151033,__export__.product_product_16087_44e06d4e,stock.stock_location_stock,2.0,
,,DU111006,__export__.product_product_17307_46f9714e,stock.stock_location_stock,6.0,
,,DU201104,__export__.product_product_17483_1d739119,stock.stock_location_stock,1.0,
,,PA561209,__export__.product_product_32950_5dea99fc,stock.stock_location_stock,10.0,
,,DH102125,__export__.product_product_14978_d2e0395c,stock.stock_location_stock,35.0,
,,DH121166,__export__.product_product_15077_28644968,stock.stock_location_stock,2.0,
,,JG551423,__export__.product_product_22835_cc252ce0,stock.stock_location_stock,2.0,
,,PA351214,__export__.product_product_32872_9e888e99,stock.stock_location_stock,6.0,
,,JH351600,__export__.product_product_23064_0812b8ef,stock.stock_location_stock,3.0,
,,36DH4116,__export__.product_product_11551_38831f0b,stock.stock_location_stock,1.0,
,,DY161002,__export__.product_product_17663_6c9a8584,stock.stock_location_stock,3.0,
,,PF181422,__export__.product_product_33326_eacb6bb5,stock.stock_location_stock,3.0,
PRIBDM2021122305922,True,13101165,__export__.product_product_37643_4f5d7097,stock.stock_location_stock,186.0,2021-12-23
,,22151106,__export__.product_product_37750_ac71c412,stock.stock_location_stock,6.0,
,,24131046,__export__.product_product_38009_27bcc3e7,stock.stock_location_stock,31.0,
,,KPBC6301,__export__.product_product_47839_ac22c53f,stock.stock_location_stock,28.0,
,,39029615,__export__.product_product_38594_155e90e4,stock.stock_location_stock,690.0,
,,AA101364,__export__.product_product_38961_3da16435,stock.stock_location_stock,108.0,
,,AA111074,__export__.product_product_39144_e7fbf44f,stock.stock_location_stock,28.0,
PRIBDM2021122305923,True,36311006,__export__.product_product_11456_4154bc3e,stock.stock_location_stock,31.0,2021-12-23
,,36311028,__export__.product_product_11459_97dc2790,stock.stock_location_stock,49.0,
