name,Accounting Date,Include Exhausted Products,reference,line_ids/product_id/id,line_ids/location_id/id,line_ids/product_qty
PRIBDM2022011903706,2022-01-19,True,36DJ4005,__export__.product_product_11582_dd53e505,stock.stock_location_stock,25.0
,,,36DZ0002,__export__.product_product_11806_19d11b17,stock.stock_location_stock,42.0
,,,36JF0006,__export__.product_product_11912_289504ea,stock.stock_location_stock,7.0
,,,36JN0007,__export__.product_product_12126_0af01026,stock.stock_location_stock,25.0
,,,36JN0015,__export__.product_product_12127_f3dc9740,stock.stock_location_stock,28.0
,,,36JZ0007,__export__.product_product_12256_1b8a20bc,stock.stock_location_stock,25.0
,,,36PA0123,__export__.product_product_12397_0be52e63,stock.stock_location_stock,15.0
,,,DH101016,__export__.product_product_14757_9da29210,stock.stock_location_stock,49.0
,,,JN521001,__export__.product_product_23886_b85651cd,stock.stock_location_stock,14.0
,,,52JB0231,__export__.product_product_13229_294af31e,stock.stock_location_stock,15.0
,,,AA101666,__export__.product_product_39029_16dbb117,stock.stock_location_stock,24.0
