name,Accounting Date,Product/Internal Reference,Counted Quantity
Sales of 2022/01/20,2022/01/20,36311006,4
Sales of 2022/01/20,2022/01/20,AA111132,1
Sales of 2022/01/20,2022/01/20,JL402412,1
Sales of 2022/01/20,2022/01/20,31111058,1
Sales of 2022/01/20,2022/01/20,PD402400,1
Sales of 2022/01/20,2022/01/20,52DU0289,-1
Sales of 2022/01/20,2022/01/20,PD231604,-1
Sales of 2022/01/20,2022/01/20,DX101045,-2
Sales of 2022/01/20,2022/01/20,DU101278,-2
Sales of 2022/01/20,2022/01/20,JD511008,-4
Sales of 2022/01/20,2022/01/20,36DD4002,-5
Sales of 2022/01/20,2022/01/20,JD511010,-5
Sales of 2022/01/20,2022/01/20,PF151015,-1
Sales of 2022/01/20,2022/01/20,36DZ0002,-1
Sales of 2022/01/22,2022/01/22,AN111013,1
Sales of 2022/01/22,2022/01/22,36241010(YL),-1
Sales of 2022/01/22,2022/01/22,35101059,-1
Sales of 2022/01/22,2022/01/22,39118215,10
Sales of 2022/01/22,2022/01/22,39118215,4
Sales of 2022/01/22,2022/01/22,AA101593,-1
Sales of 2022/01/22,2022/01/22,AN101186,-1
Sales of 2022/01/22,2022/01/22,DK101064,-1
Sales of 2022/01/22,2022/01/22,AN101257,-1
Sales of 2022/01/22,2022/01/22,AA191102,-1
Sales of 2022/01/22,2022/01/22,24151171,-2
Sales of 2022/01/22,2022/01/22,AP111023,-2
Sales of 2022/01/22,2022/01/22,39143520,-20
Sales of 2022/01/24,2022/01/24,36DH4007,5
Sales of 2022/01/24,2022/01/24,AB151054,1
Sales of 2022/01/24,2022/01/24,AB151095,5
Sales of 2022/01/24,2022/01/24,22170115,5
Sales of 2022/01/24,2022/01/24,31151021,4
Sales of 2022/01/24,2022/01/24,39200012,-1
Sales of 2022/01/24,2022/01/24,31151021,-4
Sales of 2022/01/24,2022/01/24,31101041,-1
Sales of 2022/01/24,2022/01/24,DM101140,-1
Sales of 2022/01/24,2022/01/24,36JZ0001,-1
Sales of 2022/01/24,2022/01/24,AA201185,-1
Sales of 2022/01/24,2022/01/24,AA201185,-1
Sales of 2022/01/24,2022/01/24,AL201012,-3
Sales of 2022/01/24,2022/01/24,KPBB6007,-1
Sales of 2022/01/24,2022/01/24,DS101072,-3
Sales of 2022/01/24,2022/01/24,DJ141056,-1
Sales of 2022/01/24,2022/01/24,AA201085,-1
Sales of 2022/01/24,2022/01/24,24191182,-1
Sales of 2022/01/20,2022/01/20,AA191063,1
Sales of 2022/01/20,2022/01/20,CMU2419021,1
Sales of 2022/01/25,2022/01/25,CD101008,1
Sales of 2022/01/25,2022/01/25,39100320,1
Sales of 2022/01/25,2022/01/25,39188020,1
Sales of 2022/01/25,2022/01/25,AA101564,3
Sales of 2022/01/25,2022/01/25,AA101565,5
Sales of 2022/01/25,2022/01/25,DJ101217,2
Sales of 2022/01/25,2022/01/25,AB101059,-1
Sales of 2022/01/25,2022/01/25,36DU1205,-10
Sales of 2022/01/25,2022/01/25,DH101373,-20
Sales of 2022/01/25,2022/01/25,36JW0014,-10
Sales of 2022/01/25,2022/01/25,DD181032,-10
Sales of 2022/01/25,2022/01/25,DK151036,-5
Sales of 2022/01/25,2022/01/25,30151069,-100
Sales of 2022/01/25,2022/01/25,DJ201176,-1
Sales of 2022/01/25,2022/01/25,52DU0289,-1
Sales of 2022/01/25,2022/01/25,DJ181115,-5
Sales of 2022/01/25,2022/01/25,36DZ0002,-5
Sales of 2022/01/26,2022/01/26,AA101499,2
Sales of 2022/01/26,2022/01/26,DJ191026,10
Sales of 2022/01/26,2022/01/26,DK101237,10
Sales of 2022/01/26,2022/01/26,AA101564,2
Sales of 2022/01/26,2022/01/26,36JZ0024,-1
Sales of 2022/01/27,2022/01/27,AA101499,1
Sales of 2022/01/27,2022/01/27,AA101499,1
Sales of 2022/01/27,2022/01/27,AL201066,1
Sales of 2022/01/27,2022/01/27,05101018,-5
Sales of 2022/01/27,2022/01/27,AA101481,-3
Sales of 2022/01/27,2022/01/27,36241010,-5
Sales of 2022/01/27,2022/01/27,24160916,-3
Sales of 2022/01/27,2022/01/27,36AF0001,-5
Sales of 2022/01/27,2022/01/27,AE101016,-15
Sales of 2022/01/27,2022/01/27,39103519,-40
Sales of 2022/01/27,2022/01/27,DF161416,-50
Sales of 2022/01/27,2022/01/27,31101038,-1
Sales of 2022/01/27,2022/01/27,DU101038,-2
