name,Accounting Date,Include Exhausted Products,reference,line_ids/product_id/id,line_ids/location_id/id,line_ids/product_qty
PRIBDM2022013010279,2022-01-30,True,CMU24191092,__export__.product_product_50300_75095a30,stock.stock_location_stock,6.0
,,,CMUBA191050,__export__.product_product_50225_3d1c8427,stock.stock_location_stock,257.0
PRIBDM2022013111286,2022-01-31,True,31101024,__export__.product_product_11301_da9e89e1,stock.stock_location_stock,20.0
,,,52JL0158,__export__.product_product_13413_3a19040c,stock.stock_location_stock,7.0
,,,52JL0918,__export__.product_product_13445_ac1b7c63,stock.stock_location_stock,9.0
,,,DH111012,__export__.product_product_15012_b2c5a4fb,stock.stock_location_stock,12.0
,,,DX101049,__export__.product_product_17617_272afc07,stock.stock_location_stock,21.0
,,,DD101309,__export__.product_product_14181_3ea4832d,stock.stock_location_stock,17.0
,,,36JZ0005,__export__.product_product_12255_40900ed4,stock.stock_location_stock,10.0
,,,52JL0159,__export__.product_product_13414_b7ebf1be,stock.stock_location_stock,7.0
Sales of 2022/01/31,2022-01-31,True,39213319,__export__.product_product_38774_03904688,stock.stock_location_stock,17.0
,,,JL113015,__export__.product_product_23330_f255a96a,stock.stock_location_stock,0.0
,,,DH101864,__export__.product_product_14955_b2339f87,stock.stock_location_stock,23.0
,,,36DK0036,__export__.product_product_11654_f7247dc2,stock.stock_location_stock,0.0
,,,52AA4035(YL),__export__.product_product_50161_009349b6,stock.stock_location_stock,1.0
,,,39103519,__export__.product_product_38666_4cd4757b,stock.stock_location_stock,589.0
,,,AN101012,__export__.product_product_47127_4dbbc186,stock.stock_location_stock,38.0
,,,AA101013,__export__.product_product_38864_2845f219,stock.stock_location_stock,83.0
,,,AA111085,__export__.product_product_39154_65c7a6c5,stock.stock_location_stock,16.0
,,,36DD4008,__export__.product_product_11477_53ef9cbb,stock.stock_location_stock,34.0
,,,31111056,__export__.product_product_11350_86a3f005,stock.stock_location_stock,4.0
,,,DS121113,__export__.product_product_16752_4016fcd8,stock.stock_location_stock,40.0
,,,DH121093,__export__.product_product_15056_33c87146,stock.stock_location_stock,10.0
,,,DD181183,__export__.product_product_14308_4ef1b792,stock.stock_location_stock,77.0
,,,DD181192,__export__.product_product_14313_a4bb04a8,stock.stock_location_stock,11.0
,,,DD181184,__export__.product_product_14309_a19b7bc5,stock.stock_location_stock,57.0
,,,DD181187,__export__.product_product_14312_374831a8,stock.stock_location_stock,25.0
,,,JG521008,__export__.product_product_22778_b53210ef,stock.stock_location_stock,2.0
,,,JD511010,__export__.product_product_18884_48a84f25,stock.stock_location_stock,43.0
,,,AN111015,__export__.product_product_47220_e8ae781d,stock.stock_location_stock,36.0
,,,DS101101,__export__.product_product_16639_a0cc9a80,stock.stock_location_stock,30.0
,,,DH102107,__export__.product_product_14976_50825373,stock.stock_location_stock,21.0
,,,DS101072,__export__.product_product_16630_4ea0250e,stock.stock_location_stock,19.0
,,,DM101140,__export__.product_product_16343_04f3e8a2,stock.stock_location_stock,72.0
,,,AA101472,__export__.product_product_38983_f7e823a8,stock.stock_location_stock,21.0
,,,AB111107,__export__.product_product_46786_c2ecf83a,stock.stock_location_stock,18.0
,,,DH101188,__export__.product_product_14813_6613f0a6,stock.stock_location_stock,18.0
,,,AF201036,__export__.product_product_46951_c231835c,stock.stock_location_stock,1.0
,,,52AA4035,__export__.product_product_38830_2d55421a,stock.stock_location_stock,5.0
,,,DM101139,__export__.product_product_16342_58194f41,stock.stock_location_stock,30.0
