name,Accounting Date,Include Exhausted Products,reference,line_ids/product_id/id,line_ids/location_id/id,line_ids/product_qty
Sales of 2022/02/26,2022/02/26,True,DU191006,__export__.product_product_17429_aef1cffa,stock.stock_location_stock,1.0
,,,DJ201246,__export__.product_product_15854_83a073d9,stock.stock_location_stock,2.0
,,,AA191085,__export__.product_product_39386_d2227e69,stock.stock_location_stock,13.0
,,,JZ401012,__export__.product_product_32140_cddda7ca,stock.stock_location_stock,0.0
,,,AB151074,__export__.product_product_46813_f800696f,stock.stock_location_stock,34.0
,,,36DD4008,__export__.product_product_11477_53ef9cbb,stock.stock_location_stock,11.0
,,,JN122000,__export__.product_product_23826_5922f6f8,stock.stock_location_stock,4.0
,,,DD111018,__export__.product_product_14214_7e3a22e8,stock.stock_location_stock,365.0
,,,36JE0005,__export__.product_product_11892_8a61f1aa,stock.stock_location_stock,13.0
,,,DJ221004,__export__.product_product_15868_758a6db7,stock.stock_location_stock,18.0
Sales of 2022/02/28,2022/02/28,True,52DU0290,__export__.product_product_13154_5034bede,stock.stock_location_stock,0.0
,,,DP181063,__export__.product_product_16572_300e234b,stock.stock_location_stock,0.0
,,,DZ181003,__export__.product_product_17737_18640bfd,stock.stock_location_stock,1.0
,,,JB551406,__export__.product_product_18459_1ae34041,stock.stock_location_stock,1.0
,,,AL201012,__export__.product_product_47070_d6076684,stock.stock_location_stock,5.0
,,,JA351610,__export__.product_product_18155_bbdb1d09,stock.stock_location_stock,18.0
,,,JA351609,__export__.product_product_18154_a62db45c,stock.stock_location_stock,31.0
,,,35101059,__export__.product_product_38403_7d3e54e9,stock.stock_location_stock,1.0
,,,JD113201,__export__.product_product_18696_2259d803,stock.stock_location_stock,1.0
,,,DS101036,__export__.product_product_16613_fd429184,stock.stock_location_stock,51.0
,,,30151105,__export__.product_product_11238_926c2a15,stock.stock_location_stock,185.0
,,,AB151074,__export__.product_product_46813_f800696f,stock.stock_location_stock,34.0
Sales of 2022/03/01,2022/03/01,True,DH101795,__export__.product_product_47687_4cece32a,stock.stock_location_stock,3.0
,,,DJ101064,__export__.product_product_15461_9fa87c22,stock.stock_location_stock,67.0
,,,36JK0012,__export__.product_product_12013_a2133aed,stock.stock_location_stock,32.0
,,,AB151074,__export__.product_product_46813_f800696f,stock.stock_location_stock,34.0
Sales of 2022/03/03,2022/03/03,True,AA101213,__export__.product_product_38924_a7d5989d,stock.stock_location_stock,1.0
,,,AA102003,__export__.product_product_39099_82d91d75,stock.stock_location_stock,2.0
,,,AA101392,__export__.product_product_38967_4aadccb9,stock.stock_location_stock,4.0
,,,AA101033,__export__.product_product_38868_10850e70,stock.stock_location_stock,5.0
,,,AA101666,__export__.product_product_39029_16dbb117,stock.stock_location_stock,28.0
,,,DS101167,__export__.product_product_16661_a61a13a6,stock.stock_location_stock,154.0
,,,36JA0004,__export__.product_product_11829_81421b21,stock.stock_location_stock,30.0
,,,JA521001,__export__.product_product_18185_c6095013,stock.stock_location_stock,1.0
,,,36DD4002,__export__.product_product_11474_3b9de8b0,stock.stock_location_stock,73.0
,,,AA111085,__export__.product_product_39154_65c7a6c5,stock.stock_location_stock,4.0
,,,PD402002,__export__.product_product_33143_f83250e4,stock.stock_location_stock,10.0
,,,DH111012,__export__.product_product_15012_b2c5a4fb,stock.stock_location_stock,16.0
,,,39103519,__export__.product_product_38666_4cd4757b,stock.stock_location_stock,387.0
,,,DD101336,__export__.product_product_14184_2088016d,stock.stock_location_stock,4.0
,,,05101071,__export__.product_product_37587_3c095e5d,stock.stock_location_stock,8.0
Sales of 2022/03/02,2022/03/02,True,BH184000,__export__.product_product_47657_2fa25916,stock.stock_location_stock,6.0
,,,AA101565,__export__.product_product_39001_02753d26,stock.stock_location_stock,56.0
,,,36DZ0002,__export__.product_product_11806_19d11b17,stock.stock_location_stock,7.0
Sales of 2022/03/04,2022/03/04,True,AA171025,__export__.product_product_39349_95562052,stock.stock_location_stock,0.0
,,,AA101135,__export__.product_product_38899_d2b822c5,stock.stock_location_stock,1.0
,,,AA191085,__export__.product_product_39386_d2227e69,stock.stock_location_stock,12.0
,,,AA101054,__export__.product_product_38876_a00a6f31,stock.stock_location_stock,38.0
