name,Accounting Date,Include Exhausted Products,reference,line_ids/product_id/id,line_ids/location_id/id,line_ids/product_qty
PRIBDM2022042303298,2022-04-23,True,BGO20W50C,__export__.product_product_49755_86045366,stock.stock_location_stock,187.0
PRIBDM2022042303299,2022-04-23,True,01100342,__export__.product_product_37514_bf42a276,stock.stock_location_stock,20.0
,,,05190301,__export__.product_product_37597_d13f3f90,stock.stock_location_stock,6.0
,,,36AA4032,__export__.product_product_38460_de97b0e4,stock.stock_location_stock,10.0
,,,36AA4033,__export__.product_product_38461_229c483c,stock.stock_location_stock,45.0
,,,36DJ4104,__export__.product_product_11632_f03fb0a4,stock.stock_location_stock,52.0
,,,36DS1002,__export__.product_product_11704_29d95dc6,stock.stock_location_stock,40.0
,,,36AN0013,__export__.product_product_38527_7cb45b66,stock.stock_location_stock,30.0
,,,36BA4002,__export__.product_product_38530_923d3857,stock.stock_location_stock,8.0
,,,36DD4002,__export__.product_product_11474_3b9de8b0,stock.stock_location_stock,15.0
,,,JA541212,__export__.product_product_18221_f8c7c29e,stock.stock_location_stock,82.0
,,,JB581005,__export__.product_product_18471_c29916a9,stock.stock_location_stock,13.0
,,,AE101016,__export__.product_product_46883_64fd3e49,stock.stock_location_stock,31.0
,,,DH101154,__export__.product_product_14800_9ce1343b,stock.stock_location_stock,42.0
,,,DJ191023,__export__.product_product_15749_c19a10fa,stock.stock_location_stock,48.0
,,,DJ191081,__export__.product_product_15776_d50d7b50,stock.stock_location_stock,5.0
,,,DS101072,__export__.product_product_16630_4ea0250e,stock.stock_location_stock,97.0
,,,DS101096,__export__.product_product_16638_8ddb947e,stock.stock_location_stock,92.0
PRIBDM2022042303300,2022-04-23,True,24171094,__export__.product_product_38204_1b275c76,stock.stock_location_stock,25.0
,,,24191126,__export__.product_product_38271_c0f4baaf,stock.stock_location_stock,16.0
,,,36241010,__export__.product_product_38429_e8a114d2,stock.stock_location_stock,56.0
,,,JZ232600,__export__.product_product_32098_fecb2904,stock.stock_location_stock,1.0
,,,AA201012,__export__.product_product_46676_280283c9,stock.stock_location_stock,25.0
,,,AA191092,__export__.product_product_39388_2e2ed593,stock.stock_location_stock,15.0
,,,31101024,__export__.product_product_11301_da9e89e1,stock.stock_location_stock,24.0
,,,31101041,__export__.product_product_11306_cfe8cc44,stock.stock_location_stock,50.0
,,,39074501,__export__.product_product_12589_6f871572,stock.stock_location_stock,225.0
,,,39103519,__export__.product_product_38666_4cd4757b,stock.stock_location_stock,818.0
,,,39128321,__export__.product_product_38685_3347ae00,stock.stock_location_stock,28.0
,,,39201719,__export__.product_product_12732_708a75a8,stock.stock_location_stock,438.0
,,,39218919,__export__.product_product_12751_5a5dd00b,stock.stock_location_stock,636.0
,,,39240320,__export__.product_product_12787_61902238,stock.stock_location_stock,42.0
,,,39262921,__export__.product_product_12836_413bc739,stock.stock_location_stock,101.0
,,,56DH057T,__export__.product_product_13760_a64f0d79,stock.stock_location_stock,2.0
,,,AA101013,__export__.product_product_38864_2845f219,stock.stock_location_stock,28.0
,,,AA121336,__export__.product_product_39249_6b5e9159,stock.stock_location_stock,52.0
,,,AA191064,__export__.product_product_39372_3be32718,stock.stock_location_stock,19.0
,,,AA191069,__export__.product_product_39376_dbb2cb8a,stock.stock_location_stock,19.0
,,,AA191073,__export__.product_product_39379_1a345bf3,stock.stock_location_stock,17.0
,,,36DT0034,__export__.product_product_11744_ecaf5fae,stock.stock_location_stock,3.0
PRIBDM2022042303301,2022-04-23,True,BGO20W50C,__export__.product_product_49755_86045366,stock.stock_location_stock,107.0
