name,Accounting Date,Product/Internal Reference,Counted Quantity
PRIBDM2022073103268,2022-08-31,01100342K,50.0
PRIBDM2022073103268,2022-08-31,36JE0012,2.0
PRIBDM2022073103268,2022-08-31,36PA0123,6.0
PRIBDM2022073103268,2022-08-31,AA201185,4.0
PRIBDM2022073103268,2022-08-31,JZ401012,2.0
PRIBDM2022073103268,2022-08-31,PA351214,5.0
PRIBDM2022073103268,2022-08-31,52DU0934,4.0
PRIBDM2022073103268,2022-08-31,AA111091,3.0
PRIBDM2022073103268,2022-08-31,AA111122,2.0
PRIBDM2022073103268,2022-08-31,AA121006,5.0
PRIBDM2022073103268,2022-08-31,DH171023,2.0
PRIBDM2022073103268,2022-08-31,DJ201206,5.0
PRIBDM2022073103268,2022-08-31,DJ201207,5.0
PRIBDM2022073103268,2022-08-31,DM151029,1.0
PRIBDM2022073103268,2022-08-31,DS181083,6.0
PRIBDM2022073103268,2022-08-31,DU74013H,5.0
PRIBDM2022073103268,2022-08-31,DZ181004,2.0
PRIBDM2022073103268,2022-08-31,JA551414,10.0
PRIBDM2022073103268,2022-08-31,JA551415,6.0
PRIBDM2022073103268,2022-08-31,JE531001,10.0
PRIBDM2022073103268,2022-08-31,JN122000,4.0
PRIBDM2022073103269,2022-08-31,24171014K,30.0
PRIBDM2022073103269,2022-08-31,36DU1001,60.0
PRIBDM2022073103269,2022-08-31,39255020K,20.0
PRIBDM2022073103269,2022-08-31,DH111009,5.0
PRIBDM2022073103269,2022-08-31,DJ181041,3.0
PRIBDM2022073103269,2022-08-31,DS161112,3.0
PRIBDM2022073103269,2022-08-31,AA101750K,15.0
PRIBDM2022073103269,2022-08-31,DJ161254,6.0
PRIBDM2022073103269,2022-08-31,AE101016K,15.0
PRIBDM2022073103269,2022-08-31,DD101475,100.0
PRIBDM2022073103269,2022-08-31,DD181207,1.0
PRIBDM2022073103269,2022-08-31,DJ151037,5.0
PRIBDM2022073103270,2022-08-31,30151105,20.0
PRIBDM2022073103270,2022-08-31,31151060,20.0
PRIBDM2022073103270,2022-08-31,PA351214,2.0
PRIBDM2022073103270,2022-08-31,52DH1357,3.0
PRIBDM2022073103271,2022-08-31,24101114,10.0
PRIBDM2022073103271,2022-08-31,JB351201,2.0
PRIBDM2022073103271,2022-08-31,JE511233,5.0
