name,Product/Internal Reference,Counted Quantity
"Sales 2021/06/25,26,28",06101213,3.0
"Sales 2021/06/25,26,28",DH201080,1.0
"Sales 2021/06/25,26,28",36DJ1004,1.0
"Sales 2021/06/25,26,28",AA111156,1.0
"Sales 2021/06/25,26,28",36AA4042,1.0
"Sales 2021/06/25,26,28",AA121193,1.0
"Sales 2021/06/25,26,28",DJ201207,1.0
"Sales 2021/06/25,26,28",6202(NACHi),1.0
"Sales 2021/06/25,26,28",6302(NACHi),1.0
"Sales 2021/06/25,26,28",DS101071,1.0
"Sales 2021/06/25,26,28",DH101680,1.0
"Sales 2021/06/25,26,28",AA101588,1.0
"Sales 2021/06/25,26,28",AA101666,1.0
"Sales 2021/06/25,26,28",36281008,1.0
"Sales 2021/06/25,26,28",DH102053(YL),1.0
"Sales 2021/06/25,26,28",36DH4011,-1.0
"Sales 2021/06/25,26,28",31151060,-1.0
"Sales 2021/06/25,26,28",JG621413,-1.0
"Sales 2021/06/25,26,28",AL201012(YL),-1.0
"Sales 2021/06/25,26,28",6300(NACHi),-1.0
"Sales 2021/06/25,26,28",6200(NACHi),-1.0
"Sales 2021/06/25,26,28",JZ161204,2.0
"Sales 2021/06/25,26,28",DH101188,-5.0
"Sales 2021/06/25,26,28",PD531029,-4.0
"Sales 2021/06/25,26,28",PD511229,-2.0
"Sales 2021/06/25,26,28",DH101877,-2.0
"Sales 2021/06/25,26,28",36DH4117,-2.0
"Sales 2021/06/25,26,28",DU191047,-3.0
"Sales 2021/06/25,26,28",52DU0104,-2.0
"Sales 2021/06/25,26,28",03100338,-4.0
"Sales 2021/06/25,26,28",06101009,-3.0
"Sales 2021/06/25,26,28",24101114,-3.0
"Sales 2021/06/25,26,28",AA101210,7.0
"Sales 2021/06/25,26,28",6301(NACHi),1.0
"Sales 2021/06/25,26,28",6201(NACHi),1.0
"Sales 2021/06/25,26,28",AA191032,-1.0
"Sales 2021/06/25,26,28",6004(NACHi),0.0
"Sales 2021/06/25,26,28",LCF00001,6.0
"Sales 2021/06/25,26,28",DX101046,1.0
"Sales 2021/06/25,26,28",24151059,2.0
"Sales 2021/06/25,26,28",AZ161212,1.0
"Sales 2021/06/25,26,28",JE551403,1.0
"Sales 2021/06/25,26,28",36AA4018,2.0
"Sales 2021/06/25,26,28",39201719,2.0
"Sales 2021/06/25,26,28",24101203,1.0
"Sales 2021/06/25,26,28",AA101262,1.0
"Sales 2021/06/25,26,28",AA101013,1.0
"Sales 2021/06/25,26,28",39103519,1.0
"Sales 2021/06/25,26,28",28101118,1.0
"Sales 2021/06/25,26,28",AP201029,1.0
"Sales 2021/06/25,26,28",DH121093,-2.0
"Sales 2021/06/25,26,28",DS101277,1.0
"Sales 2021/06/25,26,28",36152203,1.0
"Sales 2021/06/25,26,28",36DU1205,-10.0
"Sales 2021/06/25,26,28",D521002,1.0
"Sales 2021/06/25,26,28",JD511010,1.0
"Sales 2021/06/25,26,28",DD181183,1.0
"Sales 2021/06/25,26,28",39108019,1.0
PRIRSQ2021052804008,AA231255,5.0
PRIBDM2021062803424,24131032,30.0
PRIBDM2021062803423,39121420,20.0
PRIBDM2021062803423,DH101373,50.0
PRIBDM2021062803423,JB181421,6.0
PRIBDM2021062803422,AA101512,50.0
PRIBDM2021062803421,24130105,75.0
PRIBDM2021062803421,36AA4033,10.0
PRIBDM2021062803421,AN101300,68.0
PRIBDM2021062803421,DH101795,15.0
PRIBDM2021062803421,DK101755,10.0
PRIBDM2021062803420,36224004,20.0
PRIBDM2021062803420,39240320,25.0
PRIBDM2021062803420,59200012,50.0
PRIBDM2021062803419,03100718,250.0
PRIBDM2021062803419,22170434,400.0
PRIBDM2021062803419,36AA4007,50.0
PRIBDM2021062803419,36BA4039,10.0
PRIBDM2021062803419,AA201012,13.0
PRIBDM2021062803419,AL201012,50.0
PRIBDM2021062803418,36AA4041,50.0
PRIBDM2021062803417,06101218,30.0
PRIBDM2021062803416,AL191043,5.0
PRIBDM2021062803415,AA101499,30.0
PRIBDM2021062803415,BF402003,3.0
PRIBDM2021062803414,22171007,25.0
PRIBDM2021062803414,24131004,30.0
PRIBDM2021062803414,AA101844,50.0
PRIBDM2021062803414,AN101012,30.0
PRIRSQ2021062803412,AN101123,2.0
PRIBDM2021062803413,24151171,4.0
PRIBDM2021062803413,36AN0013,2.0
PRIBDM2021062803413,36DJ4104,5.0
PRIBDM2021062803413,AA101446,2.0
PRIBDM2021062803413,AA101569,2.0
PRIBDM2021062803413,AF111010,2.0
PRIBDM2021062803413,AA111122,0.0
PRIBDM2021062803413,DL181080,4.0
PRIBDM2021062803413,DZ191014,4.0
PRIBDM2021062803413,AB171044,2.0
PRIBDM2021062803413,DJ151071,5.0
PRIBDM2021062803411,BGO20W50C,125.0
PRIBDM2021062803410,30151105,2.0
PRIBDM2021062803410,36AN0010,6.0
PRIBDM2021062803410,36DU4017,6.0
PRIBDM2021062803410,CL201023,20.0
PRIBDM2021062803410,DD121181,1.0
PRIBDM2021062803410,DH101864,5.0
PRIBDM2021062803410,JN521001,10.0
