ID,Product/ID,Product/Internal Reference,Counted Quantity
__export__.stock_inventory_line_165167_54878b9b,__export__.product_product_37671_afe99ecb,21130110,40.0
__export__.stock_inventory_line_167003_c79bfaa5,__export__.product_product_17298_419b95c5,DU101278,15.0
__export__.stock_inventory_line_166526_7954dd5b,__export__.product_product_14583_695d257d,DG111008,212.0
__export__.stock_inventory_line_166442_b0d5afaf,__export__.product_product_14110_99307f6f,CL201023,48.0
__export__.stock_inventory_line_165589_b0468eaf,__export__.product_product_12127_f3dc9740,36JN0015,12.0
__export__.stock_inventory_line_166787_127d7da0,__export__.product_product_15981_476e34e2,DK101565,52.0
__export__.stock_inventory_line_165452_5616afca,__export__.product_product_38456_85771566,36AA4025,24.0
__export__.stock_inventory_line_166010_b9225eab,__export__.product_product_38983_f7e823a8,AA101472,135.0
__export__.stock_inventory_line_166038_f8ad9c6f,__export__.product_product_39036_943f20cf,AA101692,26.0
__export__.stock_inventory_line_166540_10d1a5eb,__export__.product_product_14754_0911f799,DH101006,33.0
__export__.stock_inventory_line_166021_775e7743,__export__.product_product_39001_02753d26,AA101565,45.0
__export__.stock_inventory_line_166020_d77aac2a,__export__.product_product_39000_1ec75527,AA101564,41.0
__export__.stock_inventory_line_167660_31d7ba32,__export__.product_product_47837_489bde84,KPBB6007,10.0
__export__.stock_inventory_line_166683_3a681a6f,__export__.product_product_15533_9fe14543,DJ121022,15.0
__export__.stock_inventory_line_166740_2209b62f,__export__.product_product_15778_319c342d,DJ191083,10.0
__export__.stock_inventory_line_166220_b66656c0,__export__.product_product_46805_e3ebe440,AB151054,9.0
__export__.stock_inventory_line_166298_b66abfff,__export__.product_product_47142_6ac208e3,AN101123,11.0
__export__.stock_inventory_line_165191_18e24e75,__export__.product_product_37822_a4ad1f0e,24101114,23.0
__export__.stock_inventory_line_174959_5dde749f,__export__.product_product_15749_c19a10fa,DJ191023,1.0
__export__.stock_inventory_line_165183_6f14b743,__export__.product_product_37798_4ffc50ed,24100703,4.0
__export__.stock_inventory_line_168005_b39524f8,__export__.product_product_37609_f90a0b7a,06101213,1.0
__export__.stock_inventory_line_166224_080c2765,__export__.product_product_46813_f800696f,AB151074,6.0
__export__.stock_inventory_line_166068_0280175e,__export__.product_product_39138_6618b875,AA111051,0.0
__export__.stock_inventory_line_171832_fe5c7088,__export__.product_product_39143_b649a709,AA111072,1.0
__export__.stock_inventory_line_165236_52eb20a4,__export__.product_product_38006_09294f34,24131016,19.0
__export__.stock_inventory_line_165688_dfc21639,__export__.product_product_38737_f5ce49e6,39171905,0.0
__export__.stock_inventory_line_165954_dba7b2a3,__export__.product_product_38876_a00a6f31,AA101054,10.0
__export__.stock_inventory_line_165944_3f305bbf,__export__.product_product_38864_2845f219,AA101013,64.0
