Product/Internal Reference,Counted Quantity
AA131063,5.0
AA201185,3.0
DH101424,10.0
DK101569,5.0
DU201101,3.0
AA131063,5.0
AA201185,3.0
DH101424,10.0
DU201101,3.0
DK101569,5.0
DS201035,4.0
DX101046,1.0
36AA4050,2.0
39103519,100.0
AA101692,20.0
BF551613,35.0
AB151048,3.0
06101009,30.0
36241010,30.0
36DS1002,20.0
36JE0024,5.0
36JZ0001,25.0
AA101033,7.0
AA111085,30.0
AA121150,10.0
AA171006,20.0
AE121001,20.0
AN101149,25.0
AZ351002,6.0
DH101680,30.0
DH121093,10.0
DJ181115,100.0
DJ191023,20.0
DS101096,100.0
JD511008,20.0
JZ511016,20.0
36AA4020,10.0
36AA4033,15.0
36AA4055,5.0
36DH4032,6.0
36DJ4008,10.0
36PA0042,10.0
39104319,31.0
39219019,200.0
AA191071,10.0
AA191091,15.0
CS101128,100.0
DD101063,6.0
DH101795,20.0
DH101864,5.0
DJ161254,5.0
DJ181041,6.0
DV101042,100.0
JA511012,15.0
JA541011,15.0
JD131816,2.0
JD511201,20.0
JD511202,20.0
JE571007,20.0
36AN0010,15.0
AA101446,25.0
AA121150,10.0
AB181017,1.0
AN101123,2.0
AN101190,3.0
JN521001,20.0
01100610,100.0
13101024,20.0
24101076,6.0
24101203,2.0
39128321,50.0
AA102094,20.0
28101107,100.0
31101173,100.0
JG601235,3.0
BF551613,100.0
31101033,10.0
36DS1004,10.0
36JZ0007,2.0
39104319,25.0
AA201185,2.0
DS201035,1.0
DU101185,3.0
DU201101,2.0
39219019,25.0
AA101569,10.0
AZ351207,10.0
DK101386,10.0
52PF1156,1.0
DD111018,10.0
DH101050,10.0
DJ201132,2.0
DJ201176,2.0
JL401012,1.0
52DH1335,1.0
52DH1531,1.0
52DU0104,3.0
DG111008,10.0
DH111072,1.0
DM101139,5.0
DM101140,5.0
DS101036,10.0
DS101096,15.0
JA511006,6.0
JA531011,10.0
JA541212,20.0
JB511019,6.0
JC101034,3.0
JD521002,25.0
JE541051,1.0
24101100,5.0
52210040,10.0
BA132172,10.0
31151060,10.0
39219019,50.0
DD111018,50.0
DH101877,20.0
24101050,20.0
24151171,50.0
30101096,150.0
31151021,80.0
36152203,50.0
36AA1003,30.0
36DD4008,60.0
36DJ4104,50.0
AA101210,350.0
AA101472,300.0
AA121006,50.0
AB171044,20.0
AN101123,20.0
AN101190,30.0
CL201023,50.0
DJ101064,30.0
DJ151071,50.0
DL181080,50.0
JD511010,50.0
36JW0014,25.0
52DU0104,15.0
56DJ3X1Y,2.0
DH101862,10.0
DH101877,15.0
DU151018,5.0
JE551413,3.0
JZ181237,2.0
31151021,12.0
36AA4050,2.0
52JB0231,2.0
DJ201176,2.0
DU201101,2.0
JA541212,20.0
22170434,120.0
24101100,5.0
24101545,30.0
24191126,10.0
36011001,30.0
52AA0501,15.0
36JA0002,10.0
36PA0004,15.0
DH101016,50.0
DH101680,20.0
DH121093,2.0
DZ101075,6.0
JA541011,20.0
JA541205,50.0
JD231600,10.0
JZ231601,5.0
JA581006,20.0
JB581005,10.0
JE531001,10.0
AA111122,15.0
AA121142,10.0
DJ181033,15.0
DJ191015,15.0
JN181001,5.0
31101033,20.0
39103519,20.0
39108019,20.0
39219019,20.0
AA121336,10.0
DH101016,10.0
DH101050,10.0
DJ201176,3.0
DS101036,20.0
DS101096,10.0
DS201035,2.0
DU201101,2.0
JA521017,5.0
JB511019,5.0
JD521002,20.0
03100338,5.0
05101018,5.0
AA101057,2.0
AA111085,5.0
CD101082,2.0
DD111018,20.0
DD111048,5.0
DG111008,20.0
DS201035,2.0
39104319,20.0
39219019,20.0
DJ201176,3.0
DS101096,10.0
DS201035,1.0
JB511019,5.0
JD521002,20.0
36JW0014,20.0
36JZ0002,6.0
36PA0002,25.0
52AA4035,6.0
52DU0104,20.0
DH101344,15.0
DJ101012,25.0
DJ101216,15.0
DJ191055,15.0
DK101755,15.0
JA581221,10.0
JC101034,15.0
39128321,30.0
39262921,50.0
DH101006,30.0
DM101139,50.0
DM101140,50.0
JK402411,2.0
