ID,Product/ID,Product/Internal Reference,Counted Quantity
__export__.stock_inventory_line_281423_0b54be5f,__export__.product_product_37717_31a459a1,22131018,26.0
__export__.stock_inventory_line_281485_2f0b229b,__export__.product_product_37992_324a6f3d,24130111,9.0
__export__.stock_inventory_line_283487_b59b4bb8,__export__.product_product_18462_724be337,JB551411,12.0
__export__.stock_inventory_line_281845_24c87f6e,__export__.product_product_12049_ecf5f772,36JL0009,14.0
__export__.stock_inventory_line_297584_9efd50c0,__export__.product_product_33361_ed892868,PF351224,10.0
__export__.stock_inventory_line_295339_74b71baf,__export__.product_product_23769_eedd3437,JL601235,3.0
__export__.stock_inventory_line_281551_3a9649d5,__export__.product_product_38204_1b275c76,24171094,26.0
__export__.stock_inventory_line_285712_708dbbd6,__export__.product_product_11836_5a92326a,36JB0003,10.0
__export__.stock_inventory_line_281819_d47fca8b,__export__.product_product_11892_8a61f1aa,36JE0005,12.0
__export__.stock_inventory_line_281821_8d4f2eae,__export__.product_product_11895_c83ab709,36JE0012,13.0
__export__.stock_inventory_line_282258_d8d0b889,__export__.product_product_38912_73e327e5,AA101162,41.0
__export__.stock_inventory_line_282342_61834f03,__export__.product_product_39099_82d91d75,AA102003,9.0
__export__.stock_inventory_line_282370_b668388f,__export__.product_product_39169_7640e93d,AA111122,19.0
__export__.stock_inventory_line_281849_9f01c0dc,__export__.product_product_12126_0af01026,36JN0007,17.0
__export__.stock_inventory_line_281850_3f332f77,__export__.product_product_12127_f3dc9740,36JN0015,17.0
__export__.stock_inventory_line_282124_96eebb0e,__export__.product_product_13603_b57b0b11,52JZ0927,4.0
__export__.stock_inventory_line_282453_17a0fefd,__export__.product_product_39382_23e64469,AA191080,16.0
__export__.stock_inventory_line_288245_a5ba6087,__export__.product_product_39383_d122823b,AA191082,6.0
__export__.stock_inventory_line_282573_c65a19d6,__export__.product_product_47121_5eb1d4c7,AM191005,21.0
__export__.stock_inventory_line_282574_68e1c000,__export__.product_product_47127_4dbbc186,AN101012,44.0
__export__.stock_inventory_line_283326_85b79ad3,__export__.product_product_17488_a3540c39,DU201123,13.0
__export__.stock_inventory_line_283816_13d79157,__export__.product_product_23826_5922f6f8,JN122000,7.0
__export__.stock_inventory_line_282461_81e279d0,__export__.product_product_46663_9a5ea4ce,AA191102,14.0
__export__.stock_inventory_line_282460_7fac8226,__export__.product_product_46661_a7ef76c4,AA191094,11.0
__export__.stock_inventory_line_292131_77ad9149,__export__.product_product_16854_b041350c,DS181022,4.0
__export__.stock_inventory_line_283371_72ef818f,__export__.product_product_17752_f2c5b76e,DZ191014,27.0
__export__.stock_inventory_line_295148_31a9b3af,__export__.product_product_23550_e4a54b4a,JL231600,3.0
__export__.stock_inventory_line_283891_0f6dac39,__export__.product_product_32009_08a82540,JZ161210,41.0
