ID,Product/ID,Product/Internal Reference,Counted Quantity
__export__.stock_inventory_line_299662_f7179fc0,__export__.product_product_15715_5440f108,DJ181087,108.0
__export__.stock_inventory_line_299403_7f3ee486,__export__.product_product_14243_470851c1,DD121181,537.0
__export__.stock_inventory_line_298008_262cf113,__export__.product_product_37562_f522a1f2,03100338,48.0
__export__.stock_inventory_line_302114_ffea3210,__export__.product_product_11525_0ee08097,36DH4050,-1.0
__export__.stock_inventory_line_299484_231f6b64,__export__.product_product_14768_5eb4ee7d,DH101050,174.0
__export__.stock_inventory_line_298501_ab29ca1d,__export__.product_product_12301_4cb15cd2,36JZ0074,8.0
__export__.stock_inventory_line_300213_f6e687d9,__export__.product_product_18883_16544477,JD511008,10.0
__export__.stock_inventory_line_300218_cb55209e,__export__.product_product_18893_8c595228,JD521002,814.0
__export__.stock_inventory_line_299399_7227b9fb,__export__.product_product_14214_7e3a22e8,DD111018,306.0
__export__.stock_inventory_line_298357_026cad2e,__export__.product_product_38471_b49b6a2b,36AA4055,6.0
__export__.stock_inventory_line_298378_0eb897b5,__export__.product_product_38537_13f3269f,36BA4039,103.0
__export__.stock_inventory_line_298894_e439bad2,__export__.product_product_38905_61fd67bb,AA101143,37.0
__export__.stock_inventory_line_298835_5728bf91,__export__.product_product_38855_34d7d6f2,59200012,1.0
__export__.stock_inventory_line_298205_d00d14ad,__export__.product_product_38268_6bc6bbb0,24191100,15.0
__export__.stock_inventory_line_299441_23f1de9d,__export__.product_product_14448_2af00a81,DF101055,74.0
__export__.stock_inventory_line_298206_743493b7,__export__.product_product_38269_ac0da380,24191101,0.0
__export__.stock_inventory_line_299314_4a1b3345,__export__.product_product_47426_63b35f52,BA132141,50.0
__export__.stock_inventory_line_298569_3e555b1a,__export__.product_product_38666_4cd4757b,39103519,1124.0
__export__.stock_inventory_line_298181_a0bee9b9,__export__.product_product_38199_8c8e39b1,24171066,110.0
__export__.stock_inventory_line_299042_e1f69aa8,__export__.product_product_39251_f2ab4a5e,AA131004,22.0
__export__.stock_inventory_line_299023_720237c6,__export__.product_product_39184_addf96fb,AA121006,78.0
__export__.stock_inventory_line_298354_5e196ee6,__export__.product_product_38465_b0e8d713,36AA4042,15.0
__export__.stock_inventory_line_298356_22ec9313,__export__.product_product_38470_656a956e,36AA4050,23.0
__export__.stock_inventory_line_298367_205d7487,__export__.product_product_38501_c244c379,36AB4015,39.0
__export__.stock_inventory_line_298319_53cda190,__export__.product_product_38417_75502bfa,36152203,44.0
__export__.stock_inventory_line_299181_e211a10d,__export__.product_product_46884_2efac440,AE101016K,27.0
__export__.stock_inventory_line_298884_2f5fa307,__export__.product_product_38885_713ab8d9,AA101073,8.0
__export__.stock_inventory_line_299100_c8f9e770,__export__.product_product_39386_d2227e69,AA191085,17.0
__export__.stock_inventory_line_299195_d0d75152,__export__.product_product_46951_c231835c,AF201036,102.0
__export__.stock_inventory_line_299218_eb122df5,__export__.product_product_47127_4dbbc186,AN101012,41.0
__export__.stock_inventory_line_299014_cbc89dbd,__export__.product_product_39172_2b9c5083,AA111147,27.0
__export__.stock_inventory_line_299025_518172a1,__export__.product_product_39188_3663bc39,AA121010,258.0
__export__.stock_inventory_line_298995_09c32d9e,__export__.product_product_39140_0df98ef0,AA111058,8.0
