name,Accounting Date,Include Exhausted Products,reference,line_ids/product_id/id,line_ids/location_id/id,line_ids/product_qty
Sales of 2022/02/21,2022/02/21,True,BA132172,__export__.product_product_47429_fcfa490a,stock.stock_location_stock,0.0
,,,39097315,__export__.product_product_38657_3e574613,stock.stock_location_stock,4.0
,,,JE511204,__export__.product_product_19007_e85e68a8,stock.stock_location_stock,3.0
,,,DF121003,__export__.product_product_14456_abcd393f,stock.stock_location_stock,9.0
,,,DU181031,__export__.product_product_17403_3e0627d5,stock.stock_location_stock,23.0
,,,DJ181033,__export__.product_product_15694_741f0d86,stock.stock_location_stock,10.0
,,,DH102272,__export__.product_product_14997_3600c782,stock.stock_location_stock,4.0
Sales of 2022/02/22,2022/02/22,True,AA101055,__export__.product_product_38877_a825a9b2,stock.stock_location_stock,37.0
,,,AA191013,__export__.product_product_39362_f1437a27,stock.stock_location_stock,5.0
,,,36314001K,__export__.product_product_11464_669bfc40,stock.stock_location_stock,18.0
,,,36AN0010,__export__.product_product_38522_febe14be,stock.stock_location_stock,3.0
,,,JN351604,__export__.product_product_23879_2b47923b,stock.stock_location_stock,4.0
,,,DS191020,__export__.product_product_16893_e57fc897,stock.stock_location_stock,2.0
,,,AL201065,__export__.product_product_47083_5adf29c0,stock.stock_location_stock,0.0
,,,JD511010,__export__.product_product_18884_48a84f25,stock.stock_location_stock,11.0
,,,JE511209,__export__.product_product_19010_5450df0f,stock.stock_location_stock,6.0
,,,DS101036,__export__.product_product_16613_fd429184,stock.stock_location_stock,74.0
,,,36DS1004,__export__.product_product_11706_899b1546,stock.stock_location_stock,179.0
,,,DJ101216,__export__.product_product_15484_254e9189,stock.stock_location_stock,3.0
,,,01100342K,__export__.product_product_37515_dbde506e,stock.stock_location_stock,56.0
,,,36DD4008,__export__.product_product_11477_53ef9cbb,stock.stock_location_stock,26.0
,,,DH161509,__export__.product_product_15208_1d50bfee,stock.stock_location_stock,9.0
,,,AB151063,__export__.product_product_46808_a822d38b,stock.stock_location_stock,0.0
,,,DJ151071,__export__.product_product_15601_2f33e76c,stock.stock_location_stock,35.0
,,,36JZ0002,__export__.product_product_12252_aa9afabd,stock.stock_location_stock,1.0
,,,39201719,__export__.product_product_12732_708a75a8,stock.stock_location_stock,57.0
,,,36JZ0001,__export__.product_product_12251_f6e5156c,stock.stock_location_stock,31.0
,,,JD521002,__export__.product_product_18893_8c595228,stock.stock_location_stock,290.0
,,,36JE0003,__export__.product_product_11890_917c9c76,stock.stock_location_stock,33.0
,,,JZ511016,__export__.product_product_32186_251cbe2d,stock.stock_location_stock,4.0
,,,JA541205,__export__.product_product_18217_3446076a,stock.stock_location_stock,51.0
,,,JA541212,__export__.product_product_18221_f8c7c29e,stock.stock_location_stock,39.0
,,,PA181281,__export__.product_product_32799_fee40aee,stock.stock_location_stock,6.0
,,,31121029,__export__.product_product_11355_0a75480d,stock.stock_location_stock,77.0
,,,36AA1003K,__export__.product_product_38443_06246b2a,stock.stock_location_stock,23.0
,,,36AA4042,__export__.product_product_38465_b0e8d713,stock.stock_location_stock,17.0
,,,AN101012,__export__.product_product_47127_4dbbc186,stock.stock_location_stock,23.0
,,,36DH4030,__export__.product_product_11511_7ac7302e,stock.stock_location_stock,26.0
,,,36DD4002,__export__.product_product_11474_3b9de8b0,stock.stock_location_stock,99.0
,,,DH102201,__export__.product_product_14987_da454263,stock.stock_location_stock,9.0
,,,DS101059,__export__.product_product_16624_a9bdfd41,stock.stock_location_stock,64.0
,,,31101041,__export__.product_product_11306_cfe8cc44,stock.stock_location_stock,51.0
,,,36JK0031,__export__.product_product_12023_4c887899,stock.stock_location_stock,3.0
,,,DK101733,__export__.product_product_16018_e3e6f324,stock.stock_location_stock,11.0
,,,DK191012,__export__.product_product_16248_62f43820,stock.stock_location_stock,4.0
,,,DJ191057,__export__.product_product_15768_be320856,stock.stock_location_stock,21.0
,,,39253105,__export__.product_product_12812_7b5412d9,stock.stock_location_stock,8.0
,,,39264715,__export__.product_product_12837_4fa6c527,stock.stock_location_stock,163.0
,,,DL181010,__export__.product_product_16323_bf43c0a5,stock.stock_location_stock,33.0
,,,DH101033,__export__.product_product_14763_54cd67f3,stock.stock_location_stock,9.0
,,,24151097,__export__.product_product_38078_8d43425f,stock.stock_location_stock,0.0
,,,LCF00001,__export__.product_product_47858_b514a9dc,stock.stock_location_stock,161.0
,,,DH101864,__export__.product_product_14955_b2339f87,stock.stock_location_stock,11.0
,,,AA111132,__export__.product_product_39170_8730061f,stock.stock_location_stock,4.0
,,,AA111134,__export__.product_product_39171_c96759d3,stock.stock_location_stock,0.0
,,,DS121076,__export__.product_product_16749_1aada824,stock.stock_location_stock,1.0
,,,DH101050,__export__.product_product_14768_5eb4ee7d,stock.stock_location_stock,18.0
,,,DS201003,__export__.product_product_16914_029247d3,stock.stock_location_stock,5.0
,,,DS101167,__export__.product_product_16661_a61a13a6,stock.stock_location_stock,176.0
,,,AE121006,__export__.product_product_46893_76583c31,stock.stock_location_stock,1.0
,,,AN101123,__export__.product_product_47142_6ac208e3,stock.stock_location_stock,14.0
Sales of 2022/02/24,2022/02/24,True,JE511204,__export__.product_product_19007_e85e68a8,stock.stock_location_stock,3.0
,,,AA191091,__export__.product_product_39387_8a9eb5aa,stock.stock_location_stock,0.0
,,,36PF0048,__export__.product_product_12523_fd59ddc3,stock.stock_location_stock,3.0
,,,36PF0045,__export__.product_product_12520_b39e55dc,stock.stock_location_stock,8.0
,,,AB111107,__export__.product_product_46786_c2ecf83a,stock.stock_location_stock,6.0
,,,PA351214,__export__.product_product_32872_9e888e99,stock.stock_location_stock,5.0
,,,31151024,__export__.product_product_11374_46d56290,stock.stock_location_stock,3.0
Sales of 2022/02/25,2022/02/25,True,DJ201206,__export__.product_product_15846_788a2c4e,stock.stock_location_stock,13.0
,,,36JE0014,__export__.product_product_11897_75c67b16,stock.stock_location_stock,2.0
