name,Accounting Date,Include Exhausted Products,reference,line_ids/product_id/id,line_ids/location_id/id,line_ids/product_qty
PRIBDM2022030901782,2022-03-09,True,36DD4008,__export__.product_product_11477_53ef9cbb,stock.stock_location_stock,41.0
,,,CS101128,__export__.product_product_14117_b12ede13,stock.stock_location_stock,262.0
,,,DD121181,__export__.product_product_14243_470851c1,stock.stock_location_stock,63.0
,,,DM171025,__export__.product_product_16384_220c3c47,stock.stock_location_stock,4.0
PRIBDM2022030901783,2022-03-09,True,30191031,__export__.product_product_11272_39541b21,stock.stock_location_stock,176.0
,,,31101018,__export__.product_product_38390_d72ffe43,stock.stock_location_stock,61.0
,,,36AA4007,__export__.product_product_38445_ca90d74a,stock.stock_location_stock,27.0
,,,36DH4115,__export__.product_product_11550_5cadf929,stock.stock_location_stock,6.0
,,,39101321,__export__.product_product_38663_0f45c97a,stock.stock_location_stock,340.0
,,,39215320,__export__.product_product_38775_30cf5cf1,stock.stock_location_stock,18.0
,,,52DH0548,__export__.product_product_12895_6b0d22cf,stock.stock_location_stock,10.0
,,,56DJ3Y1Y,__export__.product_product_13768_cdd00974,stock.stock_location_stock,3.0
,,,AA101154,__export__.product_product_38908_36fec904,stock.stock_location_stock,139.0
,,,AA201190,__export__.product_product_46702_036ff5f4,stock.stock_location_stock,7.0
,,,AB151063,__export__.product_product_46808_a822d38b,stock.stock_location_stock,8.0
,,,BF551450,__export__.product_product_47575_f1324ea6,stock.stock_location_stock,20.0
,,,DH181092,__export__.product_product_15247_417653bd,stock.stock_location_stock,8.0
,,,DH181099,__export__.product_product_15250_66fccc5f,stock.stock_location_stock,19.0
,,,DJ201102,__export__.product_product_15809_3dc4f221,stock.stock_location_stock,18.0
,,,DM191002,__export__.product_product_16396_fa8060d2,stock.stock_location_stock,20.0
,,,DP181063,__export__.product_product_16572_300e234b,stock.stock_location_stock,10.0
,,,DU191035,__export__.product_product_17446_2c37315c,stock.stock_location_stock,28.0
,,,DU191058,__export__.product_product_17454_6279f6f7,stock.stock_location_stock,13.0
,,,DZ141040,__export__.product_product_17698_06364aa8,stock.stock_location_stock,22.0
,,,DZ181004,__export__.product_product_17738_6d9947a5,stock.stock_location_stock,4.0
,,,JA541011,__export__.product_product_18202_1c7da4be,stock.stock_location_stock,33.0
,,,JD401024,__export__.product_product_18862_b7308f91,stock.stock_location_stock,3.0
,,,JH521007,__export__.product_product_23097_1936a9f2,stock.stock_location_stock,38.0
,,,JK402000,__export__.product_product_23256_e28f61ea,stock.stock_location_stock,10.0
,,,JN231202,__export__.product_product_23872_eef9030b,stock.stock_location_stock,6.0
,,,JN551416,__export__.product_product_23898_38948355,stock.stock_location_stock,6.0
,,,JW131809,__export__.product_product_24185_00de8444,stock.stock_location_stock,22.0
,,,JZ401013,__export__.product_product_32141_456a7ed0,stock.stock_location_stock,14.0
,,,JZ511016,__export__.product_product_32186_251cbe2d,stock.stock_location_stock,33.0
,,,PA181281,__export__.product_product_32799_fee40aee,stock.stock_location_stock,16.0
,,,PF121076,__export__.product_product_33240_f943c728,stock.stock_location_stock,5.0
,,,PF151015,__export__.product_product_33269_7bc2a638,stock.stock_location_stock,8.0
,,,PF551411,__export__.product_product_33443_3883b50f,stock.stock_location_stock,24.0
,,,24230401,__export__.product_product_38328_733cd657,stock.stock_location_stock,3.0
,,,AN101197,__export__.product_product_47170_4e2d2166,stock.stock_location_stock,3.0
,,,DU101225,__export__.product_product_17295_839818cd,stock.stock_location_stock,30.0
PRIBDM2022030901784,2022-03-09,True,52DU0578,__export__.product_product_13163_c6b76835,stock.stock_location_stock,50.0
,,,52JZ0054,__export__.product_product_13569_6a1f498a,stock.stock_location_stock,5.0
,,,PF551003,__export__.product_product_33430_8b6a1422,stock.stock_location_stock,7.0
,,,PD401006,__export__.product_product_33129_3dc6063d,stock.stock_location_stock,3.0
PRIBDM2022030901785,2022-03-09,True,24121070,__export__.product_product_37889_f918c44a,stock.stock_location_stock,15.0
,,,39200811,__export__.product_product_38771_d1ebcd5a,stock.stock_location_stock,100.0
,,,AA101668,__export__.product_product_39031_8104fb92,stock.stock_location_stock,20.0
,,,AA121208,__export__.product_product_39226_cbd9f355,stock.stock_location_stock,3.0
,,,AA201190,__export__.product_product_46702_036ff5f4,stock.stock_location_stock,11.0
,,,AA201260,__export__.product_product_46718_332f4480,stock.stock_location_stock,2.0
,,,AF201248,__export__.product_product_46961_071bc32a,stock.stock_location_stock,2.0
,,,36AA4116,__export__.product_product_38491_423b806c,stock.stock_location_stock,6.0
,,,AA101138,__export__.product_product_38901_6eaa758d,stock.stock_location_stock,20.0
PRIBDM2022030901786,2022-03-09,True,24151061,__export__.product_product_38070_ca368eca,stock.stock_location_stock,6.0
,,,36DH4154,__export__.product_product_11562_a4876f1d,stock.stock_location_stock,14.0
,,,36DJ4005,__export__.product_product_11582_dd53e505,stock.stock_location_stock,31.0
,,,36DS1002,__export__.product_product_11704_29d95dc6,stock.stock_location_stock,66.0
,,,36DZ0002,__export__.product_product_11806_19d11b17,stock.stock_location_stock,37.0
,,,36JE0014,__export__.product_product_11897_75c67b16,stock.stock_location_stock,12.0
,,,36JK0011,__export__.product_product_12012_f5325f7f,stock.stock_location_stock,70.0
,,,36JL0009,__export__.product_product_12049_ecf5f772,stock.stock_location_stock,8.0
,,,36JL0023,__export__.product_product_12062_dd2a453c,stock.stock_location_stock,7.0
,,,36JZ0007,__export__.product_product_12256_1b8a20bc,stock.stock_location_stock,32.0
,,,36JZ0102,__export__.product_product_12320_64496854,stock.stock_location_stock,86.0
,,,36PA0042,__export__.product_product_12387_12d74e9e,stock.stock_location_stock,18.0
,,,AA101593,__export__.product_product_39012_7fd7e7ae,stock.stock_location_stock,12.0
,,,AL201012,__export__.product_product_47070_d6076684,stock.stock_location_stock,55.0
,,,DX191001,__export__.product_product_17658_0251d86d,stock.stock_location_stock,61.0
,,,JA541205,__export__.product_product_18217_3446076a,stock.stock_location_stock,133.0
,,,JA541212,__export__.product_product_18221_f8c7c29e,stock.stock_location_stock,114.0
,,,JC101034,__export__.product_product_18552_ae6fbde5,stock.stock_location_stock,20.0
,,,JE511204,__export__.product_product_19007_e85e68a8,stock.stock_location_stock,20.0
PRIBDM2022030901787,2022-03-09,True,36DD4008,__export__.product_product_11477_53ef9cbb,stock.stock_location_stock,71.0
,,,36DK0036,__export__.product_product_11654_f7247dc2,stock.stock_location_stock,7.0
,,,DJ191061,__export__.product_product_15772_ae1ce7ab,stock.stock_location_stock,27.0
,,,JZ161207,__export__.product_product_32007_64632c71,stock.stock_location_stock,26.0
,,,PF161218,__export__.product_product_33295_649fce51,stock.stock_location_stock,29.0
PRIBDM2022030901788,2022-03-09,True,31101020,__export__.product_product_11299_fcd68dc8,stock.stock_location_stock,82.0
,,,31151024,__export__.product_product_11374_46d56290,stock.stock_location_stock,10.0
,,,31191003,__export__.product_product_11412_32108175,stock.stock_location_stock,10.0
,,,36314001K,__export__.product_product_11464_669bfc40,stock.stock_location_stock,57.0
,,,36AA1003K,__export__.product_product_38443_06246b2a,stock.stock_location_stock,53.0
,,,36AA4020,__export__.product_product_38454_b76316b6,stock.stock_location_stock,21.0
,,,AA101207,__export__.product_product_38917_561e88e4,stock.stock_location_stock,21.0
,,,AA121150,__export__.product_product_39217_f65dfb06,stock.stock_location_stock,8.0
,,,AA191077,__export__.product_product_39381_c06c89b9,stock.stock_location_stock,15.0
,,,AF111021,__export__.product_product_46911_59c36d60,stock.stock_location_stock,3.0
,,,CM191049,__export__.product_product_47677_b346ae8d,stock.stock_location_stock,118.0
,,,DS191001,__export__.product_product_16879_3fbaa4e6,stock.stock_location_stock,22.0
,,,DU191006,__export__.product_product_17429_aef1cffa,stock.stock_location_stock,21.0
,,,DU191041,__export__.product_product_17447_e8a47742,stock.stock_location_stock,17.0
,,,DU201008,__export__.product_product_17459_bbc24de0,stock.stock_location_stock,21.0
,,,36172201,__export__.product_product_50774_221aec8a,stock.stock_location_stock,32.0
PRIBDM2022030901789,2022-03-09,True,DJ151057,__export__.product_product_15594_75da1cf0,stock.stock_location_stock,12.0
,,,DS191041,__export__.product_product_16903_c93ebcaf,stock.stock_location_stock,10.0
,,,JE511204,__export__.product_product_19007_e85e68a8,stock.stock_location_stock,15.0
,,,JN581216,__export__.product_product_23908_ce47276d,stock.stock_location_stock,2.0
PRIBDM2022030901790,2022-03-09,True,01100804,__export__.product_product_37525_9e28d2e5,stock.stock_location_stock,573.0
,,,24121070,__export__.product_product_37889_f918c44a,stock.stock_location_stock,15.0
,,,36DH4030,__export__.product_product_11511_7ac7302e,stock.stock_location_stock,68.0
,,,36JD0021,__export__.product_product_11874_84a31874,stock.stock_location_stock,5.0
,,,36JE0003,__export__.product_product_11890_917c9c76,stock.stock_location_stock,84.0
,,,36JK0012,__export__.product_product_12013_a2133aed,stock.stock_location_stock,47.0
,,,36JK0031,__export__.product_product_12023_4c887899,stock.stock_location_stock,8.0
,,,36PA0002,__export__.product_product_12378_d2add5a9,stock.stock_location_stock,50.0
,,,36PA0115,__export__.product_product_12394_0952df2a,stock.stock_location_stock,39.0
,,,36PA0143,__export__.product_product_12416_558b8e66,stock.stock_location_stock,14.0
,,,AA121142,__export__.product_product_39213_8e55fa71,stock.stock_location_stock,10.0
,,,AA191064,__export__.product_product_39372_3be32718,stock.stock_location_stock,17.0
,,,AA191093,__export__.product_product_46660_62900b40,stock.stock_location_stock,29.0
,,,AA191094,__export__.product_product_46661_a7ef76c4,stock.stock_location_stock,32.0
,,,AF201094,__export__.product_product_46956_d6fa1eea,stock.stock_location_stock,16.0
,,,BA191051,__export__.product_product_47467_b3f709ee,stock.stock_location_stock,26.0
,,,BA191052,__export__.product_product_47468_06b53744,stock.stock_location_stock,27.0
,,,DD121013,__export__.product_product_14222_0e4fd623,stock.stock_location_stock,107.0
,,,DD181207,__export__.product_product_14317_21c28847,stock.stock_location_stock,4.0
,,,DF121003,__export__.product_product_14456_abcd393f,stock.stock_location_stock,18.0
,,,DG101418,__export__.product_product_14579_d28a2d4a,stock.stock_location_stock,64.0
,,,DH101016,__export__.product_product_14757_9da29210,stock.stock_location_stock,156.0
,,,DH101098,__export__.product_product_14781_ecd4ff37,stock.stock_location_stock,111.0
,,,DH101680,__export__.product_product_14931_858b8efc,stock.stock_location_stock,58.0
,,,DJ101064,__export__.product_product_15461_9fa87c22,stock.stock_location_stock,117.0
,,,DK151085,__export__.product_product_16115_79ceef7b,stock.stock_location_stock,14.0
,,,DL181010,__export__.product_product_16323_bf43c0a5,stock.stock_location_stock,100.0
,,,DS101251,__export__.product_product_16679_74be3896,stock.stock_location_stock,10.0
,,,DS111049,__export__.product_product_16732_b9508e5e,stock.stock_location_stock,6.0
,,,DS161141,__export__.product_product_16823_82513144,stock.stock_location_stock,25.0
,,,DX151010,__export__.product_product_17634_e944812b,stock.stock_location_stock,99.0
,,,JA351600,__export__.product_product_18148_b4df198b,stock.stock_location_stock,2.0
,,,JA511006,__export__.product_product_18166_db60c6c8,stock.stock_location_stock,32.0
,,,JA551421,__export__.product_product_47779_b9885da1,stock.stock_location_stock,41.0
,,,JA551422,__export__.product_product_47780_17422683,stock.stock_location_stock,27.0
,,,JB511019,__export__.product_product_18440_abc96635,stock.stock_location_stock,48.0
,,,JD161200,__export__.product_product_18760_47fafb7a,stock.stock_location_stock,25.0
,,,JD161201,__export__.product_product_18761_0066a02a,stock.stock_location_stock,19.0
,,,JD511010,__export__.product_product_18884_48a84f25,stock.stock_location_stock,100.0
,,,JN181011,__export__.product_product_23854_449f593c,stock.stock_location_stock,50.0
,,,JZ511016,__export__.product_product_32186_251cbe2d,stock.stock_location_stock,28.0
,,,JZ571000,__export__.product_product_32237_0237357a,stock.stock_location_stock,16.0
,,,36AA4013,__export__.product_product_38448_b173cd69,stock.stock_location_stock,3.0
,,,DZ111012,__export__.product_product_17691_71891091,stock.stock_location_stock,3.0
,,,JA561400,__export__.product_product_18272_72edaf79,stock.stock_location_stock,10.0
,,,JC151016,__export__.product_product_18605_ed7530f6,stock.stock_location_stock,2.0
,,,JA541027,__export__.product_product_18208_03896040,stock.stock_location_stock,32.0
,,,JN181010,__export__.product_product_23853_3a470a2b,stock.stock_location_stock,50.0
PRIBDM2022030901791,2022-03-09,True,36DH4030,__export__.product_product_11511_7ac7302e,stock.stock_location_stock,43.0
,,,JB401400,__export__.product_product_18425_75a72d39,stock.stock_location_stock,10.0
,,,JE511230,__export__.product_product_19017_83e7f648,stock.stock_location_stock,17.0
,,,JE351600,__export__.product_product_18990_d1f900f6,stock.stock_location_stock,1.0
PRIBDM2022030901792,2022-03-09,True,JB571005,__export__.product_product_18468_37310634,stock.stock_location_stock,5.0
,,,JP351007,__export__.product_product_24021_c5691ad7,stock.stock_location_stock,3.0
,,,JM191013,__export__.product_product_23820_b7993d55,stock.stock_location_stock,5.0
,,,JL131220,__export__.product_product_23382_4104b16a,stock.stock_location_stock,2.0
,,,JN231200,__export__.product_product_23871_284444bc,stock.stock_location_stock,1.0
