name,Include Exhausted Products,line_ids/product_id/id,line_ids/location_id/id,line_ids/product_qty
Sales 2021/06/21,True,__export__.product_product_17291_dc76456a,stock.stock_location_stock,50.0
,,__export__.product_product_49874_88bc47b0,stock.stock_location_stock,7.0
,,__export__.product_product_19115_1e68b781,stock.stock_location_stock,67.0
,,__export__.product_product_11704_29d95dc6,stock.stock_location_stock,43.0
,,__export__.product_product_46951_c231835c,stock.stock_location_stock,96.0
,,__export__.product_product_49879_bf88e307,stock.stock_location_stock,8.0
,,__export__.product_product_16120_432a826f,stock.stock_location_stock,7.0
,,__export__.product_product_18285_931b2c81,stock.stock_location_stock,53.0
,,__export__.product_product_38079_82cb2f52,stock.stock_location_stock,24.0
,,__export__.product_product_18166_db60c6c8,stock.stock_location_stock,7.0
,,__export__.product_product_23848_1d67e65b,stock.stock_location_stock,11.0
,,__export__.product_product_13160_29c6b9ec,stock.stock_location_stock,12.0
,,__export__.product_product_13153_9b23302c,stock.stock_location_stock,8.0
,,__export__.product_product_11464_669bfc40,stock.stock_location_stock,11.0
,,__export__.product_product_11238_926c2a15,stock.stock_location_stock,63.0
,,__export__.product_product_15223_f17e9010,stock.stock_location_stock,4.0
,,__export__.product_product_16922_e31fcadb,stock.stock_location_stock,4.0
,,__export__.product_product_38406_63bf5c42,stock.stock_location_stock,10.0
,,__export__.product_product_12256_1b8a20bc,stock.stock_location_stock,30.0
,,__export__.product_product_11892_8a61f1aa,stock.stock_location_stock,9.0
,,__export__.product_product_22840_99017169,stock.stock_location_stock,68.0
,,__export__.product_product_46884_2efac440,stock.stock_location_stock,26.0
,,__export__.product_product_38268_6bc6bbb0,stock.stock_location_stock,14.0
,,__export__.product_product_17451_fac07d6d,stock.stock_location_stock,13.0
,,__export__.product_product_38952_dff91813,stock.stock_location_stock,45.0
,,__export__.product_product_32005_152850b1,stock.stock_location_stock,9.0
,,__export__.product_product_11385_a84e059b,stock.stock_location_stock,67.0
,,__export__.product_product_12380_448513ef,stock.stock_location_stock,20.0
,,__export__.product_product_17738_6d9947a5,stock.stock_location_stock,1.0
,,__export__.product_product_11829_81421b21,stock.stock_location_stock,21.0
,,__export__.product_product_12732_708a75a8,stock.stock_location_stock,18.0
,,__export__.product_product_32011_969abc6d,stock.stock_location_stock,8.0
,,__export__.product_product_38470_656a956e,stock.stock_location_stock,20.0
,,__export__.product_product_38528_e40d7942,stock.stock_location_stock,3.0
,,__export__.product_product_16022_360e9fc0,stock.stock_location_stock,21.0
,,__export__.product_product_38461_229c483c,stock.stock_location_stock,22.0
,,__export__.product_product_47179_5e14f7b5,stock.stock_location_stock,6.0
,,__export__.product_product_47159_b9ffcaee,stock.stock_location_stock,6.0
,,__export__.product_product_39016_87c85ca4,stock.stock_location_stock,25.0
,,__export__.product_product_46781_34999964,stock.stock_location_stock,11.0
,,__export__.product_product_39099_82d91d75,stock.stock_location_stock,8.0
,,__export__.product_product_11767_a60cf2c7,stock.stock_location_stock,41.0
,,__export__.product_product_16343_04f3e8a2,stock.stock_location_stock,208.0
,,__export__.product_product_16342_58194f41,stock.stock_location_stock,192.0
,,__export__.product_product_12644_aab814c5,stock.stock_location_stock,218.0
,,__export__.product_product_11459_97dc2790,stock.stock_location_stock,69.0
,,__export__.product_product_38666_4cd4757b,stock.stock_location_stock,1108.0
,,__export__.product_product_11706_899b1546,stock.stock_location_stock,230.0
,,__export__.product_product_11302_89b7fcaf,stock.stock_location_stock,550.0
,,__export__.product_product_12787_61902238,stock.stock_location_stock,8.0
,,__export__.product_product_11306_cfe8cc44,stock.stock_location_stock,49.0
,,__export__.product_product_18207_d06614be,stock.stock_location_stock,16.0
,,__export__.product_product_17459_bbc24de0,stock.stock_location_stock,16.0
,,__export__.product_product_17445_d09bdc85,stock.stock_location_stock,4.0
,,__export__.product_product_46676_280283c9,stock.stock_location_stock,52.0
,,__export__.product_product_15766_29e293ac,stock.stock_location_stock,28.0
,,__export__.product_product_47318_8d5c8484,stock.stock_location_stock,149.0
,,__export__.product_product_47193_06f9312f,stock.stock_location_stock,7.0
