name,Include Exhausted Products,reference,line_ids/product_id/id,line_ids/location_id/id,line_ids/product_qty
Nishan Inventory - CB2001313,True,BP302(ENDURANCE),__export__.product_product_50189_05cee7f9,stock.stock_location_stock,2.0
,,EI0808(VARROC),__export__.product_product_50181_bf9967d2,stock.stock_location_stock,1.0
,,EI0809(VARROC),__export__.product_product_50190_c27165c8,stock.stock_location_stock,1.0
Deepthi Inventory - INV00002277,True,31121029,__export__.product_product_11355_0a75480d,stock.stock_location_stock,14.0
,,31151021,__export__.product_product_11372_72b44663,stock.stock_location_stock,28.0
,,36DS1002,__export__.product_product_11704_29d95dc6,stock.stock_location_stock,25.0
,,AA101598,__export__.product_product_39016_87c85ca4,stock.stock_location_stock,0.0
,,AN101190,__export__.product_product_47169_058cd2ee,stock.stock_location_stock,13.0
,,DL181080,__export__.product_product_16326_2ba4348d,stock.stock_location_stock,33.0
,,52DJ1500,__export__.product_product_13087_960ef6e5,stock.stock_location_stock,0.0
,,52DJ1501,__export__.product_product_13088_55e9abfd,stock.stock_location_stock,0.0
DPMC - PRIRSQ2021072104843,True,24101203,__export__.product_product_37831_6c47eae1,stock.stock_location_stock,5.0
,,24160913,__export__.product_product_38143_6c7defdf,stock.stock_location_stock,13.0
,,JE511200,__export__.product_product_19004_e6d2caa4,stock.stock_location_stock,6.0
,,JW351400,__export__.product_product_24236_ca7296d1,stock.stock_location_stock,2.0
,,30101142,__export__.product_product_11197_96f5c3b6,stock.stock_location_stock,181.0
,,30101236,__export__.product_product_11202_aa67afe9,stock.stock_location_stock,733.0
,,36DS1002,__export__.product_product_11704_29d95dc6,stock.stock_location_stock,45.0
,,36DU1001,__export__.product_product_11767_a60cf2c7,stock.stock_location_stock,51.0
,,36JK0031,__export__.product_product_12023_4c887899,stock.stock_location_stock,9.0
,,39104119,__export__.product_product_12634_792e3269,stock.stock_location_stock,41.0
,,AB101067,__export__.product_product_46781_34999964,stock.stock_location_stock,16.0
,,DE191043,__export__.product_product_14442_e0a4049b,stock.stock_location_stock,6.0
,,DF161416,__export__.product_product_14486_4e11c5ba,stock.stock_location_stock,159.0
,,DF221037,__export__.product_product_14567_e8749f43,stock.stock_location_stock,15.0
,,DH121171,__export__.product_product_15082_7a4ccc37,stock.stock_location_stock,7.0
,,DU151010,__export__.product_product_17352_2cfe35cd,stock.stock_location_stock,21.0
,,DU191013,__export__.product_product_17433_7d4aa1a4,stock.stock_location_stock,15.0
,,DX151081,__export__.product_product_17645_c08faf63,stock.stock_location_stock,30.0
,,JA351609,__export__.product_product_18154_a62db45c,stock.stock_location_stock,37.0
,,JB181421,__export__.product_product_18402_7060219a,stock.stock_location_stock,9.0
,,JD161200,__export__.product_product_18760_47fafb7a,stock.stock_location_stock,10.0
,,36PA0154,__export__.product_product_12422_87804d48,stock.stock_location_stock,2.0
DPMC - PRIRSQ2021072104844,True,28101110,__export__.product_product_38366_d07f9eb6,stock.stock_location_stock,68.0
,,36DS1002,__export__.product_product_11704_29d95dc6,stock.stock_location_stock,20.0
,,AA101116,__export__.product_product_38891_4ea2de3c,stock.stock_location_stock,149.0
,,DU151009,__export__.product_product_17351_56a2c0db,stock.stock_location_stock,11.0
,,BG131802,__export__.product_product_47581_0827bd82,stock.stock_location_stock,5.0
,,AA201239,__export__.product_product_46711_0e8dc5a3,stock.stock_location_stock,4.0
DPMC - PRIBDM2021072104845,True,06101009,__export__.product_product_37606_3bcc4937,stock.stock_location_stock,73.0
,,06101252,__export__.product_product_37611_9c5818bd,stock.stock_location_stock,92.0
,,24131004,__export__.product_product_38002_d963e04a,stock.stock_location_stock,72.0
,,36AA4050,__export__.product_product_38470_656a956e,stock.stock_location_stock,19.0
,,39213319,__export__.product_product_38774_03904688,stock.stock_location_stock,61.0
,,52AA4035,__export__.product_product_38830_2d55421a,stock.stock_location_stock,8.0
,,AA101194,__export__.product_product_38914_3ff7b7c3,stock.stock_location_stock,27.0
,,AB151093,__export__.product_product_46819_11b16df0,stock.stock_location_stock,132.0
,,AN131039,__export__.product_product_47236_592f80e4,stock.stock_location_stock,311.0
DPMC - PRIBDM2021072104846,True,31151021,__export__.product_product_11372_72b44663,stock.stock_location_stock,48.0
,,DD181183,__export__.product_product_14308_4ef1b792,stock.stock_location_stock,94.0
,,DD181184,__export__.product_product_14309_a19b7bc5,stock.stock_location_stock,27.0
,,DH161292,__export__.product_product_15167_3fd492c4,stock.stock_location_stock,8.0
,,JZ511203,__export__.product_product_32191_7ca29dee,stock.stock_location_stock,17.0
,,PA402405,__export__.product_product_32904_4a148444,stock.stock_location_stock,6.0
DPMC - PRIBDM2021072104847,True,36DH4174,__export__.product_product_11568_f4df1e35,stock.stock_location_stock,10.0
,,52DH1370,__export__.product_product_12941_69f0d566,stock.stock_location_stock,2.0
,,DH101373,__export__.product_product_14849_6a24172d,stock.stock_location_stock,73.0
,,DS101101,__export__.product_product_16639_a0cc9a80,stock.stock_location_stock,10.0
,,JA541018,__export__.product_product_18205_8cc9142a,stock.stock_location_stock,29.0
,,JF161202,__export__.product_product_22438_8d3bbe57,stock.stock_location_stock,5.0
,,PA231211,__export__.product_product_32832_10ab77d5,stock.stock_location_stock,7.0
,,PA551002,__export__.product_product_32942_d7672983,stock.stock_location_stock,3.0
DPMC - PRIBDM2021072104848,True,36DK0015,__export__.product_product_11642_c8bc602d,stock.stock_location_stock,40.0
,,DF161413,__export__.product_product_14484_91f3b1e3,stock.stock_location_stock,38.0
