name,Include Exhausted Products,reference,line_ids/product_id/id,line_ids/location_id/id,line_ids/product_qty
Nishan Automobiles Inv - CB2001630 - 08/09,True,RJ0444(VIRA),__export__.product_product_50265_6f9d8a36,stock.stock_location_stock,2.0
Deepthi Motors Inv - INV00002321 - 08/10,True,36AN0010,__export__.product_product_38522_febe14be,stock.stock_location_stock,12.0
,,31121029,__export__.product_product_11355_0a75480d,stock.stock_location_stock,40.0
PRIRSQ2021073111717,True,36281008,__export__.product_product_38440_8b28e8e0,stock.stock_location_stock,34.0
,,36311006,__export__.product_product_11456_4154bc3e,stock.stock_location_stock,168.0
,,36311028,__export__.product_product_11459_97dc2790,stock.stock_location_stock,73.0
,,36AN0013,__export__.product_product_38527_7cb45b66,stock.stock_location_stock,29.0
,,36JE0003,__export__.product_product_11890_917c9c76,stock.stock_location_stock,111.0
,,36JE0005,__export__.product_product_11892_8a61f1aa,stock.stock_location_stock,10.0
PRIRSQ2021073111714,True,DP101107,__export__.product_product_16470_4cb67ae5,stock.stock_location_stock,9.0
,,JE511233,__export__.product_product_19018_6e72e008,stock.stock_location_stock,10.0
PRIBDM2021081101593,True,24171118,__export__.product_product_38210_a2e80f98,stock.stock_location_stock,9.0
,,59150003,__export__.product_product_38852_276acf92,stock.stock_location_stock,30.0
,,AA101057,__export__.product_product_38879_6c70648c,stock.stock_location_stock,10.0
,,AA101471,__export__.product_product_38982_c1d17206,stock.stock_location_stock,16.0
,,AA101473,__export__.product_product_38984_932d1a97,stock.stock_location_stock,10.0
,,AA101555,__export__.product_product_38998_9a6d5440,stock.stock_location_stock,10.0
,,AA101569,__export__.product_product_39003_95b0f54e,stock.stock_location_stock,56.0
,,AL201017,__export__.product_product_47072_64765fd4,stock.stock_location_stock,11.0
,,AN111009,__export__.product_product_47218_f7ed0051,stock.stock_location_stock,3.0
,,CD101080,__export__.product_product_47670_736fc6ad,stock.stock_location_stock,56.0
,,DD191141,__export__.product_product_14348_0d9b3745,stock.stock_location_stock,14.0
,,DD201170,__export__.product_product_14382_7c477589,stock.stock_location_stock,24.0
,,DK101755,__export__.product_product_16022_360e9fc0,stock.stock_location_stock,28.0
,,DX171004,__export__.product_product_17656_a1fe47e9,stock.stock_location_stock,5.0
,,DY113000,__export__.product_product_17660_879d3ca1,stock.stock_location_stock,8.0
,,JA521017,__export__.product_product_18189_6dbcc5a2,stock.stock_location_stock,18.0
,,JD401008,__export__.product_product_18860_0d516b9d,stock.stock_location_stock,1.0
,,JD511008,__export__.product_product_18883_16544477,stock.stock_location_stock,52.0
,,JD511010,__export__.product_product_18884_48a84f25,stock.stock_location_stock,50.0
,,JE351246,__export__.product_product_18987_7d2d188b,stock.stock_location_stock,4.0
,,JN521001,__export__.product_product_23886_b85651cd,stock.stock_location_stock,28.0
,,JZ511016,__export__.product_product_32186_251cbe2d,stock.stock_location_stock,70.0
,,KPAC6005,__export__.product_product_32477_4a9c6923,stock.stock_location_stock,2.0
,,KPBC6004,__export__.product_product_32485_cda1fbc5,stock.stock_location_stock,10.0
,,R52PA0532,__export__.product_product_33542_49dae7b2,stock.stock_location_stock,2.0
,,JF181210,__export__.product_product_22455_352a83df,stock.stock_location_stock,2.0
,,AU541007,__export__.product_product_47298_aac95866,stock.stock_location_stock,1.0
,,JG551228,__export__.product_product_22834_26a8150d,stock.stock_location_stock,2.0
,,JY511271,__export__.product_product_50266_c78b5ec5,stock.stock_location_stock,5.0
