ID,Product/ID,Product/Internal Reference,Counted Quantity
__export__.stock_inventory_line_165045_7024662d,__export__.product_product_49863_c690339a,6305(NACHi),21.0
__export__.stock_inventory_line_165046_6a565727,__export__.product_product_49864_5fdb642f,6305ZZE(NACHi),7.0
__export__.stock_inventory_line_165035_222ad209,__export__.product_product_49865_9ea94de1,6004(NACHi),67.0
__export__.stock_inventory_line_165040_383eba09,__export__.product_product_49866_cdce22ce,6204(NACHi),9.0
__export__.stock_inventory_line_165044_4c40ab0f,__export__.product_product_49867_b4945d5f,6304(NACHi),19.0
__export__.stock_inventory_line_165043_4f6a8c77,__export__.product_product_49868_bd04d578,6302(NACHi),11.0
__export__.stock_inventory_line_165042_4ac2f1c0,__export__.product_product_49869_ae8ceb1d,6301(NACHi),18.0
__export__.stock_inventory_line_165047_0af2b83a,__export__.product_product_49870_86aaaab8,63|22X(NACHi),22.0
__export__.stock_inventory_line_165039_ea1709bb,__export__.product_product_49871_f9763b4f,6203(NACHi),10.0
__export__.stock_inventory_line_165034_79f9bd5f,__export__.product_product_49872_2ea485a6,6003(NACHi),9.0
__export__.stock_inventory_line_165033_5a244fbf,__export__.product_product_49873_272a0d91,6002(NACHi),2.0
__export__.stock_inventory_line_165037_4802ad90,__export__.product_product_49874_88bc47b0,6201(NACHi),19.0
__export__.stock_inventory_line_165032_07a8fd5c,__export__.product_product_49875_1996d9e4,6001(NACHi),109.0
__export__.stock_inventory_line_165031_6289bbc2,__export__.product_product_49876_fc97dcd2,6000(NACHi),16.0
__export__.stock_inventory_line_165041_19f8d211,__export__.product_product_49877_3f134b61,6300(NACHi),25.0
__export__.stock_inventory_line_165036_44ee0386,__export__.product_product_49878_78eead10,6200(NACHi),33.0
__export__.stock_inventory_line_165038_afe576fa,__export__.product_product_49879_bf88e307,6202(NACHi),16.0
__export__.stock_inventory_line_165048_0ae70597,__export__.product_product_49880_f530bcfc,63|28(NACHi),7.0
__export__.stock_inventory_line_165105_4fe64b68,__export__.product_product_49881_563e95c7,SAAA111081(SA),4.0
__export__.stock_inventory_line_165111_c568f083,__export__.product_product_49882_dbfedbc0,SADD191125(SA),0.0
__export__.stock_inventory_line_165112_d4b6544a,__export__.product_product_49883_a1464b36,SAFA141015(SA),19.0
__export__.stock_inventory_line_165104_972dfef6,__export__.product_product_49884_f75e6412,SA24140112(SA),2.0
__export__.stock_inventory_line_165113_4711169a,__export__.product_product_49885_363e2a65,SAVNAA111085A(SA),10.0
__export__.stock_inventory_line_165103_f21a189a,__export__.product_product_49886_84c2a0e7,SA24100805(SA),3.0
__export__.stock_inventory_line_165110_e21f4630,__export__.product_product_49887_1e45ed5b,SABA132171(SA),79.0
