ID,Product/ID,Product/Internal Reference,Counted Quantity
__export__.stock_inventory_line_199350_ef992cc6,__export__.product_product_39260_dffe1f3b,AA131063,35.0
__export__.stock_inventory_line_199414_34a97506,__export__.product_product_46699_7b02b74f,AA201185,24.0
__export__.stock_inventory_line_199808_b4d07c13,__export__.product_product_14874_351faac0,DH101424,114.0
__export__.stock_inventory_line_200022_2d8d2a39,__export__.product_product_15985_c150c13a,DK101569,66.0
__export__.stock_inventory_line_200276_15aaf0de,__export__.product_product_17481_42d456cb,DU201101,85.0
__export__.stock_inventory_line_199350_ef992cc6,__export__.product_product_39260_dffe1f3b,AA131063,35.0
__export__.stock_inventory_line_199414_34a97506,__export__.product_product_46699_7b02b74f,AA201185,24.0
__export__.stock_inventory_line_200276_15aaf0de,__export__.product_product_17481_42d456cb,DU201101,85.0
__export__.stock_inventory_line_199808_b4d07c13,__export__.product_product_14874_351faac0,DH101424,114.0
__export__.stock_inventory_line_200022_2d8d2a39,__export__.product_product_15985_c150c13a,DK101569,66.0
__export__.stock_inventory_line_200206_c32e4746,__export__.product_product_16928_7242b1f9,DS201035,41.0
__export__.stock_inventory_line_209733_2966b7b2,__export__.product_product_17614_8c25533a,DX101046,1.0
__export__.stock_inventory_line_198675_c504368b,__export__.product_product_38470_656a956e,36AA4050,28.0
__export__.stock_inventory_line_198885_a575c4e9,__export__.product_product_38666_4cd4757b,39103519,884.0
__export__.stock_inventory_line_199268_3e6e67b2,__export__.product_product_39036_943f20cf,AA101692,46.0
__export__.stock_inventory_line_199649_b136455c,__export__.product_product_47576_f5c05a99,BF551613,131.0
__export__.stock_inventory_line_199449_03975617,__export__.product_product_46802_c632673c,AB151048,4.0
__export__.stock_inventory_line_198348_509d2dfa,__export__.product_product_37606_3bcc4937,06101009,68.0
__export__.stock_inventory_line_198644_ee7f8cc9,__export__.product_product_38429_e8a114d2,36241010,55.0
__export__.stock_inventory_line_198740_ad2d168c,__export__.product_product_11704_29d95dc6,36DS1002,57.0
__export__.stock_inventory_line_202716_b4d02762,__export__.product_product_11905_b55093b1,36JE0024,5.0
__export__.stock_inventory_line_199178_bd429aec,__export__.product_product_38868_10850e70,AA101033,6.0
__export__.stock_inventory_line_199306_d9102844,__export__.product_product_39154_65c7a6c5,AA111085,55.0
__export__.stock_inventory_line_199379_1d14fa92,__export__.product_product_39339_8589016c,AA171006,30.0
__export__.stock_inventory_line_199532_ef106086,__export__.product_product_47152_40778cfa,AN101149,33.0
__export__.stock_inventory_line_199604_6438d4dd,__export__.product_product_47316_132d0765,AZ351002,5.0
__export__.stock_inventory_line_199821_4a514dfc,__export__.product_product_14931_858b8efc,DH101680,58.0
__export__.stock_inventory_line_199964_d978a8b0,__export__.product_product_15749_c19a10fa,DJ191023,18.0
__export__.stock_inventory_line_200504_7230377c,__export__.product_product_18883_16544477,JD511008,14.0
__export__.stock_inventory_line_200865_3bc78f80,__export__.product_product_32186_251cbe2d,JZ511016,56.0
__export__.stock_inventory_line_198810_3d9bbd21,__export__.product_product_12251_f6e5156c,36JZ0001,65.0
__export__.stock_inventory_line_199334_ac3855bc,__export__.product_product_39217_f65dfb06,AA121150,19.0
__export__.stock_inventory_line_199484_fcac7ef1,__export__.product_product_46891_cbeae897,AE121001,17.0
__export__.stock_inventory_line_199851_87b6ca84,__export__.product_product_15056_33c87146,DH121093,16.0
__export__.stock_inventory_line_199960_e58c373f,__export__.product_product_15726_fa72f721,DJ181115,168.0
__export__.stock_inventory_line_200130_ddd93143,__export__.product_product_16638_8ddb947e,DS101096,101.0
__export__.stock_inventory_line_198664_3e6148d7,__export__.product_product_38454_b76316b6,36AA4020,27.0
__export__.stock_inventory_line_198671_8b2309e2,__export__.product_product_38461_229c483c,36AA4033,31.0
__export__.stock_inventory_line_198676_ce73c9dd,__export__.product_product_38471_b49b6a2b,36AA4055,9.0
__export__.stock_inventory_line_198713_f6aff3f4,__export__.product_product_11513_6b836bb5,36DH4032,8.0
__export__.stock_inventory_line_198724_f814c67d,__export__.product_product_11583_e13fe182,36DJ4008,11.0
__export__.stock_inventory_line_198888_005bd9dc,__export__.product_product_12636_4201873b,39104319,225.0
__export__.stock_inventory_line_198934_24449375,__export__.product_product_12753_805bbacd,39219019,441.0
__export__.stock_inventory_line_199399_0d4b3957,__export__.product_product_39387_8a9eb5aa,AA191091,21.0
__export__.stock_inventory_line_199948_3f77b577,__export__.product_product_15660_43b99dae,DJ161254,6.0
__export__.stock_inventory_line_208132_0ffc79cb,__export__.product_product_15700_05a0d8b0,DJ181041,6.0
__export__.stock_inventory_line_200377_a6a606ba,__export__.product_product_18171_4c121c4a,JA511012,35.0
__export__.stock_inventory_line_200387_2e009328,__export__.product_product_18202_1c7da4be,JA541011,48.0
__export__.stock_inventory_line_200506_9abcfd4f,__export__.product_product_18885_785341a9,JD511201,28.0
__export__.stock_inventory_line_200507_704965c3,__export__.product_product_18886_cdf248f5,JD511202,17.0
__export__.stock_inventory_line_200577_df7f202d,__export__.product_product_19115_1e68b781,JE571007,68.0
__export__.stock_inventory_line_198837_fd60daaf,__export__.product_product_12387_12d74e9e,36PA0042,9.0
__export__.stock_inventory_line_199392_85d25ea7,__export__.product_product_39378_959938c8,AA191071,6.0
__export__.stock_inventory_line_199678_22ef90b8,__export__.product_product_14117_b12ede13,CS101128,158.0
__export__.stock_inventory_line_199683_9a64754d,__export__.product_product_14163_3c07256b,DD101063,15.0
__export__.stock_inventory_line_199826_41ad0285,__export__.product_product_47687_4cece32a,DH101795,38.0
__export__.stock_inventory_line_199829_0f1898ac,__export__.product_product_14955_b2339f87,DH101864,18.0
__export__.stock_inventory_line_200285_c0775633,__export__.product_product_17561_25d7b59e,DV101042,89.0
__export__.stock_inventory_line_210687_91cee012,__export__.product_product_18723_e9fec322,JD131816,2.0
__export__.stock_inventory_line_198691_19f9b20f,__export__.product_product_38522_febe14be,36AN0010,32.0
__export__.stock_inventory_line_199236_f517bdaf,__export__.product_product_38972_d704bdb5,AA101446,24.0
__export__.stock_inventory_line_199334_ac3855bc,__export__.product_product_39217_f65dfb06,AA121150,19.0
__export__.stock_inventory_line_199469_8be63806,__export__.product_product_46852_d24e788e,AB181017,49.0
__export__.stock_inventory_line_199526_39fd1fcf,__export__.product_product_47142_6ac208e3,AN101123,26.0
__export__.stock_inventory_line_199543_541b9ac4,__export__.product_product_47169_058cd2ee,AN101190,32.0
__export__.stock_inventory_line_200779_99d739d7,__export__.product_product_23886_b85651cd,JN521001,50.0
__export__.stock_inventory_line_198324_834cb8e0,__export__.product_product_37517_c00b55cc,01100610,99.0
__export__.stock_inventory_line_198358_1034c25d,__export__.product_product_37641_f3157a6a,13101024,32.0
__export__.stock_inventory_line_198398_f1e6294d,__export__.product_product_37816_87d8f5b8,24101076,12.0
__export__.stock_inventory_line_198895_f90cefcd,__export__.product_product_38685_3347ae00,39128321,73.0
__export__.stock_inventory_line_199291_77a20735,__export__.product_product_39116_54854f3e,AA102094,18.0
__export__.stock_inventory_line_198407_c1fbcbff,__export__.product_product_37831_6c47eae1,24101203,1.0
__export__.stock_inventory_line_201952_1a9a690f,__export__.product_product_11116_0f706494,28101107,100.0
__export__.stock_inventory_line_202153_0b48eeb7,__export__.product_product_38397_da4465b5,31101173,100.0
__export__.stock_inventory_line_211545_a6babbd5,__export__.product_product_22894_ea04ff02,JG601235,3.0
__export__.stock_inventory_line_199649_b136455c,__export__.product_product_47576_f5c05a99,BF551613,131.0
__export__.stock_inventory_line_198596_b43c4a26,__export__.product_product_11302_89b7fcaf,31101033,574.0
__export__.stock_inventory_line_198741_6add7230,__export__.product_product_11706_899b1546,36DS1004,253.0
__export__.stock_inventory_line_198888_005bd9dc,__export__.product_product_12636_4201873b,39104319,225.0
__export__.stock_inventory_line_199414_34a97506,__export__.product_product_46699_7b02b74f,AA201185,24.0
__export__.stock_inventory_line_200206_c32e4746,__export__.product_product_16928_7242b1f9,DS201035,41.0
__export__.stock_inventory_line_200231_349dd8f1,__export__.product_product_17280_50591bc3,DU101185,24.0
__export__.stock_inventory_line_200276_15aaf0de,__export__.product_product_17481_42d456cb,DU201101,85.0
__export__.stock_inventory_line_198813_9926fe88,__export__.product_product_12256_1b8a20bc,36JZ0007,41.0
__export__.stock_inventory_line_198934_24449375,__export__.product_product_12753_805bbacd,39219019,441.0
__export__.stock_inventory_line_199253_369888f9,__export__.product_product_39003_95b0f54e,AA101569,106.0
__export__.stock_inventory_line_199606_5423a9fc,__export__.product_product_47318_8d5c8484,AZ351207,43.0
__export__.stock_inventory_line_200017_e912dfcd,__export__.product_product_15970_7b04d2ae,DK101386,30.0
__export__.stock_inventory_line_199119_2ab647be,__export__.product_product_13746_5e43a518,52PF1156,24.0
__export__.stock_inventory_line_199698_3b93dff5,__export__.product_product_14214_7e3a22e8,DD111018,312.0
__export__.stock_inventory_line_199782_c6c87107,__export__.product_product_14768_5eb4ee7d,DH101050,183.0
