ID,Product/ID,Product/Internal Reference,Counted Quantity
__export__.stock_inventory_line_265764_82c0d047,__export__.product_product_39172_2b9c5083,AA111147,1.0
__export__.stock_inventory_line_271429_12319dd2,__export__.product_product_39041_a795c712,AA101734,2.0
__export__.stock_inventory_line_266670_d12e754a,__export__.product_product_17254_81ffd2a3,DU101041,0.0
__export__.stock_inventory_line_265615_b1771aa8,__export__.product_product_49868_bd04d578,6302(NACHi),1.0
__export__.stock_inventory_line_266967_cebcf75c,__export__.product_product_18899_286488a3,JD551002,5.0
__export__.stock_inventory_line_265275_9402e646,__export__.product_product_12378_d2add5a9,36PA0002,3.0
__export__.stock_inventory_line_265351_9e434425,__export__.product_product_38735_aae7f1e9,39171519,204.0
__export__.stock_inventory_line_265379_cefd9b91,__export__.product_product_12753_805bbacd,39219019,472.0
__export__.stock_inventory_line_265329_082b0c62,__export__.product_product_12634_792e3269,39104119,20.0
__export__.stock_inventory_line_265371_e71eed83,__export__.product_product_12732_708a75a8,39201719,82.0
__export__.stock_inventory_line_264822_1b719261,__export__.product_product_37755_2a8731ba,22170115,13.0
__export__.stock_inventory_line_265610_dda7bd46,__export__.product_product_49866_cdce22ce,6204(NACHi),-1.0
__export__.stock_inventory_line_265613_162fee9e,__export__.product_product_49869_ae8ceb1d,6301(NACHi),7.0
__export__.stock_inventory_line_265163_55de2534,__export__.product_product_11577_4a1c5231,36DJ1004,0.0
__export__.stock_inventory_line_266834_5575baa8,__export__.product_product_18189_6dbcc5a2,JA521017,0.0
__export__.stock_inventory_line_266414_2f1a0f4b,__export__.product_product_15742_14f73bad,DJ191012,0.0
__export__.stock_inventory_line_266018_ed9b3d35,__export__.product_product_47218_f7ed0051,AN111009,1.0
__export__.stock_inventory_line_265144_0ecc1f5b,__export__.product_product_11474_3b9de8b0,36DD4002,-1.0
__export__.stock_inventory_line_265985_250cc52f,__export__.product_product_47157_ad7e67c1,AN101162,4.0
__export__.stock_inventory_line_265996_9405345d,__export__.product_product_47174_9eff6af9,AN101203,11.0
__export__.stock_inventory_line_271466_4f4d9939,__export__.product_product_39093_87d9f761,AA101952,-1.0
__export__.stock_inventory_line_266697_9012e987,__export__.product_product_17327_984e0c0a,DU141061,0.0
__export__.stock_inventory_line_264888_b16607cd,__export__.product_product_38006_09294f34,24131016,17.0
__export__.stock_inventory_line_267294_72c1735a,__export__.product_product_32006_26924e22,JZ161204,2.0
__export__.stock_inventory_line_265629_ef3525ad,__export__.product_product_38870_f7bf9255,AA101046,1.0
__export__.stock_inventory_line_265679_758474f3,__export__.product_product_38967_4aadccb9,AA101392,2.0
__export__.stock_inventory_line_265101_7bca539d,__export__.product_product_38442_6d3f8198,36AA1003,54.0
__export__.stock_inventory_line_265672_8b4a3872,__export__.product_product_38952_dff91813,AA101328,49.0
__export__.stock_inventory_line_266727_b554a586,__export__.product_product_17481_42d456cb,DU201101,83.0
__export__.stock_inventory_line_266319_4049ab2a,__export__.product_product_15152_f4515635,DH161194,41.0
__export__.stock_inventory_line_265956_e133bc8e,__export__.product_product_49932_343ce57f,AL201012(YL),0.0
__export__.stock_inventory_line_265211_3977c8d5,__export__.product_product_11859_9c3477c8,36JD0004,0.0
__export__.stock_inventory_line_267235_024786b0,__export__.product_product_23879_2b47923b,JN351604,14.0
__export__.stock_inventory_line_269085_8a5d4176,__export__.product_product_11793_9fafe579,36DU4078,-1.0
__export__.stock_inventory_line_266033_bdc75832,__export__.product_product_47249_15c67ac1,AP111023,12.0
__export__.stock_inventory_line_266413_f7b7e8a7,__export__.product_product_15738_7a9503ee,DJ191008,10.0
__export__.stock_inventory_line_266844_fe6e8a8c,__export__.product_product_18217_3446076a,JA541205,181.0
__export__.stock_inventory_line_266294_87c606c3,__export__.product_product_15014_35ae7052,DH111015,11.0
__export__.stock_inventory_line_265899_3e5ddce9,__export__.product_product_46805_e3ebe440,AB151054,7.0
__export__.stock_inventory_line_264904_35bb581f,__export__.product_product_38068_81978363,24151059,0.0
__export__.stock_inventory_line_266565_8dc4b23c,__export__.product_product_16547_0b9ad1d7,DP161102,13.0
__export__.stock_inventory_line_266695_3bf59ffc,__export__.product_product_17309_be0300e4,DU121005,1.0
__export__.stock_inventory_line_265022_b65e6f03,__export__.product_product_11238_926c2a15,30151105,78.0
__export__.stock_inventory_line_266821_3cc9a6c4,__export__.product_product_18143_fb4c35d2,JA351200,3.0
__export__.stock_inventory_line_266119_9e741ff4,__export__.product_product_49944_6ff51ba3,CD101008(YL),12.0
__export__.stock_inventory_line_265943_1585aad8,__export__.product_product_46951_c231835c,AF201036,50.0
__export__.stock_inventory_line_265139_79f939fb,__export__.product_product_38537_13f3269f,36BA4039,75.0
__export__.stock_inventory_line_267202_09508c38,__export__.product_product_23679_9394a73a,JL541207,1.0
__export__.stock_inventory_line_267201_53a65852,__export__.product_product_23675_4695a7ac,JL521002,1.0
__export__.stock_inventory_line_266875_bcd2ce1f,__export__.product_product_18402_7060219a,JB181421,4.0
__export__.stock_inventory_line_269914_1d6cd6b1,__export__.product_product_12616_46111dd2,39099206,-3.0
__export__.stock_inventory_line_265773_81613d8f,__export__.product_product_39184_addf96fb,AA121006,73.0
__export__.stock_inventory_line_265389_399fe627,__export__.product_product_38788_a77820ea,39252820,81.0
__export__.stock_inventory_line_265089_9b4c5828,__export__.product_product_38440_8b28e8e0,36281008,25.0
__export__.stock_inventory_line_265193_b087b070,__export__.product_product_11776_45d21b56,36DU1503,64.0
__export__.stock_inventory_line_265800_82e46efa,__export__.product_product_39265_b5b83348,AA141004K,55.0
__export__.stock_inventory_line_265039_264f4e20,__export__.product_product_11302_89b7fcaf,31101033,564.0
__export__.stock_inventory_line_265328_ec925494,__export__.product_product_38666_4cd4757b,39103519,955.0
__export__.stock_inventory_line_265752_51f3ee9f,__export__.product_product_39154_65c7a6c5,AA111085,53.0
__export__.stock_inventory_line_265976_c9c570a8,__export__.product_product_47142_6ac208e3,AN101123,24.0
__export__.stock_inventory_line_265993_746ac0ae,__export__.product_product_47169_058cd2ee,AN101190,28.0
__export__.stock_inventory_line_266099_98ccc9c8,__export__.product_product_47576_f5c05a99,BF551613,122.0
