PART_NO,PART_DESC,PR CODE,SELLING PRICE
01100323,WASHER,2W,  5 
01100326,RUBBER BUSH,2W,  65 
01100404,BORE GASKET,2W,  10 
01100615,CASTLE NUT,2W,  60 
01100719,WASHER,2W,  20 
01100904,CLUTCH LEVER RETURN SPRING,2W,  15 
01100909,INTERNAL LEVER,2W,  20 
01101008,ROLLER,2W,  2 
01110609,PLAIN WASHER,2W,  5 
01120218,AUTOMISER,2W,  60 
01120222,FLOAT,2W,  95 
01160508,LOCK WASHER,2W,  5 
01170110,HUB BEARING [6201],2W,  540 
01170111,BEARING BALL [6203],2W,  510 
02120304,RUBBER PLUG,2W,  15 
02140121,GASKET FOR PETROL TANK,2W,  70 
02190249,CABLE COMP R/ BRAKE,2W,  80 
03100308,OIL SEAL [ R / HUB ],2W,  105 
03100623,ROLLER BEARING,2W,  55 
03100910,PLUNGER,2W,  110 
03101201,SECTOR GEAR ASSY.,2W,  930 
03120208,PILOT JET NO.42/100,2W,  95 
03170126,OIL SEAL [ F/HUB ],2W,  50 
03170351,DAMPER BRACKET,2W,  300 
03180118,BUSH,2W,  30 
03180123,ROLLER BEARING,2W,  115 
03200232,H L GLASS,2W,  155 
03220102,FOOT REST ASSY.,2W,  400 
04101027,DRIVING PLATE SET,2W,  660 
05101040,CLUTCH DRIVING PLATES,2W,  150 
05101057,SPACER,2W,  15 
05111095,INSULATING CAP,2W,  5 
05111190,C.D.I.WITH DAMPER,2W,"  1,680 "
05151020,RE BR SHOE ASSY/W PAD,2W,  785 
05171056,ANTIDIVE LINK ASSLY,2W,  380 
05181023,BEARING-RACE SET,2W,"  1,565 "
05181037,HUB PIN,2W,  230 
05191001,GEAR CONTROL TUBE,2W,  845 
05191024,CLUTCH LEVER,2W,  250 
05191034,LEVER-FRT.BRAKE,2W,  305 
05191051,CABLE COMP CLUTCH,2W,  240 
05201091,LAMP-S.INDICATER-FRT/RH,2W,  165 
05201146,REGULATOR  ASSY,2W,"  1,540 "
05201173,H L  ASSY,2W,  330 
05201194,TAIL LAMP ASSY,2W,"  1,190 "
06100708,3RD GEAR,2W,  565 
06101049,G S ASSLY,2W,  560 
06101098,2ND SPEED GEAR,2W,"  1,120 "
06101099,3RD SPEED GEAR,2W,  545 
06101112,SPRING,2W,  10 
06111026,CHARGING COIL,2W,  575 
06111034,PICK UP COIL ASSY,2W,  310 
06111085,12 VOLT EIS UNIT,2W,"  1,820 "
06111179,ROTOR  &  PLASTIC  FAN  ASSY,2W,"  1,420 "
06111191,"CHARGING COIL [12V-70W,E.I.S]",2W,  330 
06111192,"L.T.COIL NO.1 [12V-70W,E.I.S]",2W,  590 
06111193,"L.T. COIL NO.2 [12V-70W,E.I.S]",2W,  305 
06111251,IG. CHARGING  COIL,2W,  700 
06121013,CARBURATOR.,2W,"  4,560 "
06121031,FLOAT CHAMBER COVER,2W,  195 
06121045,PILOT JET,2W,  60 
06141010,FUEL  PIPE,2W,  455 
06150101,BRAKE SHOE [FRONT],2W,  955 
06150201,BRAKE SHOE ASSLY [REAR],2W,"  1,010 "
06150302,WHEEL RIM,2W,"  3,120 "
06150304,WHEEL FLANGE,2W,  840 
06151013,FRONT BRAKE SHOE,2W,  800 
06151023,SPECIAL  NUT,2W,  45 
06151031,FR  BRAKE  DRUM  ASSY,2W,"  1,405 "
06151032,RE BRAKE DRUM ASSY,2W,"  3,645 "
06161228,SPRING FOR STAND,2W,  60 
06161248,GUIDE (19-1611-68),2W,  45 
06161353,LUGGAGE BOX LOCK SET,2W,"  1,780 "
06170201,SUSPENSION SPRING FRONT,2W,  335 
06180107,UPPER BEARING,2W,  260 
06181002,HANDLE BAR BODY *,2W,"  2,665 "
06181049,LOCK CAM,2W,  80 
06190111,GAS CONTROLL TUBE,2W,  155 
06190310,DRIVE GEAR WHEEL,2W,  30 
06191010,GEAR CABLE ASSY [GRAY],2W,  300 
06191013,GEAR CABLE COM. F/F,2W,  275 
06191035,FRONT BRAKE CABLE,2W,  80 
06191055,CLUTCH  CABLE,2W,  290 
06191065,CABLE INNER GEAR,2W,  85 
06191077,CABLE COMP CHOKE,2W,  250 
06191080,CLUTCH  INNER,2W,  120 
06191096,GEAR  CABLE  COMP.,2W,  280 
06191097,GEAR  CABLE  COMP.  BLACK,2W,  260 
06191113,HAND GRIP,2W,  235 
06191121,LEVER - CLUTCH,2W,  165 
06191127,CABLE COMP F/ BRAKE,2W,  290 
06201024,LUMAX HEAD LAMP GLASS,2W,  250 
06201083,IND. LAMP BULB (12V.10W),2W,  120 
06201198,MAIN SWITCH ASSLY.,2W,  235 
06201204,REFLECTOR ASSY.WITH GLASS,2W,  590 
06201246,IGNITION SWITCH,2W,  220 
06201274,STARTER RELAY,2W,"  1,090 "
0770020170,O-RING,2W,  670 
07700900151,O-RING,2W,  500 
07701250151,O-RING,2W,"  1,490 "
0770260015,O-RING,2W,  670 
07703305178,O-RING,2W,  740 
0770440020,O-RING,2W,"  1,640 "
08161028,MATTING,2W,  235 
08201007,SWITCH-IGNITION,2W,  135 
10191001,GEAR CONTROL TUBE WITH SLEEVE,2W,"  1,210 "
12151003,BRAKE SUPPORT,2W,  305 
12191008,CABLE COMP R/BRAKE,2W,  230 
12191012,CABLE INNER R/BRAKE,2W,  145 
12201003,STOP SWITCH,2W,  110 
13101035,TIMING CHAIN,2W,"  1,130 "
14151021,OIL SEAL [ F/ DRUM ],2W,  110 
14151033,BEARING BALL [6200] - ,2W,  670 
14181010,BEARING RACE,2W,  260 
14191013,REAR  BRAKE  CABLE ASSY,2W,  320 
15101015,OIL SEAL [ MAGNETO ],2W,  320 
15101027,GASKET FOR CY.HEAD.,2W,  25 
15101043,MAIN SHAFT,2W,  790 
15101051,CLUTCH BUSH,2W,"  1,025 "
15101055,CLUTCH PLATE,2W,  85 
15101068,OIL SEAL,2W,  25 
15101084,O RING,2W,  10 
15101146,CORONA GEAR,2W,"  1,285 "
15101163,MAIN SHAFT [FOR DOUBLE CIRCLIP,2W,  935 
15141007,GASKET/S,2W,  10 
15151047,RUBBER PAD,2W,  110 
15151056,OIL SEAL [ R / SPROCKET HUB ],2W,  45 
15151058,LOCK PLATE,2W,  5 
15151066,BEARING BALL [6300],2W,  840 
15151078,SPEEDO PINION/S,2W,  85 
15161069,PLUG CAP,2W,  50 
15161103,RUBBER SLEEVE,2W,  95 
15161137,CHAIN COVER LOWER HALF,2W,  195 
15171011,CUP WASHER,2W,  15 
15171012,PACKING FELT,2W,  10 
15171017,BUSH/S,2W,  10 
15171060,BUSH ASSY,2W,  55 
15191025,SPRING,2W,  10 
15191026,PIN,2W,  30 
15191039,CL.CABLE CO/S,2W,  205 
15191045,SPEEDO CABLE ASSY,2W,  340 
16101005,CYL.BLOCK WITH PISTON ASSY,2W,"  2,840 "
16101022,GASKET SET,2W,  345 
16101037,CROSS,2W,  240 
16101059,CLUTCH BUSH ASSY,2W,"  1,110 "
16101107,GASKET CYLINDER HEAD,2W,  20 
16101256,BOSS - KICK : - 4S TYPE,2W,  350 
16101267,KICK STARTER COMP,2W,  585 
16111115,PICKUP COIL ASSLY,2W,  205 
16121004,COVER-AIR CLEANER,2W,  35 
16121006,REED  VALVE  ASSY,2W,  910 
16121019,FOAM FILTER,2W,  40 
16141020,KNOB  FOR  LEVER,2W,  20 
16151007,FRONT WHEEL ASSY,2W,"  2,110 "
16151008,CHAIN LINK,2W,  130 
16151015,ACTUATING SHAFT,2W,  95 
16151017,REAR BRAKE LEVER,2W,  125 
16151029,SPEEDOMETER GEAR [PLASTIC],2W,  60 
16151038,FRONT BRAKE LEVER,2W,  50 
16151054,BRAKE SHOE SPRING *,2W,  10 
16151060,BRAKE SHOE [15-1510-26] *,2W,  530 
16151063,FRONT WHEEL RIM,2W,"  6,270 "
16151064,SPOKE INNER,2W,  40 
16151065,SPOKE  OUTER,2W,  50 
16151066,NIPPLE  SPOKE,2W,  30 
16161111,SHIELD ASSEMBLY,2W,  760 
16171092,SHOCKABSORBER ASSEMBLY - REAR,2W,"  1,515 "
16191004,RETURN SPRING,2W,  2 
16191006,ACC.CABLE ASSY *,2W,  170 
16191010,GEAR CABLE COMP-GREY,2W,  75 
16191025,FRONT BRAKE CABLE ASSY,2W,  135 
16201052,LAMP-S.INDICATER-RE/LH,2W,  250 
16201055,SPRING-BRAKE SWITCH,2W,  20 
17101014,PISTON RING [BOTTOM] STD,2W,  90 
18111068,CHARGING COIL,2W,  465 
18141041,CAP TANK,2W,  105 
18151019,SPEEDO PINION ASSY,2W,  210 
18151030,BRAKE  SHOE  ASSY,2W,  380 
18191012,FRT.BRAKE CABLE,2W,  100 
18201044,S.L. BULB 12V 10W,2W,  130 
19101012,MAIN SHAFT,2W,"  2,305 "
19121037,CONICAL NEEDLE,2W,  50 
19121040,FLOAT,2W,  355 
19141014,PETROL TANK CAP,2W,  100 
19151008,BEARING NEEDLE [HK1712] - F / AXLE,2W,  195 
19161151,PUSH RIVET,2W,  10 
19191016,SPRING CLIP,2W,  15 
20161003,MONOGRAM,2W,  15 
20191015,SPEDO DRIVE [06-1903-09],2W,  140 
20201029,T.L./S.L.BULB 12V 5/21W,2W,  170 
20201030,LENS-BLINKER FRT/LH,2W,  95 
20201031,LENS-BLINKER FRT/RH,2W,  95 
20221002,MIRROR R/H,2W,  330 
24121367,JET MAIN,2W,  105 
24231547,HOOD COMPLETE (BLACK),2W,"  8,705 "
28101017,CYLINDER  BORE  GASKET,2W,  40 
28101019,CAM SHAFT SPROCKET,2W,"  2,830 "
28101021,GUIDE  CHAIN,2W,  680 
28101025,CRANK  SHAFT,2W,"  13,405 "
28101032,ARM  ROCKER,2W,  415 
28101048,CRANK  CASE  GASKET,2W,  260 
28101072,Gasket,2W,  10 
28101073,G.SHIFTER COVER ASSY,2W,  125 
28101084,FAN COVER,2W,  445 
28101089,OIL STRAINER,2W,  75 
28101099,SILENCER,2W,"  6,060 "
28101103,Gasket,2W,  215 
28101107,PARALLEL KEY,2W,  15 
28101128,CYLINDER  HEAD  GASKET,2W,  135 
28101131,WHEEL CLUTCH,2W,  610 
28101132,HUB CLUTCH,2W,  790 
28101134,PLATE  CLUTCH-CALIBER 115,2W,  70 
28101166,SPACER (FOR M'SHAFT),2W,  65 
28101174,SPRING CLIP,2W,  15 
28101195,HOLDER,2W,  210 
28101214,SPRING,2W,  70 
28111012,PULSER  COIL,2W,  455 
28111064,CDI WITH DAMPER,2W,"  2,695 "
28121017,AIR FILTER FOAM,2W,  185 
28121034,SPRING COMPRESSION,2W,  280 
28121096,CARBURETTOR ASSEMBLY,2W,"  7,510 "
28151004,REAR  BRAKE  SHOE ASSY,2W,  430 
28151016,CAP FOR WHEEL COVER,2W,  35 
28151020,REAR BRAKE  LINK,2W,  10 
28151021,REAR BRAKE  LINK,2W,  5 
28161094,CLIP FOR STAND -LH,2W,  35 
28181010,HANDLE  BAR  COVER,2W,  755 
28181011,FARING,2W,  530 
28191001,REAR BRAKE CABLE COMP,2W,  270 
28191002,REAR  BRAKE  CABLE INNER,2W,  145 
28191004,GEAR  CABLE  COMP.,2W,  375 
28191007,GEAR  CABLE  BLACK,2W,  385 
28191030,ACC.CABLE  COMPLETE,2W,  475 
28191033,SPEEDO CABLE COMP,2W,  775 
28201010,TAIL LAMP,2W,"  5,400 "
28201013,CONTROL SWITCH RH,2W,  585 
28221001,FOOT  REST,2W,"  1,575 "
28221010,MIRROR  ASSY  RH,2W,  435 
29101019,CRANK SHAFT,2W,"  5,130 "
29101201,CLUTCH BOX ASSY,2W,"  1,420 "
29101273,CLUTCH ASSY,2W,"  2,380 "
29101286,PAWL,2W,  275 
29101311,GASKET C' CASE COVER,2W,  240 
29101313,CRANKCASE ASSEMBLY,2W,"  5,040 "
29101441,BLOCK CYLINDER+PISTON,2W,"  4,285 "
29101498,CLUTCH ASSEMBLY COMPLETE,2W,"  3,885 "
29111004,STARTER MOTOR,2W,"  3,885 "
29111019,CDI WITH DAMPER,2W,"  1,890 "
29121017,ELEMENT-AIR FILTER,2W,  80 
29151034,WHEEL RIM,2W,"  2,010 "
29161062,SHIELD PRIMERED - SPIRIT,2W,"  2,435 "
29161072,FRONT MUDGUARD,2W,  295 
29161157,CLIP NUT (M5),2W,  30 
29171004,STEEL BUSH (SHORT),2W,  125 
29171010,FRONT LINK,2W,  550 
29171014,REAR SHOCK W/SPRING,2W,"  1,925 "
29171018,SHOCK ABSORBER - FRONT,2W,  965 
29181082,FORK COVER -RH,2W,  70 
29181087,FRONT FORK,2W,"  10,515 "
29181099,HANDLE BAR COVER FR,2W,  430 
29191033,CRYSTAL (TOP GLASS),2W,  165 
29191062,"LEVER - CONTROL :- LH
",2W,  185 
29201023,REGULATOR -RECTIFIER,2W,"  1,635 "
29201030,STARTER RELAY,2W,  590 
29201037,LAMP (LIGHT) DIRECTION IND.-LH,2W,  285 
29201038,SIGNAL LAMP(DIR. INDICATOR RH),2W,  455 
29201079,SWITCH (FR & RE) BRAKE,2W,  135 
29201094,H/L HOLDER,2W,  330 
29201117,KIT -FR.BRK SWTCH :CARIER COVR CSK SCREW,2W,  300 
29221002,MIRROR ASSY LH,2W,  310 
29221006,MIRROR ASSY RH,2W,  345 
29221025,GRAB HANDLE,2W,"  3,295 "
30101014,OIL SEAL [ F / SPROCKET ],2W,  160 
30101015,Gasket,2W,  5 
30101019,GASKET CYL. BASE,2W,  10 
30101044,WHEEL-SHIFT,2W,  115 
30101046,GEAR INPUT,2W,  810 
30101047,GEAR INPUT,2W,  420 
30101056,GEAR OUTPUT 2 ND,2W,  775 
30101061,RING O/S,2W,  70 
30101073,LEVER ASSY,2W,  540 
30101086,BOLT,2W,  10 
30101096,PLATE-CLUTCH ( STEEL),2W,  180 
30101098,SPRING CLUTCH,2W,  50 
30101099,HOUSING,2W,"  2,270 "
30101103,DAMPER-CLUTCH,2W,  15 
30101133,OIL SEAL [ CLUTCH ],2W,  60 
30101136,GASKET CLUTCH,2W,  185 
30101142,OIL SEAL [ KICK ],2W,  110 
30101154,KICK PADAL RUBBER,2W,  90 
30101192,BEARING BALL [6004/C3] - SPROCKET HUB,2W,  700 
30101195,O RING/S,2W,  70 
30101234,SPRING,2W,  15 
30101236,BALL /S/,2W,  20 
30101344,PAWL [30-1011-60],2W,  210 
30121008,GEAR OIL PUMP,2W,  30 
30121018,RING SNAP,2W,  2 
30121054,JET,2W,  220 
30121086,ELEMENT,2W,  175 
30141015,CLAMP TUBE,2W,  15 
30141026,DAMPER TANK,2W,  90 
30141028,GASKET,2W,  100 
30141031,RING,2W,  15 
30141032,BOLT,2W,  25 
30141036,PACKING FUEL TOP LEVER,2W,  45 
30141039,PACKING FUEL TAP,2W,  70 
30141052,GASKET FUEL,2W,  160 
30151004,CAM F/BRAKE,2W,  155 
30151008,PANNEL,2W,"  2,500 "
30151011,CAM BRAKE,2W,  360 
30151025,NIPPLE SPOKE,2W,  10 
30151032,COLLAR L=47,2W,  180 
30151033,OIL SEAL [ F / DRUM ],2W,  180 
30151035,OIL SEAL [ F / BRAKE DRUM COVER ],2W,  220 
30151038,RING,2W,  15 
30151041,GEAR METER SCREW,2W,  310 
30151042,WASHER,2W,  15 
30151046,AXLE FRONT,2W,  320 
30151063,R.B.DRUM,2W,"  7,650 "
30151069,SPRING BRAKE,2W,  50 
30151071,AXLE,2W,  525 
30151075,COLLAR L=57,2W,  240 
30151076,DAMPER REAR,2W,"  1,200 "
30151078,COUPLING HUB,2W,"  1,800 "
30151079,SLEVE L=58,2W,  520 
30151081,LOCK,2W,  25 
30151082,OIL SEAL [ R / SPROCKET HUB ],2W,  180 
30151095,BOLT,2W,  80 
30151096,BOLT,2W,  80 
30151105,BRAKE SHOE ASSY,2W,  750 
30151116,GEAR METER,2W,  70 
30151118,STOPPER,2W,  30 
30151119,BUSHING,2W,  170 
30151122,COLLAR ASSLY,2W,  130 
30161157,SHAFT STAND,2W,  220 
30161158,SPRING STAND,2W,  130 
30161168,SCREW,2W,  25 
30161169,GROMMET,2W,  35 
30171018,BUSHING RUBBER,2W,  290 
30171022,PIN 8*31,2W,  60 
30171023,ADJ CHAIN LH,2W,  210 
30171024,ADJ CHAIN RH,2W,  200 
30171030,RUBBER  BUSH,2W,  110 
30181006,BALL STEEL/S,2W,  10 
30181007,CONE STEERING S/BEARING,2W,  185 
30181008,RACE STEERING S/BEARING,2W,  340 
30181009,BEARING RACE,2W,  360 
30181011,NUT,2W,  200 
30181020,RING-FAN,2W,  10 
30181023,CLIP,2W,  20 
30181025,BOLT-FORK CYLINDER,2W,  135 
30181026,GASKET-FORK CEY.,2W,  55 
30181029,RING O,2W,  65 
30181053,CYLINDER-FORK,2W,  395 
30181074,RACE STEERING STEM BEARING,2W,  320 
30191007,GRIP ASSY,2W,  340 
30191014,LEVER HOLDER-R/H,2W,  670 
30191015,LEVER - BRAKE,2W,  490 
30191017,NUT CABLE,2W,  100 
30191022,LEVER HOLDER-L/H,2W,  540 
30191023,LEVER - CLUTCH,2W,  470 
30191024,SCREW CABLE,2W,  80 
30191030,BOOT FOR LEVER,2W,  140 
30191031,SPRING BRAKE,2W,  110 
30191035,SPRING BRAKE/S,2W,  50 
30191036,NUT BRAKE WHEEL,2W,  90 
30191037,PIN,2W,  40 
30191038,PIN,2W,  20 
30191039,CABLE COMP SPEEDOMETER,2W,  155 
30191047,CLAMP CABLE,2W,  20 
30191048,BAND L=123/S,2W,  25 
30191067,OIL SEAL [ SPEEDOMETER CABLE ],2W,  35 
30191069,SEAL DUST,2W,  35 
30191070,SPRING-BRAKE CABLE,2W,  30 
30191071,ROD END,2W,  50 
30191072,ADJUSTING NUT,2W,  80 
30201018,SWITCH BRAKE FR,2W,  75 
30201029,LAMP :- 12V - 4W,2W,  40 
30201057,RELAY ASSY TURN SIGNAL,2W,  300 
30201060,FUSE ASSLY,2W,  300 
