"ID","Product/Product/ID","Point of Sale Category","Internal Reference","Quantity On Hand","Sales Price","Cost"
"point_of_sale.KADA0620","__export__.product_product_32335_1c2d723a","Bajaj / 2W","KADA0620","0.0","35.0","35.0"
"point_of_sale.JY181279","__export__.product_product_31638_1dddaf76","Bajaj / 2W","JY181279","0.0","30.0","30.0"
"point_of_sale.JG351005","__export__.product_product_22717_750c4576","Bajaj / 2W","JG351005","3.0","12190.0","12190.0"
"point_of_sale.36AA4105","__export__.product_product_38485_197504bc","Bajaj / 3W","36AA4105","3.0","29470.0","29470.0"
"point_of_sale.GF121041","__export__.product_product_17976_03cccb66","Bajaj / 2W","GF121041","0.0","5650.0","5650.0"
"point_of_sale.52DJ0555","__export__.product_product_13032_1c29ecfc","Bajaj / 2W","52DJ0555","0.0","35340.0","35340.0"
"point_of_sale.39097804","__export__.product_product_12609_b8fc5591","Bajaj / 2W","39097804","-4.0","95.0","95.0"
"point_of_sale.39213421","__export__.product_product_12736_3bce4b22","Bajaj / 2W","39213421","-7.0","200.0","200.0"
"point_of_sale.39185821","__export__.product_product_12707_09388676","Bajaj / 2W","39185821","0.0","115.0","115.0"
"point_of_sale.39175421","__export__.product_product_12692_7b03e556","Bajaj / 2W","39175421","0.0","105.0","105.0"
"point_of_sale.39182321","__export__.product_product_38750_ded1ca64","Bajaj / 3W","39182321","-2.0","20.0","20.0"
"point_of_sale.JL151038","__export__.product_product_23418_be9e170c","Bajaj / 2W","JL151038","0.0","25.0","25.0"
"point_of_sale.39173621","__export__.product_product_12689_75ff0379","Bajaj / 2W","39173621","0.0","35.0","35.0"
"point_of_sale.DK101340","__export__.product_product_15960_63ee9e35","Bajaj / 2W","DK101340","46.0","135.0","135.0"
"point_of_sale.JA351602","__export__.product_product_18149_cbf5f29a","Bajaj / 2W","JA351602","0.0","65.0","65.0"
"point_of_sale.CB101181","__export__.product_product_14090_d3edea57","Bajaj / 2W","CB101181","0.0","65.0","65.0"
"point_of_sale.24201327","__export__.product_product_38290_3fec51dc","Bajaj / 3W","24201327","0.0","4330.0","4330.0"
"point_of_sale.39075301","__export__.product_product_12591_ddb50574","Bajaj / 2W","39075301","0.0","30.0","30.0"
"point_of_sale.AA101050","__export__.product_product_38872_fa88bd0b","Bajaj / 3W","AA101050","6.0","12310.0","12310.0"
"point_of_sale.06111085","__export__.product_product_10961_88c82f91","Bajaj / 2W","06111085","0.0","1820.0","1820.0"
"point_of_sale.JZ401802","__export__.product_product_32165_23348e0b","Bajaj / 2W","JZ401802","0.0","5730.0","5730.0"
"point_of_sale.06100706","__export__.product_product_37603_f0775ecf","Bajaj / 3W","06100706","0.0","1570.0","1570.0"
"point_of_sale.22101121","__export__.product_product_37693_48b380bc","Bajaj / 3W","22101121","0.0","4610.0","4610.0"
"point_of_sale.19101014","__export__.product_product_37654_148d61eb","Bajaj / 3W","19101014","0.0","720.0","720.0"
"point_of_sale.AA101051","__export__.product_product_38873_64645c5b","Bajaj / 3W","AA101051","4.0","8080.0","8080.0"
"point_of_sale.06101098","__export__.product_product_10956_eabc3142","Bajaj / 2W","06101098","0.0","1120.0","1120.0"
"point_of_sale.24100705","__export__.product_product_37800_e5dfe6d8","Bajaj / 3W","24100705","0.0","3350.0","3350.0"
"point_of_sale.JW181407","__export__.product_product_24225_2e7f23a2","Bajaj / 2W","JW181407","0.0","15.0","15.0"
"point_of_sale.AA101052","__export__.product_product_38874_8c08f849","Bajaj / 3W","AA101052","12.0","7980.0","7980.0"
"point_of_sale.JL233003","__export__.product_product_23560_5a2a4f2a","Bajaj / 2W","JL233003","0.0","4010.0","4010.0"
"point_of_sale.JL233004","__export__.product_product_23561_a48627cc","Bajaj / 2W","JL233004","4.0","4000.0","4000.0"
"point_of_sale.DT233079","__export__.product_product_17164_4391e8c4","Bajaj / 2W","DT233079","0.0","3910.0","3910.0"
"point_of_sale.DT233097","__export__.product_product_17165_1dbcc29b","Bajaj / 2W","DT233097","0.0","1810.0","1810.0"
"point_of_sale.PD233002","__export__.product_product_33109_b86b40d8","Bajaj / 2W","PD233002","0.0","3280.0","3280.0"
"point_of_sale.PD233003","__export__.product_product_33110_4fce3e67","Bajaj / 2W","PD233003","0.0","3160.0","3160.0"
"point_of_sale.JL233239","__export__.product_product_23566_23568472","Bajaj / 2W","JL233239","0.0","4460.0","4460.0"
"point_of_sale.06100708","__export__.product_product_10954_0edfdc11","Bajaj / 2W","06100708","0.0","565.0","565.0"
"point_of_sale.24100704","__export__.product_product_37799_ffa53156","Bajaj / 3W","24100704","0.0","2840.0","2840.0"
"point_of_sale.06101099","__export__.product_product_10957_c6e66305","Bajaj / 2W","06101099","0.0","545.0","545.0"
"point_of_sale.DZ73103Q","__export__.product_product_17814_2aed8a5b","Bajaj / 2W","DZ73103Q","0.0","2000.0","2000.0"
"point_of_sale.AA101053","__export__.product_product_38875_9d862c42","Bajaj / 3W","AA101053","5.0","6600.0","6600.0"
"point_of_sale.24100703","__export__.product_product_37798_4ffc50ed","Bajaj / 3W","24100703","14.0","4320.0","4320.0"
"point_of_sale.JZ233178","__export__.product_product_32116_80d60b6c","Bajaj / 2W","JZ233178","0.0","85.0","85.0"
"point_of_sale.JD233004","__export__.product_product_18827_4b25e84d","Bajaj / 2W","JD233004","0.0","315.0","315.0"
"point_of_sale.JD233006","__export__.product_product_18829_cbd503b6","Bajaj / 2W","JD233006","0.0","310.0","310.0"
"point_of_sale.JD233005","__export__.product_product_18828_6c77ba5b","Bajaj / 2W","JD233005","0.0","140.0","140.0"
