"ID","Product/ID","Product/Internal Reference","Counted Quantity"
"__export__.stock_inventory_line_297981_fd833b63","__export__.product_product_38367_771f9025","28101118","56.0"
"__export__.stock_inventory_line_297982_92880ea2","__export__.product_product_38440_8b28e8e0","36281008","26.0"
"__export__.stock_inventory_line_297983_1c14a80f","__export__.product_product_38666_4cd4757b","39103519","1130.0"
"__export__.stock_inventory_line_297984_9c253057","__export__.product_product_38972_d704bdb5","AA101446","100.0"
"__export__.stock_inventory_line_297985_274469a9","__export__.product_product_15020_1a12903d","DH111034","41.0"
"__export__.stock_inventory_line_297986_71da5d23","__export__.product_product_15037_3e232f8b","DH111117","8.0"
"__export__.stock_inventory_line_297987_f92b7585","__export__.product_product_15738_7a9503ee","DJ191008","10.0"
"__export__.stock_inventory_line_297988_30eb49dd","__export__.product_product_16271_40b761df","DK201078","5.0"
"__export__.stock_inventory_line_297989_d8178061","__export__.product_product_16397_4e1b26f7","DM191005","11.0"
"__export__.stock_inventory_line_297990_ca8ad4d6","__export__.product_product_16922_e31fcadb","DS201025","6.0"
"__export__.stock_inventory_line_297991_cee5ae03","__export__.product_product_18154_a62db45c","JA351609","21.0"
"__export__.stock_inventory_line_297992_7fb721a6","__export__.product_product_18155_bbdb1d09","JA351610","6.0"
"__export__.stock_inventory_line_297993_9704fd0a","__export__.product_product_18425_75a72d39","JB401400","7.0"
