External ID,Internal Reference,Sales Price,Cost
__export__.product_product_50817_2bfba0ae,36AA4151,20130.0,20130.0
__export__.product_product_50818_128deb33,CMU24191072,590.0,590.0
__export__.product_product_50820_e780714a,SVA0024,17.0,17.0
__export__.product_template_49776_2051bade,36AE0001,1640.0,1640.0
__export__.product_template_49777_5b8e0fc8,JE511012,2185.0,2185.0
__export__.product_template_49778_a1075597,SVA0054,155.0,155.0
__export__.product_template_49779_24582232,24171006,955.0,955.0
__export__.product_template_49803_18dcbc23,BGO20W50C,2750.0,2750.0
__export__.product_template_49804_fbfb3d2a,BGO10W30C,2670.0,2670.0
__export__.product_template_50076_3663fb14,DJ221002,605.0,605.0
__export__.product_template_50237_3271aa93,JF161009,2630.0,2630.0
__export__.product_template_50289_d36c19f5,CMU24191078,145.0,145.0
__export__.product_template_50290_1b9b9812,CMUAA191026,175.0,175.0
__export__.product_template_50291_32140443,CMUAA191064,985.0,985.0
__export__.product_template_50292_42a4d98e,CMUAA191069,795.0,795.0
__export__.product_template_50293_f67d1fec,CMUAA191077,950.0,950.0
__export__.product_template_50294_ae7769d6,CMUAA191085,1475.0,1475.0
__export__.product_template_50295_84cb0fbe,CMUBA191050,155.0,155.0
__export__.product_template_50296_c4b83302,CMUBA191051,1040.0,1040.0
__export__.product_template_50297_1be82d35,CMUBA191052,1040.0,1040.0
__export__.product_template_50298_026e7b7d,CMUDJ191015,930.0,930.0
__export__.product_template_50299_a2218484,CMUDS191001,960.0,960.0
__export__.product_template_50300_2205b26a,CMUDS191054,960.0,960.0
__export__.product_template_50301_a6dd37c3,CMUDU191006,920.0,920.0
__export__.product_template_50302_02e161d8,CMUJD161200,795.0,795.0
__export__.product_template_50303_6edc408d,CMUJD161201,940.0,940.0
__export__.product_template_50304_9dabdf5d,CMUJZ161203,1020.0,1020.0
__export__.product_template_50336_c359dd3f,JY511271,520.0,520.0
__export__.product_template_50337_208a8b8d,JY511274,3220.0,3220.0
__export__.product_template_50338_00af9a15,PD351248,7380.0,7380.0
__export__.product_template_50339_dbc3edb5,59040042,65.0,65.0
__export__.product_template_50351_eb3653ab,BF351067,26080.0,26080.0
__export__.product_template_50353_efa408bb,BF121117,940.0,940.0
__export__.product_template_50354_fd20ffb7,CMUAA191012,145.0,145.0
__export__.product_template_50357_ca0fa363,CMUDM191005,865.0,865.0
__export__.product_template_50363_998e1138,AA191140,1700.0,1700.0
__export__.product_template_50364_feafbc51,AA191139,1630.0,1630.0
__export__.product_template_50365_2a4ee1be,AM121213,2630.0,2630.0
__export__.product_template_50366_39de3868,AA191134,2020.0,2020.0
