ID,Product/Product/ID,Point of Sale Category,Internal Reference,Quantity On Hand,Sales Price,Cost,Updated Sales Price,Updated Cost,Status
32338,__export__.product_product_32335_1c2d723a,Bajaj / 2W,KADA0620,0.0,30.0,30.0,30.0,30.0,equal
31641,__export__.product_product_31638_1dddaf76,Bajaj / 2W,JY181279,0.0,25.0,25.0,25.0,25.0,equal
22720,__export__.product_product_22717_750c4576,Bajaj / 2W,JG351005,3.0,11870.0,11870.0,11870.0,11870.0,equal
38488,__export__.product_product_38485_197504bc,Bajaj / 3W,36AA4105,5.0,28700.0,28700.0,28700.0,28700.0,equal
17979,__export__.product_product_17976_03cccb66,Bajaj / 2W,GF121041,0.0,5500.0,5500.0,5500.0,5500.0,equal
13035,__export__.product_product_13032_1c29ecfc,Bajaj / 2W,52DJ0555,0.0,34410.0,34410.0,34410.0,34410.0,equal
12612,__export__.product_product_12609_b8fc5591,Bajaj / 2W,39097804,-4.0,90.0,90.0,,,
12739,__export__.product_product_12736_3bce4b22,Bajaj / 2W,39213421,-5.0,190.0,190.0,,,
12710,__export__.product_product_12707_09388676,Bajaj / 2W,39185821,0.0,115.0,115.0,,,
23421,__export__.product_product_23418_be9e170c,Bajaj / 2W,JL151038,0.0,20.0,20.0,,,
38753,__export__.product_product_38750_ded1ca64,Bajaj / 3W,39182321,-2.0,15.0,15.0,,,
12695,__export__.product_product_12692_7b03e556,Bajaj / 2W,39175421,0.0,100.0,100.0,,,
12692,__export__.product_product_12689_75ff0379,Bajaj / 2W,39173621,0.0,35.0,35.0,,,
15963,__export__.product_product_15960_63ee9e35,Bajaj / 2W,DK101340,48.0,130.0,130.0,,,
18152,__export__.product_product_18149_cbf5f29a,Bajaj / 2W,JA351602,0.0,60.0,60.0,,,
14093,__export__.product_product_14090_d3edea57,Bajaj / 2W,CB101181,0.0,65.0,65.0,,,
38293,__export__.product_product_38290_3fec51dc,Bajaj / 3W,24201327,0.0,4210.0,4210.0,,,
12594,__export__.product_product_12591_ddb50574,Bajaj / 2W,39075301,0.0,25.0,25.0,,,
38875,__export__.product_product_38872_fa88bd0b,Bajaj / 3W,AA101050,6.0,11980.0,11980.0,,,
10964,__export__.product_product_10961_88c82f91,Bajaj / 2W,06111085,0.0,1820.0,1820.0,,,
32168,__export__.product_product_32165_23348e0b,Bajaj / 2W,JZ401802,0.0,5730.0,5730.0,,,
37606,__export__.product_product_37603_f0775ecf,Bajaj / 3W,06100706,0.0,1570.0,1570.0,,,
37696,__export__.product_product_37693_48b380bc,Bajaj / 3W,22101121,0.0,4610.0,4610.0,,,
37657,__export__.product_product_37654_148d61eb,Bajaj / 3W,19101014,0.0,700.0,700.0,,,
38876,__export__.product_product_38873_64645c5b,Bajaj / 3W,AA101051,4.0,7860.0,7860.0,,,
37803,__export__.product_product_37800_e5dfe6d8,Bajaj / 3W,24100705,0.0,3260.0,3260.0,,,
10959,__export__.product_product_10956_eabc3142,Bajaj / 2W,06101098,0.0,1120.0,1120.0,,,
24228,__export__.product_product_24225_2e7f23a2,Bajaj / 2W,JW181407,0.0,15.0,15.0,,,
38877,__export__.product_product_38874_8c08f849,Bajaj / 3W,AA101052,12.0,7770.0,7770.0,,,
23563,__export__.product_product_23560_5a2a4f2a,Bajaj / 2W,JL233003,0.0,3900.0,3900.0,,,
23564,__export__.product_product_23561_a48627cc,Bajaj / 2W,JL233004,0.0,3890.0,3890.0,,,
17167,__export__.product_product_17164_4391e8c4,Bajaj / 2W,DT233079,0.0,3800.0,3800.0,,,
17168,__export__.product_product_17165_1dbcc29b,Bajaj / 2W,DT233097,0.0,1760.0,1760.0,,,
33112,__export__.product_product_33109_b86b40d8,Bajaj / 2W,PD233002,0.0,3190.0,3190.0,,,
33113,__export__.product_product_33110_4fce3e67,Bajaj / 2W,PD233003,0.0,3070.0,3070.0,,,
23569,__export__.product_product_23566_23568472,Bajaj / 2W,JL233239,0.0,4340.0,4340.0,,,
10957,__export__.product_product_10954_0edfdc11,Bajaj / 2W,06100708,0.0,565.0,565.0,,,
37802,__export__.product_product_37799_ffa53156,Bajaj / 3W,24100704,0.0,2760.0,2760.0,,,
10960,__export__.product_product_10957_c6e66305,Bajaj / 2W,06101099,0.0,545.0,545.0,,,
17817,__export__.product_product_17814_2aed8a5b,Bajaj / 2W,DZ73103Q,0.0,1940.0,1940.0,,,
38878,__export__.product_product_38875_9d862c42,Bajaj / 3W,AA101053,5.0,6420.0,6420.0,,,
37801,__export__.product_product_37798_4ffc50ed,Bajaj / 3W,24100703,14.0,4200.0,4200.0,,,
32119,__export__.product_product_32116_80d60b6c,Bajaj / 2W,JZ233178,0.0,85.0,85.0,,,
18830,__export__.product_product_18827_4b25e84d,Bajaj / 2W,JD233004,0.0,315.0,315.0,,,
18832,__export__.product_product_18829_cbd503b6,Bajaj / 2W,JD233006,0.0,310.0,310.0,,,
18831,__export__.product_product_18828_6c77ba5b,Bajaj / 2W,JD233005,0.0,140.0,140.0,,,
18833,__export__.product_product_18830_8fea2c98,Bajaj / 2W,JD233007,0.0,145.0,145.0,,,
18836,__export__.product_product_18833_7079079e,Bajaj / 2W,JD233016,0.0,150.0,150.0,,,
18837,__export__.product_product_18834_4229d0d2,Bajaj / 2W,JD233017,0.0,100.0,100.0,,,
37810,__export__.product_product_37807_069c9d3c,Bajaj / 3W,24101049,0.0,2520.0,2520.0,,,
50052,__export__.product_product_49982_c2e91846,Other / Oil,FORK-OIL(APLUS),-16.0,600.0,600.0,,,
13696,__export__.product_product_13693_20bc7fc6,Bajaj / 2W,52PD0380,0.0,35540.0,35540.0,,,
13693,__export__.product_product_13690_7ba8a5b0,Bajaj / 2W,52PD0313,0.0,36500.0,36500.0,,,
13686,__export__.product_product_13683_26ccbcb1,Bajaj / 2W,52PD0149,1.0,37880.0,37880.0,,,
13691,__export__.product_product_13688_bef337b7,Bajaj / 2W,52PD0156,0.0,9170.0,9170.0,,,
13687,__export__.product_product_13684_e26b4507,Bajaj / 2W,52PD0150,2.0,9190.0,9190.0,,,
13688,__export__.product_product_13685_eba2e295,Bajaj / 2W,52PD0151,0.0,10390.0,10390.0,,,
13692,__export__.product_product_13689_3bb8edbe,Bajaj / 2W,52PD0166,0.0,5450.0,5450.0,,,
50059,__export__.product_product_49989_8e6f6096,Other / Glue,790920124220,-79.0,1450.0,1450.0,,,
50060,__export__.product_product_49990_bd9e376f,Other / Glue,790920121274,-353.0,1450.0,1450.0,,,
50189,__export__.product_product_50119_dfa621bd,Third Party / Other / ARC,BRAKE-WASHER-FRONT(ARC),-8.0,150.0,150.0,,,
50190,__export__.product_product_50120_42db5b8f,Third Party / Other / ARC,BRAKE-WASHER-REAR(ARC),-84.0,150.0,150.0,,,
50255,__export__.product_product_50185_1396a2ae,Third Party / Other / ARC,RB0121(ARC),78.0,110.0,110.0,,,
24333,__export__.product_product_24330_a88a4b1b,Bajaj / 2W,JY131816,0.0,102000.0,102000.0,,,
23248,__export__.product_product_23245_80e850bc,Bajaj / 2W,JK351210,0.0,4810.0,4810.0,,,
47461,__export__.product_product_47458_1b84a011,Bajaj / 3W,BA191012,0.0,895.0,895.0,,,
38254,__export__.product_product_38251_5d74f327,Bajaj / 3W,24191064,0.0,550.0,550.0,,,
39365,__export__.product_product_39362_f1437a27,Bajaj / 3W,AA191013,5.0,1730.0,1730.0,,,
50371,__export__.product_product_50301_18c865f6,Bajaj / 3W,CMU24191059,5.0,680.0,680.0,,,
