Date,Part Number,Chnaged Quantity
2021/04/23,29201117,3
,JZ401039,1
,GF191006,2
,DH161317,1
,JK730322,1
,AA171004,1
,GF161058,1
,AL201051,2
,24151171,10
,31151060,5
,AA101593,5
,JB581005,15
,PA581029,10
,24171094,15
,36DZ0002,20
,36JN0007,10
,AA101162,30
,AA101328,20
,AA101446,20
,AA121006,50
,01100315,-7
,01100316,-4
,01100342K,-3
,01100404,-1
,01100610,-1
,01100615,-2
,01100714,-1
,01100719,-1
,01100818,-2
,03100335,-3
,03100338,-4
,05101018,-5
,05101071,-1
,05101072,-1
,06101009,-5
,06191089,-1
,13101024,-2
,19101018,-1
,22131014,-2
,22131018,-2
,22171007,-1
,24100308,-3
,24101050,-2
,24101056,-5
,24101545,-1
,24111128,-1
,24121066,-1
,24130105,-2
,24130209,-1
,24131032,-2
,24141071,-1
,24141149,-1
,24141184,-1
,24151058,-1
,24151059,-1
,24151060,-1
,24151097,-3
,24151171,-3
,24151275,-1
,24160913,-1
,24171014,-2
,24171024,-1
,24171094,-1
,24181043,-1
,24191092,-2
,24191182,-1
,24201488,-1
,28101110,-5
,28101118,-5
,30101096,-2
,30151105,-7
,30161158,-1
,31101020,-1
,31101033,-5
,31101067,-1
,31121029,-1
,31151021,-1
,31151060,-8
,35101059,-2
,36011001,-5
,36222256,-5
,36224004,-1
,36241010,-6
,36281008,-2
,36311006,-4
,36311028,-3
,36314001K,-4
,36AA1003,-3
,36AA1004,-6
,36AA4018,-1
,36AA4025,-1
,36AA4025K,-1
,36AA4033,-1
,36AA4042,-4
,36AA4058,-1
,36AA4102,-1
,36AA4118,-1
,36AB4001,-1
,36AB4015,-1
,36AN0010,-4
,36AN0013,-3
,36BA4002,-1
,36BA4009,-1
,36BA4039,-3
,36DD4002,-4
,36DD4006,-1
,36DD4008,-5
,36DH1003,-1
,36DH4007,-2
,36DH4030,-1
,36DH4041,-2
,36DH4117,-1
,36DJ4005,-2
,36DJ4104,-2
,36DS1002,-2
,36DS1004,-6
,36DS1201,-4
,36DU1001,-4
,36DU1205,-2
,36DU4085,-1
,36DZ0002,-3
,36JA0005,-1
,36JE0003,-1
,36JE0005,-1
,36JE0014,-2
,36JN0007,-1
,36JN0015,-1
,36JZ0001,-1
,36JZ0002,-1
,36JZ0102,-1
,36JZ0198,-1
,36JZ0199,-1
,39029615,-1
,39100006,-1
,39100820,-1
,39103309,-1
,39103519,-10
,39104619,-2
,39132420,-1
,39135519,-1
,39137704,-1
,39143520,-1
,39171519,-2
,39187019,-3
,39201719,-8
,39213319,-2
,39218919,-1
,39240320,-2
,39252820,-3
,39253105,-1
,52AA4035,-1
,52DJ0905,-1
,52DZ0047,-1
,AA101009,-1
,AA101013,-2
,AA101015,-2
,AA101033,-1
,AA101077,-2
,AA101134,-2
,AA101137,-2
,AA101162,-2
,AA101207,-1
,AA101210,-3
,AA101261,-1
,AA101328,-3
,AA101364,-3
,AA101392,-1
,AA101446,-2
,AA101446KA,-1
,AA101471,-1
,AA101472,-4
,AA101473,-1
,AA101491,-1
,AA101499,-4
,AA101564,-4
,AA101565,-4
,AA101569,-6
,AA101593,-1
,AA101598,-2
,AA101622,-2
,AA101628,-1
,AA101666,-1
,AA101750,-1
,AA101844,-1
,AA102094,-3
,AA111082,-2
,AA111085,-4
,AA111091,-3
,AA111093,-2
,AA111107,-1
,AA111122,-2
,AA111153,-1
,AA111156,-1
,AA121006,-3
,AA121150,-1
,AA121336,-2
,AA131024,-1
,AA191068,-1
,AA191073,-2
,AA191077,-2
,AA191084,-2
,AA191085,-2
,AA191091,-1
,AA191092,-3
,AA191093,-3
,AA191094,-3
,AA191102,-2
,AA191115,-1
,AA201041,-1
,AA201185,-2
,AA221005,-1
,AA221006,-1
,AA231255,-2
,AB101067,-5
,AB151074,-1
,AB171016,-1
,AB171044,-5
,AB181002,-1
,AB181012,-1
,AB181017,-1
,AE101014,-1
,AE101016K,-2
,AE101070,-1
,AE121001,-1
,AF191007,-1
,AL201017,-3
,AL201051,-1
,AL201066,-1
,AN101104,-1
,AN101123,-3
,AN101127,-1
,AN101135,-3
,AN101149,-3
,AN101166,-3
,AN101181,-1
,AN101186,-4
,AN101190,-1
,AN101257,-3
,AN101328,-1
,AN101338,-1
,AN101421,-2
,AN131023,-3
,AN131039,-1
,AP111023,-2
,AP161072,-1
,AP201026,-1
,AP201029,-1
,AZ351001,-1
,AZ351002,-1
,AZ351207,-1
,BA132141,-1
,BG113802,-1
,BG113803,-3
,BH184000,-2
,CB101114,-1
,CD101082,-2
,CL201023,-2
,CS101128,-2
