"ID","Product/ID","Product/Internal Reference","Counted Quantity"
"__export__.stock_inventory_line_167883_037d9412","__export__.product_product_37510_08cfdde3","01100315","0.0"
"__export__.stock_inventory_line_167884_016d7526","__export__.product_product_37511_5567fca3","01100316","0.0"
"__export__.stock_inventory_line_167885_1a5ea2cd","__export__.product_product_10909_cc31b6e2","01100323","0.0"
"__export__.stock_inventory_line_167886_e76b3a85","__export__.product_product_10910_a2528f0f","01100326","0.0"
"__export__.stock_inventory_line_167887_be255968","__export__.product_product_37512_7ede87c7","01100339","0.0"
"__export__.stock_inventory_line_167888_8248185a","__export__.product_product_37513_3bc4605d","01100341","0.0"
"__export__.stock_inventory_line_165114_f10785dc","__export__.product_product_37514_bf42a276","01100342","17.0"
"__export__.stock_inventory_line_165115_47ae7161","__export__.product_product_37515_dbde506e","01100342K","13.0"
"__export__.stock_inventory_line_165116_5a3be855","__export__.product_product_37516_1ee7a50f","01100355","4.0"
"__export__.stock_inventory_line_167889_6f8a8bb2","__export__.product_product_10911_abb71f89","01100404","0.0"
"__export__.stock_inventory_line_165117_c6f10ede","__export__.product_product_37517_c00b55cc","01100610","-1.0"
"__export__.stock_inventory_line_165118_5e18dc0d","__export__.product_product_37518_e01573f5","01100611","-1.0"
"__export__.stock_inventory_line_167890_6cbb2c02","__export__.product_product_37519_b78458d7","01100612","0.0"
"__export__.stock_inventory_line_167891_ed56c6fc","__export__.product_product_37520_07520804","01100613","0.0"
"__export__.stock_inventory_line_165119_f40ee755","__export__.product_product_37521_da54018d","01100614","5.0"
"__export__.stock_inventory_line_167892_77365986","__export__.product_product_10912_b249b814","01100615","0.0"
"__export__.stock_inventory_line_167893_b068cb4d","__export__.product_product_37522_9604796c","01100711","0.0"
"__export__.stock_inventory_line_167894_026f4248","__export__.product_product_37523_d0f92ba7","01100713","0.0"
"__export__.stock_inventory_line_167895_4884e70f","__export__.product_product_37524_bc6c9c4e","01100714","0.0"
"__export__.stock_inventory_line_167896_e14a3720","__export__.product_product_10913_34a4a90e","01100719","0.0"
"__export__.stock_inventory_line_165120_aa5491e0","__export__.product_product_37525_9e28d2e5","01100804","313.0"
"__export__.stock_inventory_line_167897_5a24a50a","__export__.product_product_37526_65c0212c","01100817","0.0"
"__export__.stock_inventory_line_167898_09d3569c","__export__.product_product_37527_83564085","01100818","0.0"
