"Internal Reference","Display Name"
"36AA4105","[36AA4105] ""CYL BLOCK PISTON ASSLY-LPG,PET 4S BSIV"""
"GF121041","[GF121041] ""FUEL PUMP, ELECTRIC"""
"52DJ0555","[52DJ0555] ""TANK FUEL MN BLACK + COCKTAIL WINE RED DECAL"
"39097804","[39097804] ''D'' BOLT [M10x1.25x36]"
"39213421","[39213421] ''O'' RING"
"JL151038","[JL151038] 'O' RING"
"39185821","[39185821] 'O' RING"
"39175421","[39175421] 'O' RING"
"39182321","[39182321] 'O' RING"
"39173621","[39173621] 'O' RING"
"DK101340","[DK101340] 'O' RING (OIL COOLER PIPE)"
"JA351602","[JA351602] 'O' RING (SPIGOT)"
"CB101181","[CB101181] 'O' RING TAPPET COVER"
"24201327","[24201327] .HARNESS WIRING(CHASSIS)RE2S INTG FUSEBOX"
"39075301","[39075301] 0.03SCREW 6 * 30"
"AA101050","[AA101050] 1 st SPEED GEAR"
"06111085","[06111085] 12 VOLT EIS UNIT"
"JZ401802","[JZ401802] 12V 7AH MF (DRY) BATTERY DISCOVER 150CC"
"06100706","[06100706] 1ST SPEED GEAR"
"22101121","[22101121] 1ST SPEED GEAR"
"19101014","[19101014] 1ST SPEED GEAR"
"AA101051","[AA101051] 2 nd SPEED GEAR"
"24100705","[24100705] 2ND SPEED GEAR"
"06101098","[06101098] 2ND SPEED GEAR"
"JW181407","[JW181407] 3 GROMMET FOR SAREE GUARD"
"AA101052","[AA101052] 3 rd SPEED GEAR"
"JL233003","[JL233003] 3D DECAL TANK LH"
"JL233004","[JL233004] 3D DECAL TANK RH"
"DT233079","[DT233079] 3D TANK DECAL (BLACK)"
"DT233097","[DT233097] 3D TANK DECAL (SILVER)"
"PD233002","[PD233002] 3D TANK DECAL LH"
"PD233003","[PD233003] 3D TANK DECAL RH"
"JL233239","[JL233239] 3D TANK DECAL SHADED (SILVER)"
"06100708","[06100708] 3RD GEAR"
"06101099","[06101099] 3RD SPEED GEAR"
"24100704","[24100704] 3RD SPEED GEAR"
"DZ73103Q","[DZ73103Q] 3SIDE COVER LH PAINTED(CAP BRIGHT SILVER)"
"24100703","[24100703] 4 TH SPEED GEAR"
"JZ233178","[JZ233178] 4 VALVE  DECAL D102 SIDE COVER"
"JD233004","[JD233004] 4 VALVE PULSAR BLACK DECAL LH"
"JD233006","[JD233006] 4 VALVE PULSAR BLACK DECAL RH"
"JD233005","[JD233005] 4 VALVE PULSAR RED DECAL LH"
"JD233007","[JD233007] 4 VALVE PULSAR RED DECAL RH"
"JD233016","[JD233016] 4 VALVE SPRINT -PULSAR BLACK DECAL LH NO"
"JD233017","[JD233017] 4 VALVE SPRINT -PULSAR BLACK DECAL RH NO"
"AA101053","[AA101053] 4 th SPEED GEAR"
"24101049","[24101049] 4th SPEED GEAR"
"52PD0380","[52PD0380] A102 - DARK BLUE FUEL TANK BS IV WITH 3D"
"52PD0313","[52PD0313] A102 - DARK BLUE FUEL TANK BS IV WITH DE"
"52PD0149","[52PD0149] A102 - DARK BLUE FUEL TANK WITH 3D DECAL"
"52PD0156","[52PD0156] A102 - EB BLACK REAR FENDER WITH DECAL"
"52PD0150","[52PD0150] A102 - FRONT RIM WITH DECAL"
"52PD0151","[52PD0151] A102 - REAR RIM WITH DECAL"
"52PD0166","[52PD0166] A102 FRONT FENDER SUB- ASSLY EBONY BLACK"
"JY131816","[JY131816] ABS UNIT 9.1 WET"
"JK351210","[JK351210] AC CDI STEP UP"
"BA191012","[BA191012] ACC. CABLE  COMPT."
"24191064","[24191064] ACC. CABLE COMP [5P]"
"AA191013","[AA191013] ACC. CABLE COMP. [4S RE]"
"28191030","[28191030] ACC.CABLE  COMPLETE"
"16191006","[16191006] ACC.CABLE ASSY *"
"FA191023","[FA191023] ACC.CABLE COMP"
"24191059","[24191059] ACC.CABLE COMPT. [FF]"
"24191066","[24191066] ACC.INNER CABLE (5P)"
"24191072","[24191072] ACCEL CONT.CABLE COMP"
"AA191065","[AA191065] ACCELERATOR CABLE"
"DZ191035","[DZ191035] ACCELERATOR CABLE"
"16151015","[16151015] ACTUATING SHAFT"
"JK402409","[JK402409] ADAPTER F G DIAL WITH M/S MINDA"
"24140110","[24140110] ADAPTER NUT"
"JD401803","[JD401803] ADAPTER WITH 530MM VENT TUBE"
"EC541004","[EC541004] ADAPTER- OIL FILTER"
"30171023","[30171023] ADJ CHAIN LH"
