Part Number,Quantity,Unit Price,Notes
DU191045,5,2480,
DU191033,3,3550,
DU191031,1,2870,
DH111072,5,6980,
DJ111098,2,6380,
DU111017,3,5700,
DU111001,12,3920,
JW351200,2,8660,
DJ111092,1,6820,
JA351200,4,6950,
PA351213,2,7560,
DK111073,1,6670,
JE351246,2,6300,
JB351201,1,5840,
DJ201165,1,11190,
DU101278,16,2140,
JD551000,3,2380,
DS101046,4,2720,
DH102285,2,1110,
JW531004,2,2100,
DS101291,1,2440,
DK101471,1,3490,
15101122,109,200,
CB101114,167,140,
13101165,68,150,
31101014,210,70,
39218919,5,210,
39218819,72,190,
AA101736,11,1310,
AA111132,2,1740,
AA111134,4,1890,
AN111017,5,1140,
36AA4032,26,4420,
AA101392,4,3230,
AA101864,4,4640,
AA101048,1,7900,
AA101666,27,3690,
BF531058,1,1870,
AN101338,10,4280,
AN101328,3,3850,
AA101056,8,3470,
AN101339,14,2810,
AA101555,7,3700,
AA101057,11,5440,
JN181004,10,450,
AA101046,1,3800,
AA111093,4,1580,
PD401014,3,1580,
AA111081,5,1510,
AA111080,2,1070,
24201415,3,1340,
AL201039,1,1100,
BH401004,2,190,
DH101188,22,2160,
JL511219,3,630,
JD511004,9,800,
AN101181,13,670,
JF511052,2,540,
DH111012,11,1020,
JB511018,2,690,
CL201023,66,530,
PF511061,3,680,
AZ351002,1,7060,
AN111013,13,5520,
AA111203,4,6470,
AA201239,9,1120,
36AA4028,6,1950,
AA181028,1,4540,
DH201077,1,1250,
24181153,3,5140,
AA181019,2,4760,
AA181015,1,4200,
24101050,23,2270,
AA201185,5,1380,
AA111122,10,6290,
AA201048,6,620,
AF111016,1,6470,
AA111178,2,6000,
AA111091,11,3910,
24111128,2,1760,
AA111156,25,5800,
3100802,4,620,
35101178,10,3230,
35101170,11,840,
24171118,1,4410,
AA131033,2,2730,
24101055,6,6900,
AN101198,11,2000,
AN101379,4,4010,
AE131011,3,6520,
AA131002,4,9290,
AN101336,6,7550,
JG591100,35,80,
AA102193,16,190,
AN101155,14,710,
LAD00164,22,370,
39218106,84,70,
AA102110,21,110,
39252820,81,330,
AA102114,4,140,
DK101277,15,100,
DS161069,13,30,
DS101036,656,1350,
DH101050,162,1100,
JL511222,4,2860,
DH161158,243,40,
AA101015,15,130,
AA101116,150,630,
AA101134,81,540,
AA101569,134,960,
31101033,485,1130,
36DS1801,9,710,
DS191037,1,320,
PF561200,2,1560,
DK101733,4,1920,
JH561402,4,1240,
DD121181,579,250,
DS101077,6,2180,
DU101103,8,1770,
DS121003,1,210,
DT131826,1,5980,
JF131806,1,11750,
DK151012,4,180,
DK181019,54,600,
DK181021,13,310,
DG181021,5,510,
PF121073,7,540,
DU181108,1,450,
DG181023,26,690,
DD181011,5,280,
FA171008,2,330,
AN101135,45,270,
AN101149,23,840,
AP201026,5,390,
36AA4021,11,1270,
36AA4020,29,1430,
PA161202,4,810,
PA161203,2,800,
PD161204,1,700,
DU191006,11,890,
DS191001,20,760,
DU191047,16,920,
DM191005,16,1100,
DJ191061,47,770,
JD161200,5,890,
DJ191008,16,620,
DV191004,3,690,
JF161202,1,930,
JF161206,3,1160,
DT161204,4,860,
JC191019,1,810,
DD191132,8,910,
JB161200,9,540,
JB161203,4,260,
PF161201,1,840,
31191027,3,710,
PF161211,3,640,
PF161218,1,790,
JZ161221,1,920,
AA101706,13,330,
DH111034,16,850,
JA351610,18,230,
JA351609,32,260,
JA351608,12,120,
36DH4041,35,2140,
JA531011,79,1630,
AA101565,55,580,
JZ161203,19,1230,
JZ161208,5,1350,
JZ161200,14,1130,
JC191004,1,1100,
FD191002,4,620,
JK161200,1,670,
PF161212,5,1150,
PF161219,1,820,
DD201024,23,350,
PD402002,14,270,
DJ191081,5,880,
DJ191027,1,310,
FD181030,22,150,
PF161010,4,490,
DJ191054,1,1100,
DS181019,2,230,
