External ID,Product/External ID,Product/Internal Reference,Counted Quantity
__export__.stock_inventory_line_65929_1a9d16ef,__export__.product_product_37510_08cfdde3,01100315,0.0
__export__.stock_inventory_line_65930_4a211c67,__export__.product_product_37511_5567fca3,01100316,0.0
__export__.stock_inventory_line_65931_6e037596,__export__.product_product_10909_cc31b6e2,01100323,0.0
__export__.stock_inventory_line_65932_b7f0ccf7,__export__.product_product_10910_a2528f0f,01100326,0.0
__export__.stock_inventory_line_65933_d25f6720,__export__.product_product_37512_7ede87c7,01100339,0.0
__export__.stock_inventory_line_65934_f61bffb6,__export__.product_product_37513_3bc4605d,01100341,0.0
__export__.stock_inventory_line_65935_aad07989,__export__.product_product_37514_bf42a276,01100342,17
__export__.stock_inventory_line_65936_23808d8f,__export__.product_product_37515_dbde506e,01100342K,26
__export__.stock_inventory_line_65937_f436b443,__export__.product_product_37516_1ee7a50f,01100355,9
__export__.stock_inventory_line_65938_ef11f8bc,__export__.product_product_10911_abb71f89,01100404,0.0
__export__.stock_inventory_line_65939_fcd128bf,__export__.product_product_37517_c00b55cc,01100610,0.0
__export__.stock_inventory_line_65940_7590c3b3,__export__.product_product_37518_e01573f5,01100611,0.0
__export__.stock_inventory_line_65941_ba02d1d9,__export__.product_product_37519_b78458d7,01100612,0.0
__export__.stock_inventory_line_65942_4a06528e,__export__.product_product_37520_07520804,01100613,0.0
__export__.stock_inventory_line_65943_e802c8f6,__export__.product_product_37521_da54018d,01100614,5
__export__.stock_inventory_line_65944_7c1100f9,__export__.product_product_10912_b249b814,01100615,0.0
__export__.stock_inventory_line_65945_fb384f79,__export__.product_product_37522_9604796c,01100711,0.0
__export__.stock_inventory_line_65946_6e514473,__export__.product_product_37523_d0f92ba7,01100713,0.0
__export__.stock_inventory_line_65947_ddda70ef,__export__.product_product_37524_bc6c9c4e,01100714,0.0
__export__.stock_inventory_line_65948_2f135cbe,__export__.product_product_10913_34a4a90e,01100719,0.0
__export__.stock_inventory_line_65949_6dd3d06d,__export__.product_product_37525_9e28d2e5,01100804,313
__export__.stock_inventory_line_65950_02e59b4b,__export__.product_product_37526_65c0212c,01100817,0.0
__export__.stock_inventory_line_65951_c623827a,__export__.product_product_37527_83564085,01100818,0.0
__export__.stock_inventory_line_65952_4413730c,__export__.product_product_37528_50a8682a,01100821,0.0
__export__.stock_inventory_line_65953_3b30bd54,__export__.product_product_37529_6d6c63d9,01100823,4
__export__.stock_inventory_line_65954_86e09d2a,__export__.product_product_37530_61264ee9,01100828,0.0
__export__.stock_inventory_line_65955_41b64912,__export__.product_product_10914_10b71c82,01100904,0.0
__export__.stock_inventory_line_65956_6c867b8b,__export__.product_product_37531_5f176f99,01100905,0.0
__export__.stock_inventory_line_65957_55f9f5bc,__export__.product_product_10915_ac58c062,01100909,0.0
__export__.stock_inventory_line_65958_933f41ad,__export__.product_product_37532_03dbb6ec,01101004,0.0
__export__.stock_inventory_line_65959_9e13e182,__export__.product_product_10916_bad8bfb4,01101008,0.0
__export__.stock_inventory_line_65960_53fa66a0,__export__.product_product_37533_d9bbc5e6,01101009,7
__export__.stock_inventory_line_65961_25328dd0,__export__.product_product_37534_08750808,01101009K,0.0
__export__.stock_inventory_line_65962_591da3b6,__export__.product_product_37535_6b08a236,01101131,0.0
__export__.stock_inventory_line_65963_8c693244,__export__.product_product_37536_4fa8cfc3,01101205,0.0
__export__.stock_inventory_line_65964_f6a790ba,__export__.product_product_37537_281d43f9,01101206,0.0
__export__.stock_inventory_line_65965_115ba6ee,__export__.product_product_37538_6fc1833f,01101306,0.0
__export__.stock_inventory_line_65966_bee14388,__export__.product_product_10917_de2b35c9,01110609,0.0
__export__.stock_inventory_line_65967_f70aadf0,__export__.product_product_37539_941f1d04,01120209,0.0
__export__.stock_inventory_line_65968_0ae29fcf,__export__.product_product_10918_b1837ea9,01120218,0.0
__export__.stock_inventory_line_65969_a4c50199,__export__.product_product_10919_7bae665c,01120222,0.0
__export__.stock_inventory_line_65970_7a28c623,__export__.product_product_37540_5bec7fa5,01140116,0.0
__export__.stock_inventory_line_65971_f98e4994,__export__.product_product_37541_5ad784cd,01140117,0.0
__export__.stock_inventory_line_65972_4c819486,__export__.product_product_37542_b4243c96,01140213,0.0
__export__.stock_inventory_line_65973_3e78abaa,__export__.product_product_37543_9d0db655,01140220,0.0
__export__.stock_inventory_line_65974_be5e8a33,__export__.product_product_37544_0d76baf7,01140228,0.0
__export__.stock_inventory_line_65975_ab9f0774,__export__.product_product_37545_2edf36d2,01150112,0.0
__export__.stock_inventory_line_65976_5ff59506,__export__.product_product_37546_a84f4327,01150209,0.0
__export__.stock_inventory_line_65977_20b02cf2,__export__.product_product_37547_4de8a4b2,01160126,0.0
__export__.stock_inventory_line_65978_b9c6f044,__export__.product_product_10920_e9b8bc1a,01160508,0.0
__export__.stock_inventory_line_65979_5b93834a,__export__.product_product_37548_8c79cfc2,01160509,0.0
__export__.stock_inventory_line_65980_6dafa9f7,__export__.product_product_37549_b823618f,01160717,0.0
__export__.stock_inventory_line_65981_67aff8d9,__export__.product_product_10921_103ae3af,01170110,0.0
__export__.stock_inventory_line_65982_2578347d,__export__.product_product_10922_2c0929c7,01170111,0.0
__export__.stock_inventory_line_65983_eb38bff8,__export__.product_product_37550_39dfef19,01170119,0.0
__export__.stock_inventory_line_65984_a70ae146,__export__.product_product_37551_d375169e,01170122,0.0
__export__.stock_inventory_line_65985_3c381ee9,__export__.product_product_37552_5d649807,01170130,0.0
__export__.stock_inventory_line_65986_187f91d7,__export__.product_product_37553_a6bb2829,01170254,0.0
__export__.stock_inventory_line_65987_34079e20,__export__.product_product_37554_ddb84334,01180123,110
__export__.stock_inventory_line_65988_2fbbad56,__export__.product_product_37555_b6fa05ac,01180128,0.0
__export__.stock_inventory_line_65989_b4bdec7a,__export__.product_product_37556_5410725c,01180129,0.0
__export__.stock_inventory_line_65990_233ca3ad,__export__.product_product_37557_4ecdef5b,01180130,0.0
__export__.stock_inventory_line_65991_d0e29b22,__export__.product_product_37558_a2fa6777,01190108,0.0
__export__.stock_inventory_line_65992_e93e485e,__export__.product_product_37559_57302425,01190205,0.0
__export__.stock_inventory_line_65993_5d9cf560,__export__.product_product_37560_80a9abe4,01200213,0.0
__export__.stock_inventory_line_65994_902db8e5,__export__.product_product_10923_cf90b581,02120304,0.0
__export__.stock_inventory_line_65995_a545faae,__export__.product_product_10924_62e756b1,02140121,0.0
__export__.stock_inventory_line_65996_d7ef7cba,__export__.product_product_10925_e2de3935,02190249,0.0
