"Display Name"                   ,"External ID"
"Bajaj"                          ,"__export__.pos_category_13_84657ef6"
"Bajaj / 2W"                     ,"pos_category.2w"
"Bajaj / 3W"                     ,"pos_category.3w"
"Bajaj / QUTE"                   ,"pos_category.qute"
"Third Party"                    ,"__export__.pos_category_9_9b467734"
"Third Party / Yellow Label"     ,"__export__.pos_category_11_9f8532a8"
"Third Party / SA"               ,"__export__.pos_category_10_919622a7"
"Third Party / NACHi"            ,"__export__.pos_category_12_af2fc6fb"
"Third Party / Other"            ,"__export__.pos_category_45_22a3df8b"
"Third Party / Other / ARC"      ,"__export__.pos_category_26_855c0515"
"Third Party / Other / Bosch"    ,"__export__.pos_category_51_65a85142"
"Third Party / Other / Change"   ,"__export__.pos_category_27_1917df59"
"Third Party / Other / Camoflex" ,"__export__.pos_category_55_045b5b1d"
"Third Party / Other / Clamp"    ,"__export__.pos_category_28_56fc48c5"
"Third Party / Other / Endurance","__export__.pos_category_29_fc3f045c"
"Third Party / Other / FBJ"      ,"__export__.pos_category_30_8cb46ee7"
"Third Party / Other / Flash"    ,"__export__.pos_category_31_d477f1fa"
"Third Party / Other / Hazar"    ,"__export__.pos_category_33_b0b23943"
"Third Party / Other / HCH"      ,"__export__.pos_category_32_09db32c8"
"Third Party / Other / Hi Tech"  ,"__export__.pos_category_34_6b3dc283"
"Third Party / Other / Jogindra" ,"__export__.pos_category_53_78f2686a"
"Third Party / Other / KSM"      ,"__export__.pos_category_35_a96dc2cd"
"Third Party / Other / Lex"      ,"__export__.pos_category_36_136489a1"
"Third Party / Other / Lumax"    ,"__export__.pos_category_37_096d8dde"
"Third Party / Other / Macro"    ,"__export__.pos_category_47_d4167d94"
"Third Party / Other / MB"       ,"__export__.pos_category_38_1c191b29"
"Third Party / Other / Milex"    ,"__export__.pos_category_39_c02b4ea9"
"Third Party / Other / Minda"    ,"__export__.pos_category_40_66ec4ae1"
"Third Party / Other / Natco"    ,"__export__.pos_category_48_c8f05c7e"
"Third Party / Other / Optus"    ,"__export__.pos_category_49_7e538b61"
"Third Party / Other / PAL"      ,"__export__.pos_category_41_61f72b16"
"Third Party / Other / Power"    ,"__export__.pos_category_50_84670bb7"
"Third Party / Other / Phoenix"  ,"__export__.pos_category_54_ce8d37ad"
"Third Party / Other / SD"       ,"__export__.pos_category_42_b1926f89"
"Third Party / Other / Sun"      ,"__export__.pos_category_58_005b1ae5"
"Third Party / Other / Spaco"    ,"__export__.pos_category_43_7eabc103"
"Third Party / Other / Varroc"   ,"__export__.pos_category_44_c23c70f4"
"Third Party / Other / Vira"     ,"__export__.pos_category_57_85ec448f"
"Third Party / Other / Star"     ,"__export__.pos_category_56_1271bbe5"
"Other / Battery"                ,"__export__.pos_category_15_b75fa8bb"
"Other / Oil"                    ,"__export__.pos_category_16_0ec41a93"
"Other / Grease"                 ,"__export__.pos_category_17_d6bfa622"
"Other / Glue"                   ,"__export__.pos_category_18_e53a336f"
"Other / Bulb"                   ,"__export__.pos_category_19_857f611d"
"Other"                          ,"__export__.pos_category_14_beca01bf"
