Barcode Nomenclature,Rules/Rule Name,Rules/Type,Rules/Alias,Rules/Barcode Pattern,Rules/Sequence
DPMC Nomenclature-2021-10-08,KADA0620,Alias,KADA0620,KADA0620-{N},1
,JY181279,Alias,JY181279,JY181279-{N},1
,JG351005,Alias,JG351005,JG351005-{N},1
,36AA4105,Alias,36AA4105,36AA4105-{N},1
,GF121041,Alias,GF121041,GF121041-{N},1
,52DJ0555,Alias,52DJ0555,52DJ0555-{N},1
,39097804,Alias,39097804,39097804-{N},1
,39213421,Alias,39213421,39213421-{N},1
,39175421,Alias,39175421,39175421-{N},1
,JL151038,Alias,JL151038,JL151038-{N},1
,39185821,Alias,39185821,39185821-{N},1
,39173621,Alias,39173621,39173621-{N},1
,39182321,Alias,39182321,39182321-{N},1
,DK101340,Alias,DK101340,DK101340-{N},1
,JA351602,Alias,JA351602,JA351602-{N},1
,CB101181,Alias,CB101181,CB101181-{N},1
,24201327,Alias,24201327,24201327-{N},1
,39075301,Alias,39075301,39075301-{N},1
,AA101050,Alias,AA101050,AA101050-{N},1
,06111085,Alias,06111085,06111085-{N},1
,JZ401802,Alias,JZ401802,JZ401802-{N},1
,06100706,Alias,06100706,06100706-{N},1
,22101121,Alias,22101121,22101121-{N},1
,19101014,Alias,19101014,19101014-{N},1
,AA101051,Alias,AA101051,AA101051-{N},1
,24100705,Alias,24100705,24100705-{N},1
,06101098,Alias,06101098,06101098-{N},1
,JW181407,Alias,JW181407,JW181407-{N},1
,AA101052,Alias,AA101052,AA101052-{N},1
,JL233003,Alias,JL233003,JL233003-{N},1
,JL233004,Alias,JL233004,JL233004-{N},1
,DT233079,Alias,DT233079,DT233079-{N},1
,DT233097,Alias,DT233097,DT233097-{N},1
,PD233002,Alias,PD233002,PD233002-{N},1
,PD233003,Alias,PD233003,PD233003-{N},1
,JL233239,Alias,JL233239,JL233239-{N},1
,06100708,Alias,06100708,06100708-{N},1
,06101099,Alias,06101099,06101099-{N},1
,24100704,Alias,24100704,24100704-{N},1
,DZ73103Q,Alias,DZ73103Q,DZ73103Q-{N},1
,AA101053,Alias,AA101053,AA101053-{N},1
,24100703,Alias,24100703,24100703-{N},1
,JZ233178,Alias,JZ233178,JZ233178-{N},1
,JD233004,Alias,JD233004,JD233004-{N},1
,JD233006,Alias,JD233006,JD233006-{N},1
,JD233005,Alias,JD233005,JD233005-{N},1
,JD233007,Alias,JD233007,JD233007-{N},1
,JD233016,Alias,JD233016,JD233016-{N},1
,JD233017,Alias,JD233017,JD233017-{N},1
,24101049,Alias,24101049,24101049-{N},1
,52PD0380,Alias,52PD0380,52PD0380-{N},1
,52PD0313,Alias,52PD0313,52PD0313-{N},1
,52PD0149,Alias,52PD0149,52PD0149-{N},1
,52PD0156,Alias,52PD0156,52PD0156-{N},1
,52PD0150,Alias,52PD0150,52PD0150-{N},1
,52PD0151,Alias,52PD0151,52PD0151-{N},1
,52PD0166,Alias,52PD0166,52PD0166-{N},1
,JY131816,Alias,JY131816,JY131816-{N},1
,JK351210,Alias,JK351210,JK351210-{N},1
,BA191012,Alias,BA191012,BA191012-{N},1
,24191064,Alias,24191064,24191064-{N},1
,AA191013,Alias,AA191013,AA191013-{N},1
,28191030,Alias,28191030,28191030-{N},1
,16191006,Alias,16191006,16191006-{N},1
,FA191023,Alias,FA191023,FA191023-{N},1
,24191059,Alias,24191059,24191059-{N},1
,24191066,Alias,24191066,24191066-{N},1
,24191072,Alias,24191072,24191072-{N},1
,DZ191035,Alias,DZ191035,DZ191035-{N},1
,AA191065,Alias,AA191065,AA191065-{N},1
,16151015,Alias,16151015,16151015-{N},1
,JK402409,Alias,JK402409,JK402409-{N},1
,24140110,Alias,24140110,24140110-{N},1
,JD401803,Alias,JD401803,JD401803-{N},1
,EC541004,Alias,EC541004,EC541004-{N},1
,30171023,Alias,30171023,30171023-{N},1
,30171024,Alias,30171024,30171024-{N},1
,JK122003,Alias,JK122003,JK122003-{N},1
,JK122005,Alias,JK122005,JK122005-{N},1
,DJ151036,Alias,DJ151036,DJ151036-{N},1
,DJ151037,Alias,DJ151037,DJ151037-{N},1
,05151012,Alias,05151012,05151012-{N},1
,24121369,Alias,24121369,24121369-{N},1
,DS121113,Alias,DS121113,DS121113-{N},1
,CS101118,Alias,CS101118,CS101118-{N},1
,FD151025,Alias,FD151025,FD151025-{N},1
,FA101311,Alias,FA101311,FA101311-{N},1
,JK122002,Alias,JK122002,JK122002-{N},1
,JK122004,Alias,JK122004,JK122004-{N},1
,JA581291,Alias,JA581291,JA581291-{N},1
,JM171003,Alias,JM171003,JM171003-{N},1
,JZ122008,Alias,JZ122008,JZ122008-{N},1
,DJ171044,Alias,DJ171044,DJ171044-{N},1
,JL122001,Alias,JL122001,JL122001-{N},1
,JZ122043,Alias,JZ122043,JZ122043-{N},1
,JZ122044,Alias,JZ122044,JZ122044-{N},1
,JL122009,Alias,JL122009,JL122009-{N},1
,PF122016,Alias,PF122016,PF122016-{N},1
,DX151014,Alias,DX151014,DX151014-{N},1
,DP121060,Alias,DP121060,DP121060-{N},1
