"Internal Reference","Name","Description","Barcode","Product Category/ID","Point of Sale Category/ID","Product Type","Cost","Sales Price","Available in POS","Can be Purchased","Can be Sold"
"KADA0620"," Hh Collar Screw M6X20 Sw10 "," Hh Collar Screw M6X20 Sw10 ","KADA0620","point_of_sale.00389","pos_category.2w","Storable Product","20.0","20.0","True","True","True"
"JY181279"," Screw Self Tapping "," Screw Self Tapping ","JY181279","point_of_sale.00389","pos_category.2w","Storable Product","20.0","20.0","True","True","True"
"JG351005"," Stator Cpl.  "," Stator Cpl.  ","JG351005","point_of_sale.00375","pos_category.2w","Storable Product","6270.0","6270.0","True","True","True"
"36AA4105","""Cyl Block Piston Assly-Lpg,Pet 4S Bsiv""","""Cyl Block Piston Assly-Lpg,Pet 4S Bsiv""","36AA4105","point_of_sale.00109","pos_category.3w","Storable Product","12570.0","12570.0","True","True","True"
"GF121041","""Fuel Pump, Electric""","""Fuel Pump, Electric""","GF121041","point_of_sale.00162","pos_category.2w","Storable Product","5500.0","5500.0","True","True","True"
"52DJ0555","""Tank Fuel Mn Black + Cocktail Wine Red Decal","""Tank Fuel Mn Black + Cocktail Wine Red Decal","52DJ0555","point_of_sale.00375","pos_category.2w","Storable Product","34410.0","34410.0","True","True","True"
"39097804","''D'' Bolt [M10X1.25X36]","''D'' Bolt [M10X1.25X36]","39097804","point_of_sale.00034","pos_category.2w","Storable Product","90.0","90.0","True","True","True"
"39213421","''O'' Ring","''O'' Ring","39213421","point_of_sale.00252","pos_category.2w","Storable Product","90.0","90.0","True","True","True"
"39185821","'O' Ring","'O' Ring","39185821","point_of_sale.00252","pos_category.2w","Storable Product","115.0","115.0","True","True","True"
"39182321","'O' Ring","'O' Ring","39182321","point_of_sale.00252","pos_category.3w","Storable Product","15.0","15.0","True","True","True"
"39173621","'O' Ring","'O' Ring","39173621","point_of_sale.00252","pos_category.2w","Storable Product","35.0","35.0","True","True","True"
"39175421","'O' Ring","'O' Ring","39175421","point_of_sale.00252","pos_category.2w","Storable Product","100.0","100.0","True","True","True"
"JL151038","'O' Ring","'O' Ring","JL151038","point_of_sale.00252","pos_category.2w","Storable Product","15.0","15.0","True","True","True"
"DK101340","'O' Ring (Oil Cooler Pipe)","'O' Ring (Oil Cooler Pipe)","DK101340","point_of_sale.00252","pos_category.2w","Storable Product","50.0","50.0","True","True","True"
"JA351602","'O' Ring (Spigot)","'O' Ring (Spigot)","JA351602","point_of_sale.00252","pos_category.2w","Storable Product","60.0","60.0","True","True","True"
"CB101181","'O' Ring Tappet Cover","'O' Ring Tappet Cover","CB101181","point_of_sale.00252","pos_category.2w","Storable Product","65.0","65.0","True","True","True"
"24201327",".Harness Wiring(Chassis)Re2S Intg Fusebox",".Harness Wiring(Chassis)Re2S Intg Fusebox","24201327","point_of_sale.00415","pos_category.3w","Storable Product","4040.0","4040.0","True","True","True"
"39075301","0.03Screw 6 * 30","0.03Screw 6 * 30","39075301","point_of_sale.00315","pos_category.2w","Storable Product","25.0","25.0","True","True","True"
"AA101050","1 St Speed Gear","1 St Speed Gear","AA101050","point_of_sale.00169","pos_category.3w","Storable Product","5470.0","5470.0","True","True","True"
"06111085","12 Volt Eis Unit","12 Volt Eis Unit","06111085","point_of_sale.00127","pos_category.2w","Storable Product","1820.0","1820.0","True","True","True"
"JZ401802","12V 7Ah Mf (Dry) Battery Discover 150Cc","12V 7Ah Mf (Dry) Battery Discover 150Cc","JZ401802","point_of_sale.00026","pos_category.2w","Storable Product","5730.0","5730.0","True","True","True"
"06100706","1St Speed Gear","1St Speed Gear","06100706","point_of_sale.00169","pos_category.3w","Storable Product","1570.0","1570.0","True","True","True"
"19101014","1St Speed Gear","1St Speed Gear","19101014","point_of_sale.00169","pos_category.3w","Storable Product","1380.0","1380.0","True","True","True"
"22101121","1St Speed Gear","1St Speed Gear","22101121","point_of_sale.00169","pos_category.3w","Storable Product","4610.0","4610.0","True","True","True"
"AA101051","2 Nd Speed Gear","2 Nd Speed Gear","AA101051","point_of_sale.00169","pos_category.3w","Storable Product","3340.0","3340.0","True","True","True"
"24100705","2Nd Speed Gear","2Nd Speed Gear","24100705","point_of_sale.00169","pos_category.3w","Storable Product","3260.0","3260.0","True","True","True"
"06101098","2Nd Speed Gear","2Nd Speed Gear","06101098","point_of_sale.00169","pos_category.2w","Storable Product","1120.0","1120.0","True","True","True"
"JW181407","3 Grommet For Saree Guard","3 Grommet For Saree Guard","JW181407","point_of_sale.00177","pos_category.2w","Storable Product","15.0","15.0","True","True","True"
"AA101052","3 Rd Speed Gear","3 Rd Speed Gear","AA101052","point_of_sale.00169","pos_category.3w","Storable Product","3380.0","3380.0","True","True","True"
"JL233003","3D Decal Tank Lh","3D Decal Tank Lh","JL233003","point_of_sale.00113","pos_category.2w","Storable Product","1660.0","1660.0","True","True","True"
"JL233004","3D Decal Tank Rh","3D Decal Tank Rh","JL233004","point_of_sale.00113","pos_category.2w","Storable Product","1570.0","1570.0","True","True","True"
"DT233079","3D Tank Decal (Black)","3D Tank Decal (Black)","DT233079","point_of_sale.00113","pos_category.2w","Storable Product","1610.0","1610.0","True","True","True"
"DT233097","3D Tank Decal (Silver)","3D Tank Decal (Silver)","DT233097","point_of_sale.00113","pos_category.2w","Storable Product","1690.0","1690.0","True","True","True"
"PD233002","3D Tank Decal Lh","3D Tank Decal Lh","PD233002","point_of_sale.00113","pos_category.2w","Storable Product","3070.0","3070.0","True","True","True"
"PD233003","3D Tank Decal Rh","3D Tank Decal Rh","PD233003","point_of_sale.00113","pos_category.2w","Storable Product","3070.0","3070.0","True","True","True"
"JL233239","3D Tank Decal Shaded (Silver)","3D Tank Decal Shaded (Silver)","JL233239","point_of_sale.00113","pos_category.2w","Storable Product","1880.0","1880.0","True","True","True"
"06100708","3Rd Gear","3Rd Gear","06100708","point_of_sale.00169","pos_category.2w","Storable Product","565.0","565.0","True","True","True"
"24100704","3Rd Speed Gear","3Rd Speed Gear","24100704","point_of_sale.00169","pos_category.3w","Storable Product","2760.0","2760.0","True","True","True"
"06101099","3Rd Speed Gear","3Rd Speed Gear","06101099","point_of_sale.00169","pos_category.2w","Storable Product","545.0","545.0","True","True","True"
"DZ73103Q","3Side Cover Lh Painted(Cap Bright Silver)","3Side Cover Lh Painted(Cap Bright Silver)","DZ73103Q","point_of_sale.00331","pos_category.2w","Storable Product","1940.0","1940.0","True","True","True"
"AA101053","4 Th Speed Gear","4 Th Speed Gear","AA101053","point_of_sale.00169","pos_category.3w","Storable Product","3100.0","3100.0","True","True","True"
"24100703","4 Th Speed Gear","4 Th Speed Gear","24100703","point_of_sale.00169","pos_category.3w","Storable Product","2010.0","2010.0","True","True","True"
"JZ233178","4 Valve  Decal D102 Side Cover","4 Valve  Decal D102 Side Cover","JZ233178","point_of_sale.00113","pos_category.2w","Storable Product","85.0","85.0","True","True","True"
"JD233004","4 Valve Pulsar Black Decal Lh","4 Valve Pulsar Black Decal Lh","JD233004","point_of_sale.00113","pos_category.2w","Storable Product","315.0","315.0","True","True","True"
"JD233006","4 Valve Pulsar Black Decal Rh","4 Valve Pulsar Black Decal Rh","JD233006","point_of_sale.00113","pos_category.2w","Storable Product","310.0","310.0","True","True","True"
"JD233005","4 Valve Pulsar Red Decal Lh","4 Valve Pulsar Red Decal Lh","JD233005","point_of_sale.00113","pos_category.2w","Storable Product","140.0","140.0","True","True","True"
"JD233007","4 Valve Pulsar Red Decal Rh","4 Valve Pulsar Red Decal Rh","JD233007","point_of_sale.00113","pos_category.2w","Storable Product","145.0","145.0","True","True","True"
"JD233016","4 Valve Sprint -Pulsar Black Decal Lh No","4 Valve Sprint -Pulsar Black Decal Lh No","JD233016","point_of_sale.00113","pos_category.2w","Storable Product","150.0","150.0","True","True","True"
"JD233017","4 Valve Sprint -Pulsar Black Decal Rh No","4 Valve Sprint -Pulsar Black Decal Rh No","JD233017","point_of_sale.00113","pos_category.2w","Storable Product","210.0","210.0","True","True","True"
"24101049","4Th Speed Gear","4Th Speed Gear","24101049","point_of_sale.00169","pos_category.3w","Storable Product","2520.0","2520.0","True","True","True"
"52PD0380","A102 - Dark Blue Fuel Tank Bs Iv With 3D","A102 - Dark Blue Fuel Tank Bs Iv With 3D","52PD0380","point_of_sale.00375","pos_category.2w","Storable Product","35540.0","35540.0","True","True","True"
"52PD0313","A102 - Dark Blue Fuel Tank Bs Iv With De","A102 - Dark Blue Fuel Tank Bs Iv With De","52PD0313","point_of_sale.00375","pos_category.2w","Storable Product","36500.0","36500.0","True","True","True"
"52PD0149","A102 - Dark Blue Fuel Tank With 3D Decal","A102 - Dark Blue Fuel Tank With 3D Decal","52PD0149","point_of_sale.00034","pos_category.2w","Storable Product","37880.0","37880.0","True","True","True"
"52PD0156","A102 - Eb Black Rear Fender With Decal","A102 - Eb Black Rear Fender With Decal","52PD0156","point_of_sale.00059","pos_category.2w","Storable Product","8840.0","8840.0","True","True","True"
"52PD0150","A102 - Front Rim With Decal","A102 - Front Rim With Decal","52PD0150","point_of_sale.00059","pos_category.2w","Storable Product","9190.0","9190.0","True","True","True"
"52PD0151","A102 - Rear Rim With Decal","A102 - Rear Rim With Decal","52PD0151","point_of_sale.00059","pos_category.2w","Storable Product","10010.0","10010.0","True","True","True"
"52PD0166","A102 Front Fender Sub- Assly Ebony Black","A102 Front Fender Sub- Assly Ebony Black","52PD0166","point_of_sale.00139","pos_category.2w","Storable Product","5250.0","5250.0","True","True","True"
"JY131816","Abs Unit 9.1 Wet","Abs Unit 9.1 Wet","JY131816","point_of_sale.00088","pos_category.2w","Storable Product","102000.0","102000.0","True","True","True"
"JK351210","Ac Cdi Step Up","Ac Cdi Step Up","JK351210","point_of_sale.00127","pos_category.2w","Storable Product","4810.0","4810.0","True","True","True"
"BA191012","Acc. Cable  Compt.","Acc. Cable  Compt.","BA191012","point_of_sale.00054","pos_category.3w","Storable Product","895.0","895.0","True","True","True"
"24191064","Acc. Cable Comp [5P]","Acc. Cable Comp [5P]","24191064","point_of_sale.00054","pos_category.3w","Storable Product","550.0","550.0","True","True","True"
"AA191013","Acc. Cable Comp. [4S Re]","Acc. Cable Comp. [4S Re]","AA191013","point_of_sale.00054","pos_category.3w","Storable Product","600.0","600.0","True","True","True"
"28191030","Acc.Cable  Complete","Acc.Cable  Complete","28191030","point_of_sale.00054","pos_category.2w","Storable Product","475.0","475.0","True","True","True"
"16191006","Acc.Cable Assy *","Acc.Cable Assy *","16191006","point_of_sale.00054","pos_category.2w","Storable Product","170.0","170.0","True","True","True"
"FA191023","Acc.Cable Comp","Acc.Cable Comp","FA191023","point_of_sale.00054","pos_category.2w","Storable Product","205.0","205.0","True","True","True"
"24191059","Acc.Cable Compt. [Ff]","Acc.Cable Compt. [Ff]","24191059","point_of_sale.00054","pos_category.3w","Storable Product","570.0","570.0","True","True","True"
"24191066","Acc.Inner Cable (5P)","Acc.Inner Cable (5P)","24191066","point_of_sale.00054","pos_category.3w","Storable Product","440.0","440.0","True","True","True"
"24191072","Accel Cont.Cable Comp","Accel Cont.Cable Comp","24191072","point_of_sale.00054","pos_category.3w","Storable Product","890.0","890.0","True","True","True"
"AA191065","Accelerator Cable","Accelerator Cable","AA191065","point_of_sale.00054","pos_category.3w","Storable Product","790.0","790.0","True","True","True"
"DZ191035","Accelerator Cable","Accelerator Cable","DZ191035","point_of_sale.00054","pos_category.2w","Storable Product","1230.0","1230.0","True","True","True"
"16151015","Actuating Shaft","Actuating Shaft","16151015","point_of_sale.00325","pos_category.2w","Storable Product","95.0","95.0","True","True","True"
"JK402409","Adapter F G Dial With M/S Minda","Adapter F G Dial With M/S Minda","JK402409","point_of_sale.00233","pos_category.2w","Storable Product","895.0","895.0","True","True","True"
"24140110","Adapter Nut","Adapter Nut","24140110","point_of_sale.00006","pos_category.3w","Storable Product","160.0","160.0","True","True","True"
"JD401803","Adapter With 530Mm Vent Tube","Adapter With 530Mm Vent Tube","JD401803","point_of_sale.00389","pos_category.2w","Storable Product","180.0","180.0","True","True","True"
"EC541004","Adapter- Oil Filter","Adapter- Oil Filter","EC541004","point_of_sale.00257","pos_category.3w","Storable Product","330.0","330.0","True","True","True"
"30171023","Adj Chain Lh","Adj Chain Lh","30171023","point_of_sale.00007","pos_category.2w","Storable Product","210.0","210.0","True","True","True"
"30171024","Adj Chain Rh","Adj Chain Rh","30171024","point_of_sale.00007","pos_category.2w","Storable Product","200.0","200.0","True","True","True"
"JK122003","Adjester Chain - Lh","Adjester Chain - Lh","JK122003","point_of_sale.00007","pos_category.2w","Storable Product","150.0","150.0","True","True","True"
"JK122005","Adjester Chain - Rh","Adjester Chain - Rh","JK122005","point_of_sale.00007","pos_category.2w","Storable Product","150.0","150.0","True","True","True"
"DJ151036","Adjester-Chain","Adjester-Chain","DJ151036","point_of_sale.00007","pos_category.2w","Storable Product","500.0","500.0","True","True","True"
"DJ151037","Adjester-Chain Rh","Adjester-Chain Rh","DJ151037","point_of_sale.00007","pos_category.2w","Storable Product","450.0","450.0","True","True","True"
"05151012","Adjuster","Adjuster","05151012","point_of_sale.00007","pos_category.3w","Storable Product","90.0","90.0","True","True","True"
"24121369","Adjuster","Adjuster","24121369","point_of_sale.00007","pos_category.3w","Storable Product","130.0","130.0","True","True","True"
"DS121113","Adjuster (Ps) Set Carburettor","Adjuster (Ps) Set Carburettor","DS121113","point_of_sale.00007","pos_category.2w","Storable Product","480.0","480.0","True","True","True"
"CS101118","Adjuster Assembly - Cam Chain","Adjuster Assembly - Cam Chain","CS101118","point_of_sale.00007","pos_category.2w","Storable Product","1670.0","1670.0","True","True","True"
"FD151025","Adjuster Assembly - Chain :- Rh","Adjuster Assembly - Chain :- Rh","FD151025","point_of_sale.00221","pos_category.2w","Storable Product","125.0","125.0","True","True","True"
"FA101311","Adjuster Assy. - Cam Chain","Adjuster Assy. - Cam Chain","FA101311","point_of_sale.00007","pos_category.2w","Storable Product","675.0","675.0","True","True","True"
"JK122002","Adjuster Assy. Chain - Lh","Adjuster Assy. Chain - Lh","JK122002","point_of_sale.00007","pos_category.2w","Storable Product","200.0","200.0","True","True","True"
"JK122004","Adjuster Assy. Chain - Rh","Adjuster Assy. Chain - Rh","JK122004","point_of_sale.00007","pos_category.2w","Storable Product","190.0","190.0","True","True","True"
"JA581291","Adjuster Cable","Adjuster Cable","JA581291","point_of_sale.00007","pos_category.2w","Storable Product","155.0","155.0","True","True","True"
"JM171003","Adjuster Chain","Adjuster Chain","JM171003","point_of_sale.00007","pos_category.2w","Storable Product","650.0","650.0","True","True","True"
"JZ122008","Adjuster Chain - Rh","Adjuster Chain - Rh","JZ122008","point_of_sale.00067","pos_category.2w","Storable Product","490.0","490.0","True","True","True"
