ID,Internal Reference,Point of Sale Category,Sales Price,Cost,Updated Sales Price,Updated Cost
point_of_sale.JD113032,JD113032,Bajaj / 2W,1090.0,1090.0,1130.0,1130.0
point_of_sale.JA621003,JA621003,Bajaj / 2W,1090.0,1090.0,1090.0,1090.0
point_of_sale.BF161287,BF161287,Bajaj / QUTE,1090.0,1090.0,1090.0,1090.0
point_of_sale.06201274,06201274,Bajaj / 2W,1090.0,1090.0,-,-
point_of_sale.BF541221,BF541221,Bajaj / QUTE,1090.0,1090.0,1090.0,1090.0
point_of_sale.DT561408,DT561408,Bajaj / 2W,1090.0,1090.0,1090.0,1090.0
point_of_sale.DU101097,DU101097,Bajaj / 2W,1090.0,1090.0,1140.0,1140.0
point_of_sale.JP113027,JP113027,Bajaj / 2W,1090.0,1090.0,1090.0,1090.0
point_of_sale.52PF0728,52PF0728,Bajaj / 2W,1090.0,1090.0,1090.0,1090.0
point_of_sale.DF181059,DF181059,Bajaj / 2W,1090.0,1090.0,1090.0,1090.0
point_of_sale.52JF0306,52JF0306,Bajaj / 2W,1090.0,1090.0,1090.0,1090.0
point_of_sale.DJ151031,DJ151031,Bajaj / 2W,1090.0,1090.0,1090.0,1090.0
point_of_sale.JL401408,JL401408,Bajaj / 2W,1090.0,1090.0,480.0,480.0
point_of_sale.24121248,24121248,Bajaj / 3W,1085.0,1085.0,-,-
point_of_sale.PA74043F,PA74043F,Bajaj / 2W,1080.0,1080.0,1080.0,1080.0
point_of_sale.BF243054,BF243054,Bajaj / QUTE,1080.0,1080.0,1080.0,1080.0
point_of_sale.DK101631,DK101631,Bajaj / 2W,1080.0,1080.0,1080.0,1080.0
point_of_sale.DH111040,DH111040,Bajaj / 2W,1080.0,1080.0,1150.0,1150.0
point_of_sale.PF161234,PF161234,Bajaj / 2W,1080.0,1080.0,1080.0,1080.0
point_of_sale.JL181437,JL181437,Bajaj / 2W,1080.0,1080.0,1080.0,1080.0
point_of_sale.JC151020,JC151020,Bajaj / 2W,1080.0,1080.0,1080.0,1080.0
point_of_sale.39260120,39260120,Bajaj / 2W,1080.0,1080.0,1110.0,1110.0
point_of_sale.52DG0192,52DG0192,Bajaj / 2W,1080.0,1080.0,1080.0,1080.0
point_of_sale.JH151006,JH151006,Bajaj / 2W,1080.0,1080.0,1080.0,1080.0
point_of_sale.DS121076,DS121076,Bajaj / 2W,1080.0,1080.0,1080.0,1080.0
point_of_sale.AF201081,AF201081,Bajaj / 3W,1080.0,1080.0,1110.0,1110.0
point_of_sale.24201263,24201263,Bajaj / 3W,1080.0,1080.0,1080.0,1080.0
point_of_sale.52PF0319,52PF0319,Bajaj / 2W,1080.0,1080.0,1080.0,1080.0
point_of_sale.JH351203,JH351203,Bajaj / 2W,1080.0,1080.0,1080.0,1080.0
point_of_sale.DS74033B,DS74033B,Bajaj / 2W,1075.0,1075.0,-,-
point_of_sale.BF162062,BF162062,Bajaj / QUTE,1070.0,1070.0,1070.0,1070.0
point_of_sale.YDU10002,YDU10002,Bajaj / 2W,1070.0,1070.0,1070.0,1070.0
point_of_sale.PA181226,PA181226,Bajaj / 2W,1070.0,1070.0,1070.0,1070.0
point_of_sale.BG131802,BG131802,Bajaj / 3W,1070.0,1070.0,1270.0,1270.0
point_of_sale.DJ201140,DJ201140,Bajaj / 2W,1070.0,1070.0,1070.0,1070.0
point_of_sale.36JL0017,36JL0017,Bajaj / 2W,1070.0,1070.0,,
point_of_sale.36PA0138,36PA0138,Bajaj / 2W,1070.0,1070.0,,
point_of_sale.36PA0140,36PA0140,Bajaj / 2W,1070.0,1070.0,,
point_of_sale.JZ113053,JZ113053,Bajaj / 2W,1070.0,1070.0,,
point_of_sale.36JU0028,36JU0028,Bajaj / 2W,1070.0,1070.0,,
point_of_sale.JY233179,JY233179,Bajaj / 2W,1070.0,1070.0,,
point_of_sale.JD402402,JD402402,Bajaj / 2W,1070.0,1070.0,,
point_of_sale.JF351208,JF351208,Bajaj / 2W,1070.0,1070.0,,
point_of_sale.24151027,24151027,Bajaj / 3W,1070.0,1070.0,,
point_of_sale.PA161209,PA161209,Bajaj / 2W,1070.0,1070.0,,
point_of_sale.JY233191,JY233191,Bajaj / 2W,1070.0,1070.0,,
point_of_sale.DT402218,DT402218,Bajaj / 2W,1070.0,1070.0,,
point_of_sale.BF243052,BF243052,Bajaj / QUTE,1070.0,1070.0,,
point_of_sale.AA191035,AA191035,Bajaj / 3W,1070.0,1070.0,,
point_of_sale.JZ402407,JZ402407,Bajaj / 2W,1070.0,1070.0,,
point_of_sale.24131069,24131069,Bajaj / 3W,1070.0,1070.0,,
point_of_sale.36DS1602,36DS1602,Bajaj / 2W,1070.0,1070.0,,
point_of_sale.DU181070,DU181070,Bajaj / 2W,1070.0,1070.0,,
point_of_sale.AA111080,AA111080,Bajaj / 3W,1070.0,1070.0,,
point_of_sale.JD171602,JD171602,Bajaj / 2W,1070.0,1070.0,,
point_of_sale.36311803,36311803,Bajaj / 2W,1065.0,1065.0,,
point_of_sale.STPA0027,STPA0027,Bajaj / 2W,1063.0,1063.0,,
point_of_sale.STPA0030,STPA0030,Bajaj / 2W,1063.0,1063.0,,
point_of_sale.DI2W088,DI2W088,Bajaj / 2W,1063.0,1063.0,,
point_of_sale.STPA0029,STPA0029,Bajaj / 2W,1063.0,1063.0,,
point_of_sale.STDU1087,STDU1087,Bajaj / 2W,1063.0,1063.0,,
point_of_sale.STPA0028,STPA0028,Bajaj / 2W,1063.0,1063.0,,
point_of_sale.JW401011,JW401011,Bajaj / 2W,1060.0,1060.0,,
point_of_sale.36PA0198,36PA0198,Bajaj / 2W,1060.0,1060.0,,
point_of_sale.DG191084,DG191084,Bajaj / 2W,1060.0,1060.0,,
point_of_sale.JY591047,JY591047,Bajaj / 2W,1060.0,1060.0,,
point_of_sale.36AL0040,36AL0040,Bajaj / 3W,1060.0,1060.0,,
point_of_sale.52JB0024,52JB0024,Bajaj / 2W,1060.0,1060.0,,
point_of_sale.36PA0165,36PA0165,Bajaj / 2W,1060.0,1060.0,,
point_of_sale.DH101025,DH101025,Bajaj / 2W,1060.0,1060.0,,
point_of_sale.JZ351211,JZ351211,Bajaj / 2W,1060.0,1060.0,,
point_of_sale.DP101109,DP101109,Bajaj / 2W,1060.0,1060.0,,
point_of_sale.BA201107,BA201107,Bajaj / 2W,1060.0,1060.0,,
point_of_sale.JA551200,JA551200,Bajaj / 2W,1060.0,1060.0,,
point_of_sale.36JF0018,36JF0018,Bajaj / 2W,1060.0,1060.0,,
point_of_sale.22170502,22170502,Bajaj / 3W,1060.0,1060.0,,
point_of_sale.36AL0033,36AL0033,Bajaj / 3W,1060.0,1060.0,,
point_of_sale.JE551204,JE551204,Bajaj / 2W,1060.0,1060.0,,
point_of_sale.JD231204,JD231204,Bajaj / 2W,1060.0,1060.0,,
point_of_sale.36DJ4079,36DJ4079,Bajaj / 2W,1060.0,1060.0,,
point_of_sale.DZ191013,DZ191013,Bajaj / 2W,1060.0,1060.0,,
point_of_sale.JW7310X4,JW7310X4,Bajaj / 2W,1055.0,1055.0,,
point_of_sale.AA101128,AA101128,Bajaj / 3W,1055.0,1055.0,,
point_of_sale.BA102014,BA102014,Bajaj / 3W,1055.0,1055.0,,
point_of_sale.JC7202X3,JC7202X3,Bajaj / 2W,1055.0,1055.0,,
point_of_sale.AL191001,AL191001,Bajaj / 3W,1055.0,1055.0,,
point_of_sale.DJ121057,DJ121057,Bajaj / 2W,1050.0,1050.0,,
point_of_sale.DJ221021,DJ221021,Bajaj / 2W,1050.0,1050.0,,
point_of_sale.STJK0009,STJK0009,Bajaj / 2W,1050.0,1050.0,,
point_of_sale.JB561001,JB561001,Bajaj / 2W,1050.0,1050.0,,
point_of_sale.JH351205,JH351205,Bajaj / 2W,1050.0,1050.0,,
point_of_sale.STJK0010,STJK0010,Bajaj / 2W,1050.0,1050.0,,
point_of_sale.JA402600,JA402600,Bajaj / 2W,1050.0,1050.0,,
point_of_sale.JA161203,JA161203,Bajaj / 2W,1050.0,1050.0,,
point_of_sale.BF551218,BF551218,Bajaj / QUTE,1050.0,1050.0,,
point_of_sale.AA201108,AA201108,Bajaj / 3W,1050.0,1050.0,,
point_of_sale.JW181211,JW181211,Bajaj / 2W,1050.0,1050.0,,
point_of_sale.JL561206,JL561206,Bajaj / 2W,1050.0,1050.0,,
point_of_sale.36DT0011,36DT0011,Bajaj / 2W,1045.0,1045.0,,
point_of_sale.DK201076,DK201076,Bajaj / 2W,1045.0,1045.0,,
point_of_sale.35101114,35101114,Bajaj / 2W,1045.0,1045.0,,
point_of_sale.24201337,24201337,Bajaj / 3W,1045.0,1045.0,,
point_of_sale.52FD0010,52FD0010,Bajaj / 2W,1045.0,1045.0,,
point_of_sale.36DT0010,36DT0010,Bajaj / 2W,1045.0,1045.0,,
point_of_sale.52PF0730,52PF0730,Bajaj / 2W,1040.0,1040.0,,
point_of_sale.JE621406,JE621406,Bajaj / 2W,1040.0,1040.0,,
point_of_sale.BF401163,BF401163,Bajaj / QUTE,1040.0,1040.0,,
point_of_sale.JL401003,JL401003,Bajaj / 2W,1040.0,1040.0,,
point_of_sale.AF201053,AF201053,Bajaj / 3W,1040.0,1040.0,,
point_of_sale.BF243051,BF243051,Bajaj / QUTE,1040.0,1040.0,,
point_of_sale.DU191008,DU191008,Bajaj / 2W,1040.0,1040.0,,
point_of_sale.DJ201159,DJ201159,Bajaj / 2W,1040.0,1040.0,,
point_of_sale.JD561414,JD561414,Bajaj / 2W,1040.0,1040.0,,
