External ID,Internal Reference,Name,Barcode,Description,Product Category/External ID,Point of Sale Category/External ID,Product Type,Cost,Sales Price,Available in POS,Can be Purchased,Can be Sold
point_of_sale.01100323,01100323,Washer,01100323,Washer,point_of_sale.00399,pos_category.2w,Storable Product,5.0,5.0,True,True,True
point_of_sale.01100326,01100326,Rubber Bush,01100326,Rubber Bush,point_of_sale.00310,pos_category.2w,Storable Product,65.0,65.0,True,True,True
point_of_sale.01100404,01100404,Bore Gasket,01100404,Bore Gasket,point_of_sale.00167,pos_category.2w,Storable Product,10.0,10.0,True,True,True
point_of_sale.01100615,01100615,Castle Nut,01100615,Castle Nut,point_of_sale.00251,pos_category.2w,Storable Product,60.0,60.0,True,True,True
point_of_sale.01100719,01100719,Washer,01100719,Washer,point_of_sale.00399,pos_category.2w,Storable Product,20.0,20.0,True,True,True
point_of_sale.01100904,01100904,Clutch Lever Return Spring,01100904,Clutch Lever Return Spring,point_of_sale.00079,pos_category.2w,Storable Product,15.0,15.0,True,True,True
point_of_sale.01100909,01100909,Internal Lever,01100909,Internal Lever,point_of_sale.00215,pos_category.2w,Storable Product,20.0,20.0,True,True,True
point_of_sale.01101008,01101008,Roller,01101008,Roller,point_of_sale.00308,pos_category.2w,Storable Product,2.0,2.0,True,True,True
point_of_sale.01110609,01110609,Plain Washer,01110609,Plain Washer,point_of_sale.00399,pos_category.2w,Storable Product,5.0,5.0,True,True,True
point_of_sale.01120218,01120218,Automiser,01120218,Automiser,point_of_sale.00060,pos_category.2w,Storable Product,60.0,60.0,True,True,True
point_of_sale.01120222,01120222,Float,01120222,Float,point_of_sale.00060,pos_category.2w,Storable Product,95.0,95.0,True,True,True
point_of_sale.01160508,01160508,Lock Washer,01160508,Lock Washer,point_of_sale.00222,pos_category.2w,Storable Product,5.0,5.0,True,True,True
point_of_sale.01170110,01170110,Hub Bearing [6201],01170110,Hub Bearing [6201],point_of_sale.00199,pos_category.2w,Storable Product,540.0,540.0,True,True,True
point_of_sale.01170111,01170111,Bearing Ball [6203],01170111,Bearing Ball [6203],point_of_sale.00028,pos_category.2w,Storable Product,510.0,510.0,True,True,True
point_of_sale.02120304,02120304,Rubber Plug,02120304,Rubber Plug,point_of_sale.00310,pos_category.2w,Storable Product,15.0,15.0,True,True,True
point_of_sale.02140121,02140121,Gasket For Petrol Tank,02140121,Gasket For Petrol Tank,point_of_sale.00167,pos_category.2w,Storable Product,70.0,70.0,True,True,True
point_of_sale.02190249,02190249,Cable Comp R/ Brake,02190249,Cable Comp R/ Brake,point_of_sale.00054,pos_category.2w,Storable Product,80.0,80.0,True,True,True
point_of_sale.03100308,03100308,Oil Seal [ R / Hub ],03100308,Oil Seal [ R / Hub ],point_of_sale.00260,pos_category.2w,Storable Product,105.0,105.0,True,True,True
point_of_sale.03100623,03100623,Roller Bearing,03100623,Roller Bearing,point_of_sale.00028,pos_category.2w,Storable Product,55.0,55.0,True,True,True
point_of_sale.03100910,03100910,Plunger,03100910,Plunger,point_of_sale.00278,pos_category.2w,Storable Product,110.0,110.0,True,True,True
point_of_sale.03101201,03101201,Sector Gear Assy.,03101201,Sector Gear Assy.,point_of_sale.00320,pos_category.2w,Storable Product,930.0,930.0,True,True,True
point_of_sale.03120208,03120208,Pilot Jet No.42/100,03120208,Pilot Jet No.42/100,point_of_sale.00060,pos_category.2w,Storable Product,95.0,95.0,True,True,True
point_of_sale.03170126,03170126,Oil Seal [ F/Hub ],03170126,Oil Seal [ F/Hub ],point_of_sale.00260,pos_category.2w,Storable Product,50.0,50.0,True,True,True
point_of_sale.03170351,03170351,Damper Bracket,03170351,Damper Bracket,point_of_sale.00111,pos_category.2w,Storable Product,300.0,300.0,True,True,True
point_of_sale.03180118,03180118,Bush,03180118,Bush,point_of_sale.00048,pos_category.2w,Storable Product,30.0,30.0,True,True,True
point_of_sale.03180123,03180123,Roller Bearing,03180123,Roller Bearing,point_of_sale.00028,pos_category.2w,Storable Product,115.0,115.0,True,True,True
point_of_sale.03200232,03200232,H L Glass,03200232,H L Glass,point_of_sale.00173,pos_category.2w,Storable Product,155.0,155.0,True,True,True
point_of_sale.03220102,03220102,Foot Rest Assy.,03220102,Foot Rest Assy.,point_of_sale.00153,pos_category.2w,Storable Product,400.0,400.0,True,True,True
point_of_sale.04101027,04101027,Driving Plate Set,04101027,Driving Plate Set,point_of_sale.00275,pos_category.2w,Storable Product,660.0,660.0,True,True,True
point_of_sale.05101040,05101040,Clutch Driving Plates,05101040,Clutch Driving Plates,point_of_sale.00079,pos_category.2w,Storable Product,150.0,150.0,True,True,True
point_of_sale.05101057,05101057,Spacer,05101057,Spacer,point_of_sale.00339,pos_category.2w,Storable Product,15.0,15.0,True,True,True
point_of_sale.05111095,05111095,Insulating Cap,05111095,Insulating Cap,point_of_sale.00203,pos_category.2w,Storable Product,5.0,5.0,True,True,True
point_of_sale.05111190,05111190,C.D.I.With Damper,05111190,C.D.I.With Damper,point_of_sale.00127,pos_category.2w,Storable Product,1680.0,1680.0,True,True,True
point_of_sale.05151020,05151020,Re Br Shoe Assy/W Pad,05151020,Re Br Shoe Assy/W Pad,point_of_sale.00041,pos_category.2w,Storable Product,785.0,785.0,True,True,True
point_of_sale.05171056,05171056,Antidive Link Assly,05171056,Antidive Link Assly,point_of_sale.00221,pos_category.2w,Storable Product,380.0,380.0,True,True,True
point_of_sale.05181023,05181023,Bearing-Race Set,05181023,Bearing-Race Set,point_of_sale.00028,pos_category.2w,Storable Product,1565.0,1565.0,True,True,True
point_of_sale.05181037,05181037,Hub Pin,05181037,Hub Pin,point_of_sale.00199,pos_category.2w,Storable Product,230.0,230.0,True,True,True
