දිනය,ගෙවීම් ක්‍රමය,බිල්පත් අංකය,පාරිභෝගිකයා ,රිටන් බිල්පත් අංකය,Order/Order Lines/Product,Order/Order Lines/Quantity,Order/Order Lines/Discount (%),Order/Order Lines/Subtotal w/o Tax,මුදල්
මුදල් (244),,,,,,,,,1273550.00
2021-09-18 17:12:24,මුදල්,Order 00430-004-0025,FALSE,,[AA111082] Armature Assembly,1,16,3603.6,4910
,,,,,[AA111085] Brush Box Asly Kit 3W 48 Dia,1,16,1302,
2021-09-18 17:09:03,මුදල්,Order 00430-004-0024,FALSE,,[JL131805] Pad,1,15,1309,2670
,,,,,[DK151085] Pad Brake Rear Set,1,15,1360,
2021-09-18 17:07:33,මුදල්,Order 00430-004-0022,FALSE,,[DS121137] Kit Oil Pump (Helical Gear),2,17,2224.4,2220
2021-09-18 16:56:13,මුදල්,Order 00430-004-0020,Shantha Motors,,[DJ151071] Set - Disc Pad [ Ets ],10,17,7387,141330
,,,,,[DS101036] Cam-Chain :-24-94L,4,17,4648,
,,,,,[36PA0143] Kit Steering Cone-Dis 100 M,5,17,8424.5,
,,,,,[DJ201035] Cable Assembly (Clutch Switch) / Dj201110,5,17,1950.5,
,,,,,[31201079] Rear  Brake  Switch,5,17,1909,
,,,,,[36314002] Kit Ball Steel Steering,10,17,1079,
,,,,,[31111056] Excitor Coil *,3,17,4208.1,
,,,,,[DE151012] Plate - Drive,10,17,415,
,,,,,[DH161158] Grommet - Side Cover,50,17,1660,
,,,,,[DH111034] Brush Box Assly Kit,3,17,2166.3,
,,,,,[JZ401403] Switch Clutch (Vb) Diode,1,17,597.6,
,,,,,[35161060] Clip  Nut,10,17,581,
,,,,,[DH121011] Plate Plunger Oil,5,0,75,
,,,,,[DD111018] Spark Plug,10,17,3818,
,,,,,[JN551400] Spring(Clutch Capacity) Discover Black 135,10,17,498,
,,,,,[36DJ4005] Kit Chain Sprocket Pulsar Dtsi (Modif) (36Dj4009),2,17,7868.4,
,,,,,[DK151094] Coupling Rubber,2,17,1809.4,
,,,,,[36DU1001] Kit - O'Ring Cylinder Head,4,17,1826,
