External ID,Internal Reference,Quantity On Hand
__export__.product_product_50817_2bfba0ae,36AA4151,1.0
__export__.product_product_50818_128deb33,CMU24191072,11.0
__export__.product_product_50820_e780714a,SVA0024,300.0
__export__.product_template_49776_2051bade,36AE0001,7.0
__export__.product_template_49777_5b8e0fc8,JE511012,1.0
__export__.product_template_49778_a1075597,SVA0054,8.0
__export__.product_template_49779_24582232,24171006,6.0
__export__.product_template_49803_18dcbc23,BGO20W50C,142.0
__export__.product_template_49804_fbfb3d2a,BGO10W30C,33.0
__export__.product_template_50076_3663fb14,DJ221002,1.0
__export__.product_template_50237_3271aa93,JF161009,0.0
__export__.product_template_50289_d36c19f5,CMU24191078,31.0
__export__.product_template_50290_1b9b9812,CMUAA191026,221.0
__export__.product_template_50291_32140443,CMUAA191064,11.0
__export__.product_template_50292_42a4d98e,CMUAA191069,0.0
__export__.product_template_50293_f67d1fec,CMUAA191077,11.0
__export__.product_template_50294_ae7769d6,CMUAA191085,8.0
__export__.product_template_50295_84cb0fbe,CMUBA191050,180.0
__export__.product_template_50296_c4b83302,CMUBA191051,9.0
__export__.product_template_50297_1be82d35,CMUBA191052,8.0
__export__.product_template_50298_026e7b7d,CMUDJ191015,9.0
__export__.product_template_50299_a2218484,CMUDS191001,6.0
__export__.product_template_50300_2205b26a,CMUDS191054,9.0
__export__.product_template_50301_a6dd37c3,CMUDU191006,11.0
__export__.product_template_50302_02e161d8,CMUJD161200,1.0
__export__.product_template_50303_6edc408d,CMUJD161201,9.0
__export__.product_template_50304_9dabdf5d,CMUJZ161203,22.0
__export__.product_template_50336_c359dd3f,JY511271,5.0
__export__.product_template_50337_208a8b8d,JY511274,1.0
__export__.product_template_50338_00af9a15,PD351248,0.0
__export__.product_template_50339_dbc3edb5,59040042,5.0
__export__.product_template_50351_eb3653ab,BF351067,5.0
__export__.product_template_50353_efa408bb,BF121117,2.0
__export__.product_template_50354_fd20ffb7,CMUAA191012,10.0
__export__.product_template_50357_ca0fa363,CMUDM191005,9.0
__export__.product_template_50363_998e1138,AA191140,1.0
__export__.product_template_50364_feafbc51,AA191139,0.0
__export__.product_template_50365_2a4ee1be,AM121213,1.0
__export__.product_template_50366_39de3868,AA191134,0.0
__export__.product_template_50367_4fd915ca,36AU0001,1.0
__export__.product_template_50368_2b7a61ce,AF101277,1.0
__export__.product_template_50369_8992b91d,RA511202,2.0
__export__.product_template_50370_072d6815,CMU24191092,9.0
__export__.product_template_50371_6183f11a,CMU24191059,1.0
__export__.product_template_50372_b7d4d6e1,R56DK05X3,4.0
__export__.product_template_50567_d7209cdb,CMUBG131802,10.0
__export__.product_template_50827_e1d07c2e,CMU24190216,1.0
__export__.product_template_50829_5e9335d7,CMUDD191019,8.0
__export__.product_template_50830_59a2712e,CMU24150501,12.0
__export__.product_template_50831_b8d73034,AA201570,0.0
__export__.product_template_50855_321ccd42,36172201,0.0
__export__.product_template_50954_0b8ed091,CMUAA191068,15.0
__export__.product_template_50955_e8fa9793,CMUDU191041,5.0
__export__.product_template_50956_fb332189,CMUAA191010,15.0
__export__.product_template_50957_651cd942,CMUDZ191014,0.0
__export__.product_template_50966_0fd49d7d,CMUAA191091,12.0
__export__.product_template_50967_0f95d4cf,CMUAA191092,19.0
__export__.product_template_50968_02a8334e,CMUAA191093,15.0
__export__.product_template_50969_6071c17a,CMUAA191094,14.0
__export__.product_template_50970_de0232ae,CMUAZ161212,12.0
__export__.product_template_51118_9fc1f37c,CMUDJ191061,10.0
__export__.product_template_51119_0878f021,CMUAA191073,5.0
__export__.product_template_51120_507aa37c,CMUDM191002,32.0
__export__.product_template_51143_5cd27219,CMUDJ191008,17.0
__export__.product_template_51144_9ddca315,CMUJZ161207,20.0
__export__.product_template_51145_09319f96,JL541277,21.0
__export__.product_template_51185_4998b733,CMU24151060,7.0
__export__.product_template_51186_01201ee0,CMUDU191048,9.0
__export__.product_template_51187_e986811f,CMU24191137,3.0
__export__.product_template_51188_2d160bc2,CMUDU191005,9.0
__export__.product_template_51189_ff5318dd,CMUDU191058,9.0
__export__.product_template_51190_c8d3ef69,CMUPF161212,11.0
__export__.product_template_51191_c48c55fa,CMU24151058,3.0
__export__.product_template_51192_fa1b6b3f,CMU24151059,7.0
__export__.product_template_51193_cfa6cec5,CMUJF161201,6.0
